주요재무정보,"2017/12
(IFRS연결)","2018/12
(IFRS연결)","2019/12
(IFRS연결)","2020/12
(IFRS연결)","2021/12
(IFRS연결)"
매출액,"1,401","1,475","1,493","1,279","1,448"
영업이익,75,49,-143,-290,-59
영업이익(발표기준),75,49,-143,-290,-59
세전계속사업이익,101,19,-192,-273,-66
당기순이익,81,3,-208,-278,-68
  당기순이익(지배),78,10,-204,-276,-69
  당기순이익(비지배),3,-7,-4,-1,1
자산총계,"2,351","2,431","2,644","2,430","2,227"
부채총계,"1,334","1,500","1,842","1,522","1,368"
자본총계,"1,017",931,802,908,859
  자본총계(지배),977,897,765,872,803
  자본총계(비지배),40,,37,36,56
자본금,120,123,123,170,170
영업활동현금흐름,80,114,-29,-167,9
투자활동현금흐름,-276,-161,-190,-7,91
재무활동현금흐름,23,40,219,213,-77
CAPEX,216,109,141,24,4
FCF,-136,5,-171,-190,5
이자발생부채,872,"1,008","1,177",988,841
영업이익률,5.33,3.35,-9.57,-22.65,-4.06
순이익률,5.80,0.22,-13.95,-21.71,-4.70
ROE(%),8.28,1.05,-24.55,-33.77,-8.20
ROA(%),3.56,0.14,-8.21,-10.94,-2.92
부채비율,131.11,161.18,229.75,167.72,159.31
자본유보율,509.84,457.61,288.39,255.93,219.93
EPS(원),308,39,-806,-928,-202
PER(배),17.73,124.16,N/A,N/A,N/A
BPS(원),"3,881","3,563","3,040","2,579","2,374"
PBR(배),1.41,1.36,1.50,2.82,1.99
현금DPS(원),95,0,0,,
현금배당수익률,1.74,0.00,0.00,,
현금배당성향(%),30.61,0.00,0.00,0.00,
발행주식수(보통주),"25,316,034","25,316,034","25,316,034","33,953,454","33,953,454"
