주요재무정보,"2017/12
(IFRS연결)","2018/12
(IFRS연결)","2019/12
(IFRS연결)","2020/12
(IFRS연결)","2021/12
(IFRS별도)"
매출액,77,64,75,58,78
영업이익,-29,-14,1,7,9
영업이익(발표기준),-29,-14,1,7,9
세전계속사업이익,-27,-108,89,245,-191
당기순이익,-27,-108,140,197,-181
  당기순이익(지배),-27,-108,140,197,-181
  당기순이익(비지배),0,0,0,0,
자산총계,688,576,723,923,997
부채총계,31,24,27,29,286
자본총계,657,551,696,895,711
  자본총계(지배),656,551,695,895,711
  자본총계(비지배),1,,1,,
자본금,518,518,129,129,129
영업활동현금흐름,-13,-30,-22,30,20
투자활동현금흐름,-29,-5,23,330,-221
재무활동현금흐름,195,-3,-2,-1,12
CAPEX,27,2,1,16,1
FCF,-39,-32,-23,14,19
이자발생부채,0,0,3,2,244
영업이익률,-38.11,-22.09,1.84,11.91,11.52
순이익률,-34.99,-168.25,187.52,340.92,-231.58
ROE(%),-4.64,-17.96,22.50,24.75,-22.59
ROA(%),-4.46,-17.16,21.59,23.90,-18.88
부채비율,4.75,4.42,3.90,3.19,40.22
자본유보율,30.81,9.01,444.14,597.93,458.64
EPS(원),-26,-84,108,152,-140
PER(배),N/A,N/A,3.00,2.59,N/A
BPS(원),510,428,540,695,552
PBR(배),0.85,0.77,0.60,0.57,0.85
현금DPS(원),0,0,,,
현금배당수익률,0.00,0.00,,,
현금배당성향(%),0.00,0.00,0.00,0.00,
발행주식수(보통주),"129,484,149","129,484,149","129,484,148","129,484,148","129,484,148"
