주요재무정보,"2017/12
(IFRS연결)","2018/12
(IFRS연결)","2019/12
(IFRS연결)","2020/12
(IFRS연결)","2021/12
(IFRS연결)","2022/12(E)
(IFRS연결)","2023/12(E)
(IFRS연결)","2024/12(E)
(IFRS연결)"
매출액,"6,028","6,218","8,171","9,895","11,238","13,313","15,729","18,537"
영업이익,872,531,"1,039",867,743,"1,277","1,769","2,368"
영업이익(발표기준),872,531,"1,039",867,743,,,
세전계속사업이익,657,582,925,575,702,"1,200","1,696","2,291"
당기순이익,452,436,724,458,517,892,"1,274","1,726"
  당기순이익(지배),452,436,724,458,517,892,"1,274","1,726"
  당기순이익(비지배),,0,,,,,,
자산총계,"3,404","5,148","7,551","8,968","10,186","12,107","13,786","15,949"
부채총계,"2,088","3,385","3,809","4,824","5,404","5,685","6,114","6,579"
자본총계,"1,315","1,762","3,741","4,144","4,782","6,421","7,672","9,369"
  자본총계(지배),"1,315","1,762","3,741","4,144","4,782","5,970","7,480","9,380"
  자본총계(비지배),,,,,,,,
자본금,62,62,71,72,79,84,84,84
영업활동현금흐름,294,116,-221,70,881,565,"1,240","1,404"
투자활동현금흐름,-385,-887,-722,-500,-549,-868,-928,-998
재무활동현금흐름,272,945,"1,122",508,-51,870,39,34
CAPEX,307,478,449,754,652,864,903,958
FCF,-12,-363,-669,-684,229,-358,280,390
이자발생부채,798,"1,787","2,218","2,648","3,243",,,
영업이익률,14.47,8.54,12.71,8.76,6.61,9.59,11.25,12.78
순이익률,7.49,7.01,8.86,4.63,4.60,6.70,8.10,9.31
ROE(%),40.53,28.34,26.32,11.61,11.57,16.59,18.95,20.47
ROA(%),15.46,10.20,11.41,5.54,5.39,8.00,9.84,11.61
부채비율,158.76,192.08,101.81,116.40,113.00,88.53,79.69,70.22
자본유보율,"2,193.79","2,885.15","5,223.50","5,885.54","5,921.10",,,
EPS(원),"3,307","3,194","5,167","2,912","3,269","5,357","7,395","10,016"
PER(배),,,16.39,32.26,23.58,11.76,8.52,6.29
BPS(원),"10,138","13,584","25,106","27,032","31,401","35,831","44,894","56,297"
PBR(배),0.00,0.00,3.37,3.48,2.46,1.76,1.40,1.12
현금DPS(원),0,0,"1,140",729,850,867,900,917
현금배당수익률,,,1.35,0.78,1.10,1.38,1.43,1.46
현금배당성향(%),0.00,0.00,13.87,15.49,15.88,15.36,11.16,8.39
발행주식수(보통주),"13,653,463","13,653,463","15,581,102","15,800,450","15,800,450",,,
