주요재무정보,"2017/12
(IFRS연결)","2018/12
(IFRS연결)","2019/12
(IFRS연결)","2020/12
(IFRS연결)","2021/12
(IFRS연결)"
매출액,907,764,458,204,409
영업이익,-166,-105,-60,-49,-19
영업이익(발표기준),-166,-105,-60,-49,-19
세전계속사업이익,-180,-138,-172,-64,-14
당기순이익,-182,-209,-162,-63,-16
  당기순이익(지배),-123,-170,-162,-63,-16
  당기순이익(비지배),-60,-39,,0,0
자산총계,646,649,271,321,330
부채총계,540,640,306,246,234
자본총계,106,9,-34,75,96
  자본총계(지배),60,3,-34,74,96
  자본총계(비지배),46,6,,1,
자본금,45,60,154,66,88
영업활동현금흐름,-14,-105,-53,-37,16
투자활동현금흐름,-41,-108,26,8,-9
재무활동현금흐름,4,198,67,1,4
CAPEX,6,15,1,3,5
FCF,-19,-120,-54,-39,11
이자발생부채,216,270,159,116,89
영업이익률,-18.31,-13.77,-13.12,-23.77,-4.55
순이익률,-20.13,-27.39,-35.41,-30.84,-3.88
ROE(%),-129.14,-538.91,"1,020.33",-317.83,-19.16
ROA(%),-25.48,-32.31,-35.23,-21.28,-4.87
부채비율,507.48,"7,007.42",-886.24,327.31,243.87
자본유보율,377.28,-38.99,-121.52,11.17,8.80
EPS(원),"-18,446","-15,359","-8,728","-1,252",-109
PER(배),N/A,N/A,N/A,N/A,N/A
BPS(원),"6,721",226,"-1,120",565,548
PBR(배),5.21,217.20,N/A,7.25,7.48
현금DPS(원),0,0,0,0,0
현금배당수익률,0.00,0.00,0.00,0.00,0.00
현금배당성향(%),0.00,0.00,0.00,0.00,
발행주식수(보통주),"899,154","1,202,090","3,078,240","13,141,388","17,549,275"
