주요재무정보,"2017/12
(IFRS연결)","2018/12
(IFRS연결)","2019/12
(IFRS연결)","2020/12
(IFRS연결)","2021/12
(IFRS연결)","2022/12(E)
(IFRS연결)","2023/12(E)
(IFRS연결)","2024/12(E)
(IFRS연결)"
매출액,"23,362","26,684","24,679","24,972","46,161","54,762","55,291","60,241"
영업이익,"1,950","2,039","2,100","2,252","5,729","6,146","5,957","6,621"
영업이익(발표기준),"1,950","2,039","2,100","2,252","5,729",,,
세전계속사업이익,"1,432","1,490","1,483",920,"5,504","5,763","5,600","6,272"
당기순이익,"1,413","1,486","1,477",907,"5,493","5,743","5,531","5,981"
  당기순이익(지배),"1,431","1,524","1,519",925,"5,493","5,743","5,546","5,983"
  당기순이익(비지배),-18,-38,-42,-18,,,,
자산총계,"38,944","41,195","44,542","46,593","64,888","68,125","72,144","81,372"
부채총계,"14,846","14,591","15,546","18,527","28,919","27,122","26,184","27,750"
자본총계,"24,098","26,604","28,995","28,067","35,968","41,002","45,960","53,622"
  자본총계(지배),"23,890","26,438","28,864","28,067","35,968","40,846","45,755","53,729"
  자본총계(비지배),207,,131,,,,,
자본금,"5,345","5,346","5,346","5,346","5,346","5,348","5,348","5,348"
영업활동현금흐름,"2,616","2,681","4,048","4,705","7,677","10,253","10,133","11,252"
투자활동현금흐름,"-1,172","-1,266","-2,130","-3,369","-3,512","-5,347","-5,046","-5,122"
재무활동현금흐름,"-1,550","-1,491","-1,520","-1,390","-1,580","-1,773","-1,588","-1,541"
CAPEX,"1,065","1,654","2,170","2,895","3,336","4,545","3,958","3,474"
FCF,"1,551","1,026","1,878","1,809","4,340","6,081","5,578","6,418"
이자발생부채,"12,221","11,270","12,610","14,782","22,422",,,
영업이익률,8.35,7.64,8.51,9.02,12.41,11.22,10.77,10.99
순이익률,6.05,5.57,5.99,3.63,11.90,10.49,10.00,9.93
ROE(%),5.80,6.06,5.49,3.25,17.16,14.95,12.81,12.03
ROA(%),3.44,3.71,3.45,1.99,9.86,8.64,7.89,7.79
부채비율,61.61,54.84,53.62,66.01,80.40,66.15,56.97,51.75
자본유보율,350.78,379.25,407.45,424.79,522.56,,,
EPS(원),268,285,284,173,"1,028","1,074","1,038","1,119"
PER(배),19.69,15.59,16.00,29.00,5.26,7.32,7.58,7.02
BPS(원),"4,469","4,946","5,400","5,250","6,728","7,641","8,559","10,051"
PBR(배),1.18,0.90,0.84,0.96,0.80,1.03,0.92,0.78
현금DPS(원),0,0,0,50,100,108,110,119
현금배당수익률,0.00,0.00,0.00,1.00,1.85,1.38,1.40,1.51
현금배당성향(%),0.00,0.00,0.00,28.89,9.73,10.08,10.60,10.61
발행주식수(보통주),"534,537,812","534,569,207","534,569,207","534,569,512","534,569,512",,,
