주요재무정보,"2017/12
(IFRS연결)","2018/12
(IFRS연결)","2019/12
(IFRS연결)","2020/12
(IFRS연결)","2021/12
(IFRS연결)"
매출액,"5,565","4,123","2,656","4,841","4,353"
영업이익,-394,22,-13,346,315
영업이익(발표기준),-394,22,-13,346,315
세전계속사업이익,"-1,105",-271,-292,21,191
당기순이익,"-1,073",-381,-278,2,92
  당기순이익(지배),"-1,062",-381,-278,2,92
  당기순이익(비지배),-11,0,0,0,0
자산총계,"6,615","5,884","6,279","5,089","4,972"
부채총계,"6,050","5,606","6,148","4,808","4,518"
자본총계,565,279,130,281,454
  자본총계(지배),557,278,130,280,454
  자본총계(비지배),15,,0,0,0
자본금,271,367,450,188,204
영업활동현금흐름,-27,-198,-130,166,367
투자활동현금흐름,"-1,388",-158,-142,-157,52
재무활동현금흐름,"1,502",395,296,-134,-150
CAPEX,660,412,100,113,103
FCF,-687,-610,-230,53,264
이자발생부채,"3,947","4,216","4,279","3,967","3,814"
영업이익률,-7.08,0.53,-0.49,7.15,7.23
순이익률,-19.29,-9.23,-10.48,0.05,2.12
ROE(%),-123.19,-91.06,-136.14,1.18,25.18
ROA(%),-17.84,-6.09,-4.58,0.04,1.84
부채비율,"1,070.70","2,012.65","4,714.43","1,714.22",995.54
자본유보율,-100.35,-172.39,-155.58,-48.68,30.26
EPS(원),"-10,592","-2,096",-971,7,239
PER(배),N/A,N/A,N/A,350.82,6.70
BPS(원),"3,094","1,141",436,749,"1,111"
PBR(배),1.20,2.46,4.33,3.29,1.44
현금DPS(원),0,0,0,0,0
현금배당수익률,0.00,0.00,0.00,0.00,0.00
현금배당성향(%),0.00,0.00,0.00,0.00,
발행주식수(보통주),"18,072,219","24,458,018","29,974,172","37,502,728","40,900,159"
