주요재무정보,"2017/12
(IFRS연결)","2018/12
(IFRS연결)","2019/12
(IFRS연결)","2020/12
(IFRS연결)","2021/12
(IFRS연결)","2022/12(E)
(IFRS연결)","2023/12(E)
(IFRS연결)","2024/12(E)
(IFRS연결)"
매출액,"17,113","17,127","16,150","16,983","16,720","19,721","20,730","22,008"
영업이익,565,386,849,649,"1,067","1,396","1,481","1,584"
영업이익(발표기준),565,386,849,649,"1,067",,,
세전계속사업이익,719,-478,587,704,984,"1,329","1,412","1,516"
당기순이익,461,-498,-173,258,673,991,"1,053","1,217"
  당기순이익(지배),433,-508,-2,351,673,992,"1,054","1,134"
  당기순이익(비지배),28,10,-170,-92,,,,
자산총계,"11,961","11,707","11,795","10,211","12,162","12,768","13,678","15,032"
부채총계,"6,225","6,781","7,245","5,997","7,518","7,314","7,361","7,616"
자본총계,"5,736","4,927","4,550","4,214","4,644","5,454","6,317","7,416"
  자본총계(지배),"4,757","4,122","3,978","4,214","4,644","5,474","6,358","7,416"
  자본총계(비지배),979,,572,,,,,
자본금,200,200,200,200,200,200,200,200
영업활동현금흐름,718,-214,879,507,"-1,539","1,197","1,270","1,427"
투자활동현금흐름,"-1,295",-251,-154,-36,-42,-353,-409,-599
재무활동현금흐름,-671,198,-270,-310,813,-211,-303,-431
CAPEX,254,317,448,304,244,330,375,502
FCF,464,-531,431,203,"-1,783",936,824,812
이자발생부채,"4,604","5,028","5,350","4,691","5,859",,,
영업이익률,3.30,2.25,5.26,3.82,6.38,7.08,7.15,7.20
순이익률,2.69,-2.91,-1.07,1.52,4.03,5.03,5.08,5.53
ROE(%),9.34,-11.43,-0.06,8.56,15.20,19.61,17.81,16.46
ROA(%),3.74,-4.21,-1.47,2.35,6.02,7.95,7.96,8.48
부채비율,108.53,137.63,159.22,142.33,161.88,134.10,116.52,102.70
자본유보율,"2,370.44","2,095.40","2,027.16","2,142.69","2,395.90",,,
EPS(원),"1,081","-1,269",-6,877,"1,684","2,480","2,635","2,834"
PER(배),24.92,N/A,N/A,19.96,13.04,9.94,9.36,8.70
BPS(원),"12,122","10,506","10,137","10,738","11,835","13,949","16,204","18,898"
PBR(배),2.22,1.89,1.71,1.63,1.85,1.77,1.52,1.30
현금DPS(원),450,450,500,500,500,509,514,525
현금배당수익률,1.67,2.27,2.89,2.86,2.28,2.07,2.08,2.13
현금배당성향(%),40.83,-34.79,"-7,871.26",55.95,29.14,20.53,19.50,18.53
발행주식수(보통주),"40,000,000","40,000,000","40,000,000","40,000,000","40,000,000",,,
