주요재무정보,"2017/12
(IFRS연결)","2018/12
(IFRS연결)","2019/12
(IFRS연결)","2020/12
(IFRS연결)","2021/12
(IFRS연결)","2022/12(E)
(IFRS연결)","2023/12(E)
(IFRS연결)","2024/12(E)
(IFRS연결)"
매출액,"5,216","5,819","5,443","6,193","7,687","9,071","10,324","11,858"
영업이익,792,936,"1,112","1,519","1,977","2,218","2,675","3,185"
영업이익(발표기준),792,936,"1,112","1,519","1,977",,,
세전계속사업이익,747,925,"1,173","1,608","2,087","2,299","2,758","3,288"
당기순이익,581,678,910,"1,301","1,587","1,761","2,115","2,513"
  당기순이익(지배),543,705,865,"1,227","1,483","1,679","2,015","2,415"
  당기순이익(비지배),38,-27,46,74,103,,,
자산총계,"7,233","7,917","9,392","9,992","11,972","13,190","15,116","17,968"
부채총계,"3,325","3,445","4,186","3,769","4,293","4,011","4,092","4,496"
자본총계,"3,909","4,472","5,206","6,223","7,679","9,179","11,024","13,472"
  자본총계(지배),"3,207","3,798","4,486","5,532","6,892","8,351","10,116","12,294"
  자본총계(비지배),701,,720,691,786,,,
자본금,565,565,565,565,567,569,569,569
영업활동현금흐름,874,"1,006","1,016","1,650","1,432","2,123","2,480","3,146"
투자활동현금흐름,-329,"-1,215","-1,401",-514,"-1,805","-1,218","-1,107","-1,243"
재무활동현금흐름,-295,-146,812,-716,39,-387,-295,-280
CAPEX,310,"1,182",716,852,"1,221",925,796,"1,110"
FCF,564,-177,300,798,211,"1,026","1,614","1,933"
이자발생부채,"2,185","2,168","3,183","2,552","2,812",,,
영업이익률,15.18,16.08,20.42,24.53,25.72,24.46,25.91,26.86
순이익률,11.13,11.64,16.72,21.00,20.64,19.42,20.49,21.19
ROE(%),17.99,20.12,20.88,24.50,23.88,22.03,21.82,21.55
ROA(%),8.16,8.94,10.52,13.42,14.45,14.00,14.95,15.19
부채비율,85.06,77.03,80.42,60.57,55.91,43.70,37.12,33.37
자본유보율,473.38,590.15,712.46,887.81,"1,110.01",,,
EPS(원),"4,804","6,238","7,655","10,864","13,089","14,811","17,779","21,305"
PER(배),15.09,12.42,13.85,18.09,23.34,16.41,13.67,11.41
BPS(원),"28,926","34,251","40,454","49,890","61,936","75,043","90,907","110,473"
PBR(배),2.51,2.26,2.62,3.94,4.93,3.24,2.67,2.20
현금DPS(원),"1,000","1,200","1,500","1,800","2,100","2,258","2,420","2,100"
현금배당수익률,1.38,1.55,1.42,0.92,0.69,0.93,1.00,0.86
현금배당성향(%),20.44,18.88,19.24,16.26,15.75,15.25,13.61,9.86
발행주식수(보통주),"11,295,195","11,295,195","11,295,195","11,295,195","11,335,195",,,
