항목,2017/12,2018/12,2019/12,2020/12,2021/12,"2022/12(E)

연간컨센서스닫기",전년대비,전년대비
자산총계,"58,774.9","57,560.7","57,707.8","60,386.0","77,413.5","89,042.3",28.2,15.0
유동자산,"27,344.8","22,333.3","25,309.4","31,618.0","41,133.6","47,144.0",30.1,14.6
재고자산,"6,413.3","5,202.5","4,881.5","8,593.9","13,920.1",,62.0,
유동생물자산,,,,,,,,
당기손익-공정가치측정금융자산,,,,,,,,
기타포괄손익-공정가치측정금융자산,,,,,,,,
상각후원가측정유가증권,,,,,,,,
상각후원가측정금융자산,,,,,,,,
단기금융자산,3.4,4.8,7.1,23.0,4.0,,-82.5,
매출채권및기타채권,"16,490.1","9,299.8","11,373.1","11,317.0","19,273.9",,70.3,
당기법인세자산(선급법인세),17.2,3.0,12.5,1.3,0.4,,-71.3,
계약자산,,,,,,,,
반품(환불)자산,,,,,,,,
배출권,,,,,,,,
기타유동자산,571.9,458.7,"1,039.4","1,038.3","1,608.2",,54.9,
현금및현금성자산,"3,695.3","6,212.5","7,995.8","6,946.1","5,658.7",,-18.5,
매각예정비유동자산및처분자산,153.7,"1,152.1",,"3,698.4",668.3,,-81.9,
비유동자산,"31,430.1","35,227.4","32,398.4","28,768.0","36,279.9",,26.1,
유형자산,"25,996.5","29,272.7","27,076.3","23,677.7","31,463.8",,32.9,
무형자산,"2,694.9","3,093.8","2,768.2","1,881.0","1,980.8",,5.3,
비유동생물자산,,,,,,,,
투자부동산,,,,,,,,
투자자산,346.3,351.3,346.9,539.4,569.9,,5.7,
장기매출채권및기타채권,75.1,37.8,37.5,37.8,33.9,,-10.4,
이연법인세자산,"1,471.1","1,565.5","1,520.5","2,023.7","1,799.0",,-11.1,
장기당기법인세자산,,,,,,,,
계약자산,,,,,,,,
반품(환불)자산,,,,,,,,
배출권,,,,,,,,
기타비유동자산,846.2,906.4,649.1,608.4,432.5,,-28.9,
기타금융업자산,,,,,,,,
*순자산1,"19,507.8","21,182.4","22,046.0","24,276.9","33,142.1",,36.5,
*순자산2,"16,812.9","18,088.6","19,277.8","22,395.9","31,161.3",,39.1,
부채총계,"39,267.1","36,378.3","35,661.8","36,109.1","44,271.5","46,140.4",22.6,4.2
유동부채,"24,972.5","15,844.0","20,462.3","22,842.2","33,102.7","35,008.4",44.9,5.8
단기사채,,,,,,,,
단기차입금,585.3,201.6,304.1,12.1,13.3,,9.3,
유동성장기부채,"1,821.7","3,108.6","5,112.6","4,407.1","4,149.0",,-5.9,
당기손익-공정가치측정금융부채,,,,,,,,
상각후원가측정금융부채,,,,,,,,
유동금융부채,,,76.5,80.7,99.5,,23.3,
매입채무및기타채무,"21,629.8","11,351.6","12,590.9","15,717.7","25,413.9",,61.7,
유동종업원급여충당부채,,,,,,,,
단기충당부채,266.8,280.1,490.1,622.5,"1,024.2",,64.5,
당기법인세부채(미지급법인세),505.5,209.6,388.4,996.3,"2,302.3",,131.1,
계약부채,,,,,,,,
반품(환불)부채,,,,,,,,
배출부채,,,,,,,,
기타유동부채,163.3,692.5,"1,499.9","1,005.7",100.5,,-90.0,
매각예정으로분류된처분자산에포함된부채,,,,,,,,
비유동부채,"14,294.6","20,534.3","15,199.4","13,266.9","11,168.8","11,132.1",-15.8,-0.3
사채,"7,282.7","7,184.3","4,562.8","5,823.5","4,578.1",,-21.4,
장기차입금,"5,336.6","10,773.0","9,203.7","7,013.8","6,151.2",,-12.3,
당기손익-공정가치측정금융부채,,,,,,,,
상각후원가측정금융부채,,,,,,,,
비유동금융부채,,,35.4,191.4,55.8,,-70.9,
장기매입채무및기타채무,131.0,154.6,181.1,201.2,281.2,,39.8,
비유동종업원급여충당부채,577.0,209.1,220.8,37.0,34.9,,-5.6,
장기충당부채,8.8,8.8,,,1.3,,,
이연법인세부채,,,,,1.0,,,
장기당기법인세부채(미지급법인세),,,,,,,,
계약부채,,,,,,,,
반품(환불)부채,,,,,,,,
배출부채,,,,,,,,
기타비유동부채,958.6,"2,204.6",995.7,,65.4,,,
기타금융업부채,,,,,,,,
*이자발생부채,"15,026.2","21,267.5","19,294.2","17,374.5","15,032.6",,-13.5,
*순부채,"11,330.9","15,055.0","11,294.4","10,408.5","9,372.8","4,350.3",-9.9,-53.6
*CAPEX,"7,756.6","14,135.3","4,696.0","7,666.6","10,104.0","14,015.7",31.8,38.7
자본총계,"19,507.8","21,182.4","22,046.0","24,276.9","33,142.1","42,901.9",36.5,29.4
지배주주지분,"19,507.8","21,182.3","22,046.0","24,276.9","33,142.1","42,901.9",36.5,29.4
자본금,"1,183.4","1,183.4","1,183.4","1,183.4","1,183.4","1,180.7",0.0,-0.2
신종자본증권,,,,,,,,
자본잉여금,"11,336.5","11,336.5","11,336.5","11,336.5","11,336.5",,0.0,
기타자본,-3.2,-3.2,-3.2,-3.2,-3.2,,0.0,
기타포괄이익누계액,-422.3,-401.5,-363.2,-454.8,144.3,,131.7,
이익잉여금,"7,413.5","9,067.2","9,892.6","12,215.1","20,481.1",,67.7,
*(지배)당기순이익,"1,747.8","1,631.0","1,023.0","2,361.2","8,882.8",,276.2,
비지배주주지분,0.0,0.0,0.0,0.0,,,,
*(비지배)당기순이익,,0.0,-0.0,0.0,0.0,,-88.0,
수권주식수,"200,000","200,000","200,000","200,000","200,000",,0,
1주당금액,"5,000","5,000","5,000","5,000","5,000",,0,
발행주식수,"23,667","23,667","23,667","23,667","23,667",,0,
보통주,"23,667","23,667","23,667","23,667","23,667",,0,
우선주,,,,,,,,
