항목,2017/12,2018/12,2019/12,2020/12,2021/12,"2022/12(E)

연간컨센서스닫기",전년대비,전년대비
자산총계,"22,558.2","24,058.4","25,381.4","25,404.0","27,967.3","29,366.8",10.1,5.0
유동자산,"14,161.2","15,360.8","16,669.0","16,498.0","18,877.5","20,421.3",14.4,8.2
재고자산,"1,669.4","1,966.3","1,962.9","1,768.6","2,614.8",,47.8,
유동생물자산,,,,,,,,
당기손익-공정가치측정금융자산,,,57.9,5.0,,,,
기타포괄손익-공정가치측정금융자산,,,,,,,,
상각후원가측정유가증권,,,,,,,,
상각후원가측정금융자산,,,,,,,,
단기금융자산,"1,488.9",141.7,212.2,256.3,275.3,,7.4,
매출채권및기타채권,"7,820.8","5,836.3","5,856.5","5,311.1","5,897.1",,11.0,
당기법인세자산(선급법인세),0.9,0.7,0.4,0.4,,,,
계약자산,,"2,578.2","2,914.1","2,035.6","2,564.1",,26.0,
반품(환불)자산,,,,,,,,
배출권,,,,,,,,
기타유동자산,516.4,281.4,319.9,288.7,510.3,,76.7,
현금및현금성자산,"2,615.1","4,556.3","5,345.1","6,832.3","7,016.0",,2.7,
매각예정비유동자산및처분자산,49.7,,,,,,,
비유동자산,"8,397.0","8,697.5","8,712.4","8,905.9","9,089.8",,2.1,
유형자산,"5,773.7","5,537.0","5,537.6","5,572.9","5,642.7",,1.3,
무형자산,"1,158.3","1,273.6","1,136.5","1,044.7","1,016.9",,-2.7,
비유동생물자산,,,,,,,,
투자부동산,,,,,,,,
투자자산,445.8,"1,036.7","1,162.0","1,263.2","1,098.2",,-13.1,
장기매출채권및기타채권,268.1,242.8,151.7,236.8,242.7,,2.5,
이연법인세자산,443.7,414.6,281.7,240.2,223.6,,-6.9,
장기당기법인세자산,,,,,,,,
계약자산,,,,,203.9,,,
반품(환불)자산,,,,,,,,
배출권,,,,,,,,
기타비유동자산,307.5,192.8,443.0,548.2,662.0,,20.8,
기타금융업자산,,,,,,,,
*순자산1,"11,481.4","12,974.7","13,626.8","14,134.7","14,734.2",,4.2,
*순자산2,"10,323.1","11,701.1","12,490.3","13,090.0","13,717.3",,4.8,
부채총계,"11,076.8","11,083.6","11,754.6","11,269.3","13,233.1","13,481.8",17.4,1.9
유동부채,"6,498.2","7,001.7","7,537.8","6,442.5","8,453.0","8,965.8",31.2,6.1
단기사채,,,,,,,,
단기차입금,494.4,611.3,472.7,461.1,739.0,,60.3,
유동성장기부채,"1,499.1","1,499.1","1,642.4","1,083.7","1,901.7",,75.5,
당기손익-공정가치측정금융부채,,,,,,,,
상각후원가측정금융부채,,,,,,,,
유동금융부채,15.9,92.3,22.7,29.6,95.0,,221.3,
매입채무및기타채무,"3,786.4","3,265.8","3,968.1","3,329.2","3,942.7",,18.4,
유동종업원급여충당부채,,,,,,,,
단기충당부채,220.3,511.8,329.5,314.2,204.9,,-34.8,
당기법인세부채(미지급법인세),175.5,315.4,81.3,183.5,145.1,,-20.9,
계약부채,,666.0,"1,021.2","1,041.2","1,418.5",,36.2,
반품(환불)부채,,,,,,,,
배출부채,,,,,,,,
기타유동부채,306.5,40.2,,,6.3,,,
매각예정으로분류된처분자산에포함된부채,,,,,,,,
비유동부채,"4,578.6","4,081.9","4,216.8","4,826.8","4,780.1","4,513.5",-1.0,-5.6
사채,"4,490.1","3,991.4","3,990.5","4,590.4","4,391.0",,-4.3,
장기차입금,0.1,,,,44.3,,,
당기손익-공정가치측정금융부채,,,,,,,,
상각후원가측정금융부채,,,,,,,,
비유동금융부채,,12.2,103.2,146.0,256.2,,75.4,
장기매입채무및기타채무,0.2,0.2,0.2,1.2,0.2,,-83.3,
비유동종업원급여충당부채,32.3,53.0,51.0,45.1,12.8,,-71.7,
장기충당부채,3.8,,43.1,42.9,53.1,,23.9,
이연법인세부채,,,,,,,,
장기당기법인세부채(미지급법인세),,,,,,,,
계약부채,,,,,,,,
반품(환불)부채,,,,,,,,
배출부채,,,,,,,,
기타비유동부채,52.1,25.2,28.9,1.2,22.6,,"1,731.9",
기타금융업부채,,,,,,,,
*이자발생부채,"6,483.7","6,101.8","6,208.2","6,279.3","7,332.0",,16.8,
*순부채,"2,518.1","1,413.8",705.9,-624.6,87.6,-878.3,114.0,"-1,102.8"
*CAPEX,456.0,552.1,775.1,741.9,558.4,794.7,-24.7,42.3
자본총계,"11,481.4","12,974.7","13,626.8","14,134.7","14,734.2","15,885.0",4.2,7.8
지배주주지분,"11,457.2","12,945.1","13,605.9","14,115.0","14,816.3","15,945.0",5.0,7.6
자본금,"1,500.0","1,500.0","1,500.0","1,500.0","1,500.0","1,500.0",0.0,0.0
신종자본증권,,,,,,,,
자본잉여금,11.8,11.8,11.8,8.8,-40.9,,-564.4,
기타자본,-255.4,-255.4,-255.4,-255.4,-255.4,,0.0,
기타포괄이익누계액,-66.6,-144.7,-114.6,-119.7,44.0,,136.7,
이익잉여금,"10,267.4","11,833.4","12,464.2","12,981.3","13,568.6",,4.5,
*(지배)당기순이익,"1,051.0","1,315.6","1,038.7",851.8,847.4,,-0.5,
비지배주주지분,24.2,29.6,20.9,19.7,-82.1,,-516.7,
*(비지배)당기순이익,9.1,6.8,-8.3,3.1,5.7,,85.9,
수권주식수,"300,000","300,000","300,000","300,000","300,000",,0,
1주당금액,"5,000","5,000","5,000","5,000","5,000",,0,
발행주식수,"30,000","30,000","30,000","30,000","30,000",,0,
보통주,"30,000","30,000","30,000","30,000","30,000",,0,
우선주,,,,,,,,
