항목,2017/12,2018/12,2019/12,2020/12,2021/12,"2022/12(E)

연간컨센서스닫기",전년대비,전년대비
자산총계,"41,856.6","42,312.4","44,381.2","36,416.3","38,272.7","40,636.1",5.1,6.2
유동자산,"21,643.0","17,590.3","18,781.9","14,981.8","16,570.3","19,241.9",10.6,16.1
재고자산,13.0,11.5,36.4,21.6,34.0,,57.6,
유동생물자산,,,,,,,,
당기손익-공정가치측정금융자산,,"1,225.3",887.3,"4,239.1","2,837.8",,-33.1,
기타포괄손익-공정가치측정금융자산,,,,,,,,
상각후원가측정유가증권,,"3,100.2",0.2,8.5,0.0,,-99.8,
상각후원가측정금융자산,,,,,,,,
단기금융자산,"20,015.2","12,184.5","16,780.0","9,766.3","11,470.2",,17.4,
매출채권및기타채권,341.9,439.4,342.9,124.2,111.2,,-10.4,
당기법인세자산(선급법인세),,0.3,0.2,88.1,,,,
계약자산,,,,,,,,
반품(환불)자산,,,,,,,,
배출권,,,,,,,,
기타유동자산,217.1,140.7,128.3,73.5,53.1,,-27.8,
현금및현금성자산,"1,055.7",488.5,606.7,660.5,"2,064.0",,212.5,
매각예정비유동자산및처분자산,,,,,,,,
비유동자산,"20,213.6","24,722.1","25,599.3","21,434.5","21,702.4",,1.3,
유형자산,"12,979.8","13,140.4","13,705.7","13,493.7","13,040.0",,-3.4,
무형자산,12.5,8.7,39.0,38.5,31.5,,-18.2,
비유동생물자산,,,,,,,,
투자부동산,,,,,,,,
투자자산,"5,253.9","9,809.6","10,362.5","5,179.6","5,663.6",,9.3,
장기매출채권및기타채권,,30.9,29.3,29.7,4.7,,-84.2,
이연법인세자산,"1,622.3","1,638.9","1,432.7","2,671.4","2,805.3",,5.0,
장기당기법인세자산,,,,,,,,
계약자산,,,,,,,,
반품(환불)자산,,,,,,,,
배출권,,,,,,,,
기타비유동자산,345.1,93.6,30.0,21.6,157.3,,628.2,
기타금융업자산,,,,,,,,
*순자산1,"35,012.4","35,867.8","37,177.6","32,470.3","32,527.9",,0.2,
*순자산2,"34,999.8","35,859.1","37,138.6","32,431.8","32,496.4",,0.2,
부채총계,"6,844.2","6,444.6","7,203.6","3,946.0","5,744.8","6,271.8",45.6,9.2
유동부채,"6,813.4","6,360.3","6,513.4","3,299.7","5,067.6","5,525.0",53.6,9.0
단기사채,,,,,,,,
단기차입금,,,,,,,,
유동성장기부채,,,,,,,,
당기손익-공정가치측정금융부채,,,,,,,,
상각후원가측정금융부채,,,,,,,,
유동금융부채,,,23.9,26.0,21.9,,-15.6,
매입채무및기타채무,"4,882.7","4,594.5","4,908.6","2,761.8","4,314.1",,56.2,
유동종업원급여충당부채,,,155.0,100.8,142.7,,41.7,
단기충당부채,617.1,618.4,,,,,,
당기법인세부채(미지급법인세),803.8,612.4,877.3,,95.9,,,
계약부채,,,,,,,,
반품(환불)부채,,,,,,,,
배출부채,,,,,,,,
기타유동부채,509.8,534.9,548.5,411.2,492.9,,19.9,
매각예정으로분류된처분자산에포함된부채,,,,,,,,
비유동부채,30.8,84.4,690.2,646.3,677.2,748.0,4.8,10.4
사채,,,,,,,,
장기차입금,14.0,,,,,,,
당기손익-공정가치측정금융부채,,,,,,,,
상각후원가측정금융부채,,,,,,,,
비유동금융부채,,,656.3,616.5,657.3,,6.6,
장기매입채무및기타채무,10.4,74.4,12.7,10.1,15.6,,53.9,
비유동종업원급여충당부채,5.4,4.3,19.1,17.7,,,,
장기충당부채,,,0.9,0.9,2.9,,202.5,
이연법인세부채,,,,,,,,
장기당기법인세부채(미지급법인세),,,,,,,,
계약부채,,,,,,,,
반품(환불)부채,,,,,,,,
배출부채,,,,,,,,
기타비유동부채,1.0,5.7,1.2,1.1,1.5,,39.2,
기타금융업부채,,,,,,,,
*이자발생부채,14.0,,680.3,642.5,633.7,,-1.4,
*순부채,"-21,046.7","-16,998.5","-17,593.9","-13,977.1","-15,673.1","-16,516.0",-12.1,-5.4
*CAPEX,854.9,"1,032.5",795.6,589.6,429.4,444.3,-27.2,3.5
자본총계,"35,012.4","35,867.8","37,177.6","32,470.3","32,527.9","34,364.4",0.2,5.7
지배주주지분,"35,011.0","35,867.4","37,177.0","32,469.9","32,527.7","34,362.9",0.2,5.6
자본금,"1,069.7","1,069.7","1,069.7","1,069.7","1,069.7","1,070.0",0.0,0.0
신종자본증권,,,,,,,,
자본잉여금,"1,293.5","1,293.5","1,293.5","1,293.5","1,293.5",,0.0,
기타자본,"-1,740.7","-1,741.1","-1,741.2","-1,741.2","-1,741.2",,0.0,
기타포괄이익누계액,,,,,,,,
이익잉여금,"34,388.5","35,245.2","36,555.1","31,848.0","31,905.7",,0.2,
*(지배)당기순이익,"4,376.1","2,973.3","3,346.6","-2,758.6",-105.7,,96.2,
비지배주주지분,1.3,0.4,0.5,0.4,0.2,,-41.6,
*(비지배)당기순이익,-0.7,-0.9,-0.0,-0.2,-0.1,,24.7,
수권주식수,"1,000,000","1,000,000","1,000,000","1,000,000","1,000,000",,0,
1주당금액,500,500,500,500,500,,0,
발행주식수,"213,941","213,941","213,941","213,941","213,941",,0,
보통주,"213,941","213,941","213,941","213,941","213,941",,0,
우선주,,,,,,,,
