항목,2017/12,2018/12,2019/12,2020/12,2021/12,"2022/12(E)

연간컨센서스닫기",전년대비,전년대비
자산총계,"60,910.0","57,302.2","54,390.1","54,185.4","63,341.1","69,294.3",16.9,9.4
유동자산,"20,493.7","21,738.6","19,408.2","18,462.4","26,827.7","32,568.8",45.3,21.4
재고자산,"7,711.0","8,794.1","7,751.3","6,529.8","13,574.2",,107.9,
유동생물자산,,,,,,,,
당기손익-공정가치측정금융자산,,205.1,28.8,64.7,157.6,,143.8,
기타포괄손익-공정가치측정금융자산,,,,,,,,
상각후원가측정유가증권,,0.3,,7.5,6.0,,-19.5,
상각후원가측정금융자산,,,,,,,,
단기금융자산,322.6,413.0,308.7,"1,736.5",232.1,,-86.6,
매출채권및기타채권,"8,396.3","8,398.4","7,038.1","6,461.3","8,407.3",,30.1,
당기법인세자산(선급법인세),81.2,30.8,28.2,20.7,18.9,,-8.5,
계약자산,,50.0,57.3,168.5,156.3,,-7.2,
반품(환불)자산,,,,,,,,
배출권,,,,,,,,
기타유동자산,194.7,319.0,276.4,135.3,222.6,,64.6,
현금및현금성자산,"3,787.9","3,431.0","3,919.4","2,690.6","4,052.5",,50.6,
매각예정비유동자산및처분자산,,97.0,,647.7,,,,
비유동자산,"40,416.4","35,563.6","34,981.9","35,723.0","36,513.5",,2.2,
유형자산,"36,547.0","33,964.6","32,548.0","33,514.2","33,665.6",,0.5,
무형자산,950.7,759.7,523.2,525.6,495.5,,-5.7,
비유동생물자산,,,,,,,,
투자부동산,26.8,13.4,339.6,558.8,604.3,,8.2,
투자자산,"2,205.0",501.0,550.2,284.8,"1,029.0",,261.3,
장기매출채권및기타채권,596.0,239.1,98.8,93.3,269.4,,188.8,
이연법인세자산,19.5,36.4,62.8,31.2,26.9,,-13.9,
장기당기법인세자산,,,,,,,,
계약자산,,,,,,,,
반품(환불)자산,,,,,,,,
배출권,,,,,,,,
기타비유동자산,71.4,49.4,859.3,715.2,422.7,,-40.9,
기타금융업자산,,,,,,,,
*순자산1,"23,706.8","20,322.4","19,451.0","21,362.3","27,824.1",,30.3,
*순자산2,"22,756.1","19,562.7","18,927.8","20,836.7","27,328.7",,31.2,
부채총계,"37,203.2","36,979.8","34,939.1","32,823.1","35,517.0","35,278.0",8.2,-0.7
유동부채,"29,781.3","32,291.3","28,492.6","28,057.5","31,192.0","30,838.1",11.2,-1.1
단기사채,85.0,,,,,,,
단기차입금,"18,889.1","17,273.6","18,422.4","16,686.5","17,346.9",,4.0,
유동성장기부채,"3,771.7","5,883.0","2,547.6","2,757.3","2,355.9",,-14.6,
당기손익-공정가치측정금융부채,,,,,,,,
상각후원가측정금융부채,,,,,,,,
유동금융부채,42.8,41.7,197.4,591.8,562.1,,-5.0,
매입채무및기타채무,"6,798.4","8,967.6","7,132.8","7,508.4","9,511.4",,26.7,
유동종업원급여충당부채,,,,,,,,
단기충당부채,31.3,35.4,30.9,23.1,39.5,,71.2,
당기법인세부채(미지급법인세),24.3,16.2,24.8,152.5,899.7,,489.9,
계약부채,,7.9,4.2,6.0,134.0,,"2,148.7",
반품(환불)부채,,,,,,,,
