항목,2017/09,2018/09,2019/09,2020/09,2021/09,전년대비
자산총계,"2,526.2","2,476.6","2,368.6","2,368.5","2,570.8",8.5
유동자산,"1,582.6","1,548.5","1,484.0","1,526.3","1,751.1",14.7
재고자산,397.0,372.8,364.7,345.5,473.8,37.1
유동생물자산,,,,,,
당기손익-공정가치측정금융자산,,,586.7,584.7,572.1,-2.1
기타포괄손익-공정가치측정금융자산,,,,,,
상각후원가측정유가증권,,,,,,
상각후원가측정금융자산,,,,,,
단기금융자산,652.4,736.0,108.5,187.4,225.3,20.3
매출채권및기타채권,176.0,155.6,169.8,158.1,155.3,-1.8
당기법인세자산(선급법인세),,,,,,
계약자산,,,,,,
반품(환불)자산,,,,,,
배출권,,,,,,
기타유동자산,23.8,17.9,7.9,4.8,3.6,-25.1
현금및현금성자산,217.2,137.4,116.6,161.0,295.7,83.7
매각예정비유동자산및처분자산,116.3,128.7,129.8,84.8,25.3,-70.1
비유동자산,943.6,928.1,884.6,842.3,819.7,-2.7
유형자산,588.1,611.8,594.2,566.1,547.4,-3.3
무형자산,10.8,10.3,8.4,6.5,8.1,24.9
비유동생물자산,,,,,,
투자부동산,221.6,217.8,214.1,223.1,224.0,0.4
투자자산,102.8,64.2,36.1,5.7,3.8,-33.4
장기매출채권및기타채권,5.8,7.8,10.0,10.0,6.3,-37.0
이연법인세자산,14.6,16.3,21.8,30.9,30.1,-2.4
장기당기법인세자산,,,,,,
계약자산,,,,,,
반품(환불)자산,,,,,,
배출권,,,,,,
기타비유동자산,,,,,,
기타금융업자산,,,,,,
*순자산1,"1,848.3","1,866.9","1,898.2","1,919.5","1,998.0",4.1
*순자산2,"1,837.5","1,856.7","1,889.8","1,913.0","1,989.9",4.0
부채총계,677.9,609.7,470.4,449.0,572.8,27.6
유동부채,640.9,550.2,417.0,370.7,485.1,30.9
단기사채,,,,,,
단기차입금,457.3,374.2,219.6,178.8,221.8,24.1
유동성장기부채,1.7,2.1,30.5,5.0,2.5,-49.6
당기손익-공정가치측정금융부채,,,,,,
상각후원가측정금융부채,,,,,,
유동금융부채,,,,3.6,5.7,60.0
매입채무및기타채무,168.6,157.3,157.8,165.9,198.3,19.5
유동종업원급여충당부채,,,,,,
단기충당부채,1.8,0.8,0.4,0.4,31.5,"7,186.0"
당기법인세부채(미지급법인세),,7.6,2.1,13.2,20.9,57.8
계약부채,,,,,,
반품(환불)부채,,,,,,
배출부채,,,,,,
기타유동부채,11.5,8.2,6.6,3.8,4.4,16.1
매각예정으로분류된처분자산에포함된부채,,,,,,
비유동부채,37.0,59.5,53.4,78.3,87.7,12.0
사채,,,,,,
장기차입금,7.5,30.3,7.9,14.9,12.4,-17.0
당기손익-공정가치측정금융부채,,,,,,
상각후원가측정금융부채,,,,,,
비유동금융부채,,,,4.7,10.7,130.3
장기매입채무및기타채무,,5.5,5.5,,3.0,
비유동종업원급여충당부채,29.5,23.7,40.0,58.7,61.2,4.2
장기충당부채,,,,,,
이연법인세부채,,,,,,
장기당기법인세부채(미지급법인세),,,,,,
계약부채,,,,,,
반품(환불)부채,,,,,,
배출부채,,,,,,
기타비유동부채,,,,,0.4,
기타금융업부채,,,,,,
*이자발생부채,466.5,406.7,258.0,206.9,253.1,22.3
*순부채,-403.0,-466.3,-549.4,-725.0,-839.9,-15.8
*CAPEX,66.5,34.5,17.7,23.5,9.6,-59.0
자본총계,"1,848.3","1,866.9","1,898.2","1,919.5","1,998.0",4.1
지배주주지분,"1,848.3","1,856.9","1,893.6","1,912.2","1,990.2",4.1
자본금,211.6,211.6,211.6,211.6,211.6,0.0
신종자본증권,,,,,,
자본잉여금,960.6,960.6,960.6,960.6,960.6,0.0
기타자본,-62.1,-62.1,-63.5,-71.9,-71.9,0.0
기타포괄이익누계액,-78.0,-82.3,-73.1,-76.7,-65.7,14.4
이익잉여금,816.2,829.1,858.0,888.5,955.5,7.5
*(지배)당기순이익,70.0,29.9,56.4,49.9,74.0,48.4
비지배주주지분,,10.0,4.6,7.3,7.8,6.0
*(비지배)당기순이익,,0.2,1.0,1.3,0.4,-65.4
수권주식수,"6,000","6,000","60,000","60,000","60,000",0
1주당금액,"5,000","5,000",500,500,500,0
발행주식수,"4,231","4,231","42,314","42,314","42,314",0
보통주,"4,231","4,231","42,314","42,314","42,314",0
우선주,,,,,,
