항목,2017/12,2018/12,2019/12,2020/12,2021/12,"2022/12(E)

연간컨센서스닫기",전년대비,전년대비
자산총계,"6,356.2","6,539.3","6,849.2","7,641.4","7,602.5","8,090.0",-0.5,6.4
유동자산,"3,621.8","3,858.4","4,051.5","3,253.5","3,139.1","4,000.0",-3.5,27.4
재고자산,386.0,387.0,443.2,553.1,743.7,,34.5,
유동생물자산,,,,,,,,
당기손익-공정가치측정금융자산,,,,,,,,
기타포괄손익-공정가치측정금융자산,,,,,,,,
상각후원가측정유가증권,,,,,,,,
상각후원가측정금융자산,,,,,,,,
단기금융자산,"2,034.9","2,368.8","2,410.4","1,057.2",705.0,,-33.3,
매출채권및기타채권,760.7,620.9,604.1,683.4,613.1,,-10.3,
당기법인세자산(선급법인세),,,,,0.1,,,
계약자산,,,,,,,,
반품(환불)자산,,,,,,,,
배출권,,,,,,,,
기타유동자산,210.5,157.1,127.8,138.0,118.6,,-14.0,
현금및현금성자산,229.7,324.6,466.0,821.8,958.5,,16.6,
매각예정비유동자산및처분자산,,,,,,,,
비유동자산,"2,734.4","2,680.9","2,797.8","4,387.9","4,463.4",,1.7,
유형자산,"2,208.2","2,136.1","2,150.6","2,802.3","2,954.9",,5.4,
무형자산,53.9,73.4,59.6,733.6,646.7,,-11.8,
비유동생물자산,,,,,,,,
투자부동산,,,,109.5,140.6,,28.4,
투자자산,250.4,219.0,259.4,308.0,315.5,,2.5,
장기매출채권및기타채권,,,,,,,,
이연법인세자산,13.5,40.8,24.3,82.1,68.7,,-16.3,
장기당기법인세자산,,,,,,,,
계약자산,,,,,,,,
반품(환불)자산,,,,,,,,
배출권,,,,,,,,
기타비유동자산,208.4,211.4,303.9,352.4,336.9,,-4.4,
기타금융업자산,,,,,,,,
*순자산1,"5,288.5","5,450.8","5,711.4","5,895.3","5,578.8",,-5.4,
*순자산2,"5,234.6","5,377.3","5,651.8","5,161.7","4,932.1",,-4.5,
부채총계,"1,067.8","1,088.5","1,137.8","1,746.1","2,023.7","2,370.0",15.9,17.1
유동부채,937.6,957.3,942.9,"1,263.2","1,600.1","1,930.0",26.7,20.6
단기사채,,,,,,,,
단기차입금,,,,,,,,
유동성장기부채,,,,,,,,
당기손익-공정가치측정금융부채,,,,,,,,
상각후원가측정금융부채,,,,,,,,
유동금융부채,,,44.5,65.3,70.7,,8.4,
매입채무및기타채무,790.1,792.5,750.8,"1,104.6","1,461.9",,32.3,
유동종업원급여충당부채,,,,,,,,
단기충당부채,,,,,,,,
당기법인세부채(미지급법인세),52.1,61.2,45.3,82.7,31.4,,-62.1,
계약부채,,,,,,,,
반품(환불)부채,,,,,,,,
배출부채,,,,,,,,
기타유동부채,95.4,103.6,102.3,10.7,36.2,,236.6,
매각예정으로분류된처분자산에포함된부채,,,,,,,,
비유동부채,130.2,131.3,194.9,482.8,423.6,450.0,-12.3,6.2
사채,,,,,,,,
장기차입금,,,,,,,,
당기손익-공정가치측정금융부채,,,,,,,,
상각후원가측정금융부채,,,,,,,,
비유동금융부채,,,45.0,61.1,52.9,,-13.3,
장기매입채무및기타채무,91.6,100.7,108.8,145.2,144.1,,-0.8,
비유동종업원급여충당부채,37.9,28.7,36.8,184.7,155.7,,-15.7,
장기충당부채,,,,,,,,
이연법인세부채,0.6,1.8,4.3,91.8,70.9,,-22.8,
장기당기법인세부채(미지급법인세),,,,,,,,
계약부채,,,,,,,,
반품(환불)부채,,,,,,,,
배출부채,,,,,,,,
기타비유동부채,,,,,,,,
기타금융업부채,,,,,,,,
*이자발생부채,,,89.6,126.3,123.7,,-2.1,
*순부채,"-2,264.6","-2,693.4","-2,786.8","-1,752.7","-1,539.7","-2,170.0",12.2,-40.9
*CAPEX,230.4,210.9,274.6,484.1,569.9,330.0,17.7,-42.1
자본총계,"5,288.5","5,450.8","5,711.4","5,895.3","5,578.8","5,720.0",-5.4,2.5
지배주주지분,"5,288.4","5,450.7","5,711.4","5,895.3","5,578.8","5,720.0",-5.4,2.5
자본금,497.6,497.6,497.6,497.6,497.6,500.0,0.0,0.5
신종자본증권,,,,,,,,
자본잉여금,647.7,647.7,647.7,647.7,647.7,,0.0,
기타자본,-224.8,-224.8,-224.8,-224.8,-224.8,,0.0,
기타포괄이익누계액,23.6,-15.7,-18.9,-41.5,-26.1,,37.3,
이익잉여금,"4,344.5","4,546.0","4,809.9","5,016.4","4,684.4",,-6.6,
*(지배)당기순이익,296.2,342.0,410.6,348.8,-193.3,,-155.4,
비지배주주지분,0.0,0.0,,,,,,
*(비지배)당기순이익,0.0,-0.0,-0.0,,,,,
수권주식수,"24,000","24,000","24,000","24,000","24,000",,0,
1주당금액,"5,000","5,000","5,000","5,000","5,000",,0,
발행주식수,"9,851","9,851","9,851","9,851","9,851",,0,
보통주,"9,851","9,851","9,851","9,851","9,851",,0,
우선주,,,,,,,,
