항목,2017/12,2018/12,2019/12,2020/12,2021/12,전년대비
자산총계,429.9,432.6,425.1,403.6,543.9,34.8
유동자산,271.7,255.8,221.0,230.7,349.2,51.4
재고자산,68.1,75.1,74.8,69.1,74.6,7.9
유동생물자산,,,,,,
당기손익-공정가치측정금융자산,,,,,,
기타포괄손익-공정가치측정금융자산,,,,,,
상각후원가측정유가증권,,,,,,
상각후원가측정금융자산,,,,,,
단기금융자산,8.5,39.8,11.5,18.0,60.3,234.8
매출채권및기타채권,133.1,113.4,112.8,116.6,136.9,17.4
당기법인세자산(선급법인세),0.0,0.0,0.1,0.1,0.0,-86.3
계약자산,,,,,,
반품(환불)자산,,,,,,
배출권,,,,,,
기타유동자산,2.8,2.9,2.5,2.1,4.5,116.5
현금및현금성자산,59.2,24.6,19.3,24.8,72.9,193.8
매각예정비유동자산및처분자산,,,,,,
비유동자산,158.3,176.8,204.1,172.9,194.7,12.6
유형자산,109.2,127.2,158.3,140.0,137.0,-2.1
무형자산,6.1,5.8,5.5,5.2,4.1,-20.8
비유동생물자산,,,,,,
투자부동산,18.1,17.8,17.5,16.2,16.0,-1.0
투자자산,23.0,23.9,20.6,10.8,37.0,241.7
장기매출채권및기타채권,0.0,1.1,1.6,0.3,0.0,-91.4
이연법인세자산,,,,,,
장기당기법인세자산,,,,,,
계약자산,,,,,,
반품(환불)자산,,,,,,
배출권,,,,,,
기타비유동자산,1.8,1.0,0.7,0.5,0.5,9.6
기타금융업자산,,,,,,
*순자산1,293.0,293.6,274.1,265.3,307.6,15.9
*순자산2,286.9,287.9,268.6,260.2,303.5,16.7
부채총계,136.9,139.0,151.0,138.3,236.2,70.9
유동부채,121.5,128.9,124.1,116.3,117.4,0.9
단기사채,,,,,,
단기차입금,47.2,72.5,54.5,48.2,32.7,-32.3
유동성장기부채,,,,,10.0,
당기손익-공정가치측정금융부채,,,,,,
상각후원가측정금융부채,,,,,,
유동금융부채,,,6.8,,,
매입채무및기타채무,74.0,56.4,61.7,67.8,73.9,9.0
유동종업원급여충당부채,,,,,,
단기충당부채,,,,,,
당기법인세부채(미지급법인세),,,,,,
계약부채,,,,,,
반품(환불)부채,,,,,,
배출부채,,,,,,
기타유동부채,0.4,0.1,1.1,0.3,0.8,151.1
매각예정으로분류된처분자산에포함된부채,,,,,,
비유동부채,15.4,10.1,26.9,21.9,118.8,442.1
사채,,,,,68.9,
장기차입금,,,10.0,10.0,5.0,-50.0
당기손익-공정가치측정금융부채,,,,,,
상각후원가측정금융부채,,,,,,
비유동금융부채,,,8.0,,40.0,
장기매입채무및기타채무,8.0,8.0,,1.0,,
비유동종업원급여충당부채,7.4,2.1,8.9,10.9,4.9,-54.9
장기충당부채,,,,,,
이연법인세부채,,,,,,
장기당기법인세부채(미지급법인세),,,,,,
계약부채,,,,,,
반품(환불)부채,,,,,,
배출부채,,,,,,
기타비유동부채,,,,,,
기타금융업부채,,,,,,
*이자발생부채,47.2,72.5,64.5,58.2,116.6,100.3
*순부채,-16.9,10.8,36.7,17.8,-13.9,-178.2
*CAPEX,23.3,38.0,47.8,1.6,18.1,"1,065.2"
자본총계,293.0,293.6,274.1,265.3,307.6,15.9
지배주주지분,291.2,291.9,272.3,263.3,304.7,15.7
자본금,100.4,100.4,100.4,100.4,100.4,0.0
신종자본증권,,,,,,
자본잉여금,94.1,94.1,94.1,94.0,94.0,0.0
기타자본,-11.1,-11.1,-11.1,-11.1,-11.1,0.0
기타포괄이익누계액,-2.9,-14.2,-13.0,-12.6,-1.5,87.9
이익잉여금,110.7,122.7,101.9,92.6,122.9,32.8
*(지배)당기순이익,-26.7,2.0,-18.5,-9.7,29.1,399.6
비지배주주지분,1.8,1.7,1.8,2.0,2.9,42.0
*(비지배)당기순이익,0.1,-0.1,0.1,0.2,0.6,265.2
수권주식수,"50,000","50,000","100,000","100,000","50,000",-50
1주당금액,500,500,500,500,500,0
발행주식수,"20,087","20,087","20,087","20,087","20,087",0
보통주,"19,487","19,487","19,487","19,487","19,487",0
우선주,600,600,600,600,600,0
