항목,2017/12,2018/12,2019/12,2020/12,2021/12,"2022/12(E)

연간컨센서스닫기",전년대비,전년대비
자산총계,"7,928.9","8,160.0","8,482.8","9,194.8","12,756.4","13,873.4",38.7,8.8
유동자산,"3,246.3","3,017.4","4,590.8","4,804.5","4,084.8","5,322.8",-15.0,30.3
재고자산,40.9,75.0,26.2,21.9,27.7,,26.8,
유동생물자산,,,,,,,,
당기손익-공정가치측정금융자산,,692.3,"1,736.8","1,778.8",926.3,,-47.9,
기타포괄손익-공정가치측정금융자산,,,,,,,,
상각후원가측정유가증권,,301.3,601.9,500.0,102.4,,-79.5,
상각후원가측정금융자산,,,,,,,,
단기금융자산,"1,041.7",106.8,125.1,182.9,225.2,,23.1,
매출채권및기타채권,"1,489.6","1,100.8","1,040.2",892.6,"1,311.0",,46.9,
당기법인세자산(선급법인세),,,,,53.9,,,
계약자산,,,,,,,,
반품(환불)자산,,,,,,,,
배출권,,,,,,,,
기타유동자산,16.7,424.0,422.1,430.0,631.5,,46.9,
현금및현금성자산,657.5,317.3,638.5,998.3,806.7,,-19.2,
매각예정비유동자산및처분자산,,,,,,,,
비유동자산,"4,682.6","5,142.6","3,892.0","4,390.3","8,671.6",,97.5,
유형자산,"2,876.1","2,684.7","2,373.7","2,133.2","2,844.4",,33.3,
무형자산,695.9,611.7,609.8,642.9,"4,535.7",,605.5,
비유동생물자산,,,,,,,,
투자부동산,25.0,37.5,36.6,35.7,106.4,,197.9,
투자자산,769.0,"1,292.0",228.2,196.7,338.0,,71.8,
장기매출채권및기타채권,135.7,123.3,86.8,87.0,58.4,,-32.9,
이연법인세자산,92.3,13.1,21.8,87.3,18.9,,-78.4,
장기당기법인세자산,,,,,,,,
계약자산,,,,,,,,
반품(환불)자산,,,,,,,,
배출권,,,,,,,,
기타비유동자산,88.7,380.3,535.1,"1,207.5",769.8,,-36.2,
기타금융업자산,,,,,,,,
*순자산1,"5,823.4","6,661.6","7,054.4","7,444.4","8,059.5",,8.3,
*순자산2,"5,127.6","6,049.9","6,444.6","6,801.5","3,523.8",,-48.2,
부채총계,"2,105.5","1,498.4","1,428.4","1,750.4","4,696.9","5,158.0",168.3,9.8
유동부채,"1,859.9","1,124.1","1,235.1","1,532.4","2,496.8","2,515.0",62.9,0.7
단기사채,,,30.0,30.0,,,,
단기차입금,10.0,,,2.0,"1,000.0",,"49,900.0",
유동성장기부채,599.8,,,,,,,
당기손익-공정가치측정금융부채,,,,,,,,
상각후원가측정금융부채,,,,,,,,
유동금융부채,,,29.9,22.8,29.9,,30.9,
매입채무및기타채무,"1,152.6",902.1,987.5,"1,222.8","1,278.1",,4.5,
유동종업원급여충당부채,,,,,,,,
단기충당부채,,,2.7,2.6,5.9,,130.0,
당기법인세부채(미지급법인세),67.5,150.9,119.8,180.6,66.5,,-63.2,
계약부채,,,,,,,,
반품(환불)부채,,,,,,,,
배출부채,,,,,,,,
기타유동부채,30.1,71.1,65.2,71.6,116.4,,62.6,
매각예정으로분류된처분자산에포함된부채,,,,,,,,
비유동부채,245.6,374.3,193.3,218.0,"2,200.2","2,643.0",909.1,20.1
사채,21.9,23.6,,,,,,
장기차입금,,,,,"1,496.4",,,
당기손익-공정가치측정금융부채,,,,,,,,
상각후원가측정금융부채,,,,,,,,
비유동금융부채,9.5,9.5,27.4,37.5,45.7,,21.8,
장기매입채무및기타채무,53.8,32.9,26.0,27.1,59.2,,118.3,
비유동종업원급여충당부채,141.7,234.5,83.4,114.6,122.6,,7.0,
장기충당부채,3.4,3.7,1.3,1.5,0.9,,-38.5,
이연법인세부채,,28.4,11.0,,449.0,,,
장기당기법인세부채(미지급법인세),,,,,,,,
계약부채,,,,,,,,
반품(환불)부채,,,,,,,,
배출부채,,,,,,,,
기타비유동부채,15.2,41.7,44.3,37.3,26.4,,-29.4,
기타금융업부채,,,,,,,,
*이자발생부채,641.2,33.1,87.3,92.3,"2,572.0",,"2,685.6",
*순부채,-16.3,"-1,277.8","-2,890.0","-3,184.8",736.6,208.3,123.1,-71.7
*CAPEX,578.8,686.8,435.3,430.3,463.9,572.0,7.8,23.3
자본총계,"5,823.4","6,661.6","7,054.4","7,444.4","8,059.5","8,715.4",8.3,8.1
지배주주지분,"5,778.2","6,612.7","6,991.5","7,371.7","7,918.2","8,484.0",7.4,7.2
자본금,"1,195.5","1,195.5","1,195.5","1,195.5","1,195.5","1,197.6",0.0,0.2
신종자본증권,,,,,,,,
자본잉여금,"1,634.5","1,634.5","1,634.5","1,642.0","1,624.3",,-1.1,
기타자본,-67.6,-67.6,-67.7,-75.2,-71.9,,4.3,
기타포괄이익누계액,-1.6,-0.8,-0.8,-38.1,52.4,,237.7,
이익잉여금,"3,017.4","3,851.1","4,229.9","4,647.3","5,117.8",,10.1,
*(지배)당기순이익,573.8,516.2,545.6,572.2,602.0,,5.2,
비지배주주지분,45.2,48.9,62.9,72.7,141.3,,94.3,
*(비지배)당기순이익,-0.7,3.9,14.5,9.7,21.1,,117.4,
수권주식수,"240,000","240,000","240,000","240,000","240,000",,0,
1주당금액,"2,500","2,500","2,500","2,500","2,500",,0,
발행주식수,"47,822","47,822","47,822","47,822","47,822",,0,
보통주,"47,822","47,822","47,822","47,822","47,822",,0,
우선주,,,,,,,,
