항목,2019/09,2020/03,2020/09,2021/03,2021/09,전년대비
자산총계,"7,396.7","8,098.3","13,787.6","15,334.4","19,055.2",24.3
유동자산,209.2,198.2,404.2,319.0,527.9,65.5
재고자산,,,,,,
유동생물자산,,,,,,
당기손익-공정가치측정금융자산,,,,,,
기타포괄손익-공정가치측정금융자산,,,,,,
상각후원가측정유가증권,,,,,,
상각후원가측정금융자산,,,,,,
단기금융자산,145.0,147.0,113.7,7.6,45.4,499.2
매출채권및기타채권,1.5,2.8,5.0,5.4,6.9,28.0
당기법인세자산(선급법인세),0.3,0.2,0.1,0.1,0.2,31.6
계약자산,,,,,,
반품(환불)자산,,,,,,
배출권,,,,,,
기타유동자산,15.2,28.7,166.7,42.3,92.5,118.7
현금및현금성자산,47.2,19.5,118.8,263.6,383.0,45.3
매각예정비유동자산및처분자산,,,,,,
비유동자산,"7,187.5","7,900.1","13,383.4","15,015.4","18,527.3",23.4
유형자산,,,,,,
무형자산,,,,,,
비유동생물자산,,,,,,
투자부동산,"7,152.9","7,863.6","13,290.8","14,918.7","18,398.0",23.3
투자자산,13.1,16.0,73.3,76.6,103.2,34.8
장기매출채권및기타채권,,,,,6.8,
이연법인세자산,,,,,,
장기당기법인세자산,,,,,,
계약자산,,,,,,
반품(환불)자산,,,,,,
배출권,,,,,,
기타비유동자산,21.4,20.5,19.4,20.1,19.3,-3.9
기타금융업자산,,,,,,
*순자산1,"2,785.7","2,779.6","3,569.0","3,535.1","3,438.3",-2.7
*순자산2,"2,785.7","2,779.6","3,569.0","3,535.1","3,438.3",-2.7
부채총계,"4,611.0","5,318.7","10,218.6","11,799.3","15,616.9",32.4
유동부채,93.4,333.8,"1,550.5","2,058.5","1,785.7",-13.3
단기사채,,,,,,
단기차입금,,246.7,"1,192.0","1,549.0","1,276.0",-17.6
유동성장기부채,,,,,,
당기손익-공정가치측정금융부채,,,,,,
상각후원가측정금융부채,,,,,,
유동금융부채,,,0.3,311.6,260.9,-16.3
매입채무및기타채무,84.8,76.7,167.0,176.5,206.7,17.1
유동종업원급여충당부채,,,,,,
단기충당부채,,,,,,
당기법인세부채(미지급법인세),,,,,,
계약부채,,,,,,
반품(환불)부채,,,,,,
배출부채,,,,,,
기타유동부채,8.7,10.4,191.2,21.4,42.1,96.2
매각예정으로분류된처분자산에포함된부채,,,,,,
비유동부채,"4,517.6","4,984.8","8,668.1","9,740.8","13,831.2",42.0
사채,,,,,,
장기차입금,"4,327.3","4,769.1","8,383.3","9,416.7","13,405.7",42.4
당기손익-공정가치측정금융부채,,,0.0,,,
상각후원가측정금융부채,,,,,,
비유동금융부채,,,0.4,0.3,0.1,-59.7
장기매입채무및기타채무,163.2,189.7,259.9,291.9,388.7,33.2
비유동종업원급여충당부채,,,,,,
장기충당부채,,,,,,
이연법인세부채,,,,,,
장기당기법인세부채(미지급법인세),,,,,,
계약부채,,,,,,
반품(환불)부채,,,,,,
배출부채,,,,,,
기타비유동부채,27.1,26.0,24.5,31.9,36.6,14.7
기타금융업부채,,,,,,
*이자발생부채,"4,327.3","5,015.8","9,576.0","10,966.3","14,682.2",33.9
*순부채,"4,135.1","4,849.2","9,343.8","10,695.4","14,254.1",33.3
*CAPEX,,,,,,
자본총계,"2,785.7","2,779.6","3,569.0","3,535.1","3,438.3",-2.7
지배주주지분,"2,785.7","2,760.2","2,970.7","2,932.2","2,843.1",-3.0
자본금,516.3,516.3,563.3,563.3,563.3,0.0
신종자본증권,,,,,,
자본잉여금,"2,263.9","2,263.9","2,489.3","2,489.3","2,489.3",0.0
기타자본,-2.1,-2.1,-3.0,-3.0,-7.0,-131.5
기타포괄이익누계액,,,,,,
이익잉여금,7.5,-17.9,-78.9,-117.4,-202.5,-72.5
*(지배)당기순이익,30.2,57.9,26.9,58.1,17.1,-70.5
비지배주주지분,,19.3,598.3,602.8,595.2,-1.3
*(비지배)당기순이익,,-0.6,-1.7,11.2,12.3,9.3
수권주식수,"1,000,000","1,000,000","1,000,000","1,000,000","1,000,000",0
1주당금액,"1,000","1,000","1,000","1,000","1,000",0
발행주식수,"51,630","51,630","56,330","56,330","56,330",0
보통주,"47,630","47,630","52,330","52,330","52,330",0
우선주,"4,000","4,000","4,000","4,000","4,000",0
