항목,2017/12,2018/12,2019/12,2020/12,2021/12,전년대비
자산총계,"4,775.7","7,443.3","7,725.5","7,014.2","7,801.6",11.2
유동자산,"2,080.9","2,606.7","2,750.9","2,821.4","3,339.7",18.4
재고자산,464.7,"1,196.0","1,082.0",870.5,"1,099.3",26.3
유동생물자산,,,,,,
당기손익-공정가치측정금융자산,,,,,,
기타포괄손익-공정가치측정금융자산,,,,,,
상각후원가측정유가증권,,,,,,
상각후원가측정금융자산,,,,,,
단기금융자산,468.4,112.9,105.9,515.9,566.2,9.8
매출채권및기타채권,987.1,"1,003.0","1,070.1",916.3,"1,260.6",37.6
당기법인세자산(선급법인세),0.2,12.6,0.0,,0.0,
계약자산,,,,,,
반품(환불)자산,,,,,,
배출권,,,,,,
기타유동자산,66.6,64.4,153.4,140.8,168.1,19.3
현금및현금성자산,93.9,195.6,270.2,378.0,241.2,-36.2
매각예정비유동자산및처분자산,,22.1,69.3,,4.3,
비유동자산,"2,694.8","4,836.7","4,974.7","4,192.8","4,461.9",6.4
유형자산,"2,131.3","4,019.6","4,076.0","3,697.6","3,908.6",5.7
무형자산,65.1,662.2,744.9,298.6,292.8,-2.0
비유동생물자산,,,,,,
투자부동산,19.8,19.5,19.2,19.0,34.3,80.8
투자자산,398.3,93.7,93.9,138.8,158.9,14.4
장기매출채권및기타채권,0.7,12.1,12.5,16.0,23.6,47.8
이연법인세자산,15.0,15.5,22.9,17.9,16.0,-10.8
장기당기법인세자산,,,,,,
계약자산,,,,,,
반품(환불)자산,,,,,,
배출권,,,,,,
기타비유동자산,64.6,14.0,5.3,4.9,27.8,473.5
기타금융업자산,,,,,,
*순자산1,"2,075.0","2,807.4","2,858.6","2,619.0","2,926.6",11.8
*순자산2,"2,009.8","2,145.2","2,113.7","2,320.4","2,633.9",13.5
부채총계,"2,700.8","4,635.9","4,867.0","4,395.2","4,874.9",10.9
유동부채,"2,246.9","3,841.4","4,035.1","3,663.4","3,674.6",0.3
단기사채,,,,132.2,,
단기차입금,"1,587.4","2,610.8","2,727.6","2,466.9","2,507.1",1.6
유동성장기부채,261.7,651.5,640.6,515.0,429.9,-16.5
당기손익-공정가치측정금융부채,,,,,,
상각후원가측정금융부채,,,,,,
유동금융부채,0.9,0.0,85.3,6.1,7.8,26.7
매입채무및기타채무,349.5,470.1,467.4,472.5,613.1,29.8
유동종업원급여충당부채,,,,,,
단기충당부채,11.3,11.3,11.3,,,
당기법인세부채(미지급법인세),19.4,29.7,12.4,7.9,23.6,200.3
계약부채,,,,,,
반품(환불)부채,,,,,,
배출부채,,,,,,
기타유동부채,16.7,67.9,90.6,62.7,93.0,48.2
매각예정으로분류된처분자산에포함된부채,,,,,,
비유동부채,453.9,794.6,831.8,731.8,"1,200.4",64.0
사채,,,188.2,399.8,879.9,120.1
장기차입금,203.6,426.3,291.4,104.3,102.8,-1.4
당기손익-공정가치측정금융부채,,,,,,
상각후원가측정금융부채,,,,,,
비유동금융부채,43.6,97.8,99.8,25.8,23.6,-8.4
장기매입채무및기타채무,9.5,5.0,7.0,5.9,5.3,-9.8
비유동종업원급여충당부채,193.5,180.2,149.2,113.0,105.8,-6.3
장기충당부채,2.3,1.1,0.6,0.5,0.5,-12.4
이연법인세부채,1.4,84.1,95.6,82.7,82.5,-0.3
장기당기법인세부채(미지급법인세),,,,,,
계약부채,,,,,,
반품(환불)부채,,,,,,
배출부채,,,,,,
기타비유동부채,,,,,,
기타금융업부채,,,,,,
*이자발생부채,"2,089.2","3,786.1","3,951.2","3,649.8","3,950.5",8.2
*순부채,"1,995.4","3,590.4","3,678.6","3,171.7","3,707.3",16.9
*CAPEX,"1,120.0",633.4,667.4,566.7,594.7,4.9
자본총계,"2,075.0","2,807.4","2,858.6","2,619.0","2,926.6",11.8
지배주주지분,"2,068.8","2,045.0","2,054.1","2,020.8","2,278.8",12.8
자본금,372.8,372.8,372.8,416.2,449.2,7.9
신종자본증권,,,,,,
자본잉여금,700.9,698.2,747.6,861.0,"1,002.2",16.4
기타자본,-6.8,-6.8,-6.8,-6.8,-6.8,0.0
기타포괄이익누계액,-43.0,2.7,40.2,-4.3,30.5,817.0
이익잉여금,"1,044.8",978.1,900.3,754.7,803.7,6.5
*(지배)당기순이익,128.3,19.4,-72.7,-147.5,41.5,128.2
비지배주주지분,6.2,762.4,804.5,598.2,647.9,8.3
*(비지배)당기순이익,1.1,13.3,4.8,-171.9,-17.1,90.1
수권주식수,"100,000","100,000","100,000","100,000","150,000",50
1주당금액,500,500,500,500,500,0
발행주식수,"74,566","74,566","74,566","83,249","89,833",8
보통주,"74,524","74,524","74,524","83,207","89,791",8
우선주,42,42,42,42,42,0
