항목,2017/12,2018/12,2019/12,2020/12,2021/12,전년대비
자산총계,"1,791.9","1,760.8","1,808.3","1,747.2","1,799.0",3.0
유동자산,880.1,738.8,763.0,730.5,762.4,4.4
재고자산,114.1,116.6,134.5,131.3,137.3,4.6
유동생물자산,,,,,,
당기손익-공정가치측정금융자산,,,,,,
기타포괄손익-공정가치측정금융자산,,,,,,
상각후원가측정유가증권,,0.1,0.1,0.1,,
상각후원가측정금융자산,,,,,,
단기금융자산,0.4,0.3,0.2,0.1,0.1,-55.1
매출채권및기타채권,386.7,291.7,269.3,275.7,223.1,-19.1
당기법인세자산(선급법인세),0.0,,,,,
계약자산,,,,,,
반품(환불)자산,,0.0,0.0,,,
배출권,,,,,,
기타유동자산,11.5,36.3,41.9,40.5,42.8,5.7
현금및현금성자산,367.4,293.7,316.9,282.9,359.2,27.0
매각예정비유동자산및처분자산,,,,,,
비유동자산,911.8,"1,022.1","1,045.4","1,016.7","1,036.5",1.9
유형자산,811.4,893.0,919.6,887.6,890.2,0.3
무형자산,54.6,51.3,54.1,47.4,54.8,15.6
비유동생물자산,,,,,,
투자부동산,24.7,58.9,57.8,56.9,56.2,-1.3
투자자산,2.5,2.2,2.1,3.5,3.5,1.4
장기매출채권및기타채권,10.3,10.4,9.0,5.5,5.1,-7.3
이연법인세자산,6.3,6.3,,4.8,7.3,51.5
장기당기법인세자산,,,,,,
계약자산,,,,,,
반품(환불)자산,,,,,,
배출권,,,,,,
기타비유동자산,2.0,,2.8,11.0,19.5,77.6
기타금융업자산,,,,,,
*순자산1,"1,414.6","1,435.2","1,467.5","1,475.2","1,552.1",5.2
*순자산2,"1,360.0","1,384.0","1,413.4","1,427.8","1,497.3",4.9
부채총계,377.2,325.6,340.8,272.0,246.9,-9.2
유동부채,352.2,322.5,335.7,271.4,246.1,-9.3
단기사채,,,,,,
단기차입금,,,76.7,89.1,86.6,-2.8
유동성장기부채,21.5,45.5,45.0,,,
당기손익-공정가치측정금융부채,,,,,,
상각후원가측정금융부채,,,,,,
유동금융부채,,,2.3,1.5,1.7,7.9
매입채무및기타채무,234.3,262.9,185.6,158.5,144.5,-8.9
유동종업원급여충당부채,,,,,,
단기충당부채,3.2,,,,,
당기법인세부채(미지급법인세),91.9,10.2,22.1,17.9,10.9,-39.0
계약부채,,,,,,
반품(환불)부채,,3.0,3.3,3.3,1.5,-56.4
배출부채,,,,,,
기타유동부채,1.4,0.9,0.7,1.1,1.0,-9.1
매각예정으로분류된처분자산에포함된부채,,,,,,
비유동부채,25.0,3.1,5.1,0.5,0.8,46.1
사채,,,,,,
장기차입금,25.0,,,,,
당기손익-공정가치측정금융부채,,,,,,
상각후원가측정금융부채,,,,,,
비유동금융부채,,,0.5,0.2,0.8,239.7
장기매입채무및기타채무,,0.3,0.3,0.3,,
비유동종업원급여충당부채,,2.8,2.6,,,
장기충당부채,,,,,,
이연법인세부채,,,1.7,,,
장기당기법인세부채(미지급법인세),,,,,,
계약부채,,,,,,
반품(환불)부채,,,,,,
배출부채,,,,,,
기타비유동부채,,,,,,
기타금융업부채,,,,,,
*이자발생부채,46.5,45.5,124.5,90.8,89.0,-2.0
*순부채,-321.0,-248.4,-192.6,-192.2,-270.1,-40.6
*CAPEX,51.6,194.9,88.2,63.2,74.0,17.1
자본총계,"1,414.6","1,435.2","1,467.5","1,475.2","1,552.1",5.2
지배주주지분,"1,397.3","1,419.1","1,454.8","1,475.2","1,552.1",5.2
자본금,100.0,100.0,100.0,100.0,100.0,0.0
신종자본증권,,,,,,
자본잉여금,41.0,41.0,41.0,43.8,43.8,0.0
기타자본,-9.3,-9.3,-9.3,-9.3,-9.3,0.0
기타포괄이익누계액,10.1,3.8,11.6,14.7,63.3,330.5
이익잉여금,"1,255.5","1,283.7","1,311.6","1,326.1","1,354.4",2.1
*(지배)당기순이익,292.9,57.3,51.2,28.4,35.0,23.2
비지배주주지분,17.4,16.1,12.7,,,
*(비지배)당기순이익,2.9,-0.8,-3.7,-1.8,,
수권주식수,"80,000","80,000","80,000","80,000","80,000",0
1주당금액,500,500,500,500,500,0
발행주식수,"20,000","20,000","20,000","20,000","20,000",0
보통주,"20,000","20,000","20,000","20,000","20,000",0
우선주,,,,,,
