항목,2017/12,2018/12,2019/12,2020/12,2021/12,"2022/12(E)

연간컨센서스닫기",전년대비,전년대비
자산총계,"304,088.5","247,299.0","250,553.7","252,441.9","272,930.9","270,320.2",8.1,-1.0
유동자산,"176,637.2","123,166.9","125,459.9","130,014.3","145,622.0","143,566.3",12.0,-1.4
재고자산,"8,453.6","10,090.6","13,183.3","12,529.9","15,541.4",,24.0,
유동생물자산,,,,,,,,
당기손익-공정가치측정금융자산,,11.5,"8,743.1",,,,,
기타포괄손익-공정가치측정금융자산,,,,,,,,
상각후원가측정유가증권,,,,,,,,
상각후원가측정금융자산,,,,,,,,
단기금융자산,"5,531.6","13,530.2","7,694.5","11,427.8","8,512.2",,-25.5,
매출채권및기타채권,"52,939.5","14,706.7","14,241.7","10,300.5","10,645.4",,3.4,
당기법인세자산(선급법인세),199.6,112.6,148.3,49.7,77.6,,56.3,
계약자산,,"36,777.9","47,296.3","47,619.3","55,028.8",,15.6,
반품(환불)자산,,,,,,,,
배출권,,,,,,,,
기타유동자산,"18,645.3","13,754.9","9,785.2","9,077.2","10,011.1",,10.3,
현금및현금성자산,"32,397.3","30,417.9","22,251.4","37,034.1","45,674.7",,23.3,
매각예정비유동자산및처분자산,"58,470.2","3,764.6","2,116.1","1,975.8",130.8,,-93.4,
비유동자산,"127,451.3","124,132.1","125,093.8","122,427.6","127,309.0",,4.0,
유형자산,"110,462.6","102,690.1","99,467.2","99,705.4","98,720.1",,-1.0,
무형자산,"1,054.4",894.8,"1,154.2","1,172.8","1,335.4",,13.9,
비유동생물자산,,,,,,,,
투자부동산,"2,338.6","1,448.3","2,481.1","2,431.9","2,315.0",,-4.8,
투자자산,"3,425.0","6,187.7","7,318.3","7,036.5","8,072.9",,14.7,
장기매출채권및기타채권,656.8,804.5,"1,457.0","1,027.0","1,445.6",,40.8,
이연법인세자산,"9,037.6","11,996.8","12,810.4","10,016.0","14,299.2",,42.8,
장기당기법인세자산,,,,,,,,
계약자산,,,,,,,,
반품(환불)자산,,,,,,,,
배출권,,,,,,,,
기타비유동자산,476.3,109.8,405.6,"1,037.8","1,120.8",,8.0,
기타금융업자산,,,,,,,,
*순자산1,"123,720.4","131,109.6","129,263.2","124,212.3","124,137.6",,-0.1,
*순자산2,"122,665.9","130,214.8","128,108.9","123,039.4","122,802.2",,-0.2,
부채총계,"180,368.1","116,189.4","121,290.6","128,229.7","148,793.4","146,814.7",16.0,-1.3
유동부채,"156,148.7","94,102.5","89,419.4","95,115.3","112,864.7","110,808.8",18.7,-1.8
단기사채,"2,175.7",,,,,,,
단기차입금,"28,181.3","19,285.3","25,069.1","16,350.8","12,199.8",,-25.4,
유동성장기부채,"9,656.1","9,303.1","3,044.0","21,110.7","11,552.6",,-45.3,
당기손익-공정가치측정금융부채,,14.5,,,,,,
상각후원가측정금융부채,,,,,,,,
유동금융부채,"1,023.5","1,045.0","2,285.1","2,171.1","3,006.8",,38.5,
매입채무및기타채무,"61,778.8","23,751.0","25,865.1","26,831.3","31,817.8",,18.6,
유동종업원급여충당부채,,,,,,,,
단기충당부채,,"10,202.4","6,650.7","6,334.5","17,499.0",,176.3,
당기법인세부채(미지급법인세),329.7,48.2,100.8,12.5,15.3,,22.5,
계약부채,,"26,010.4","24,638.2","21,334.9","36,467.2",,70.9,
반품(환불)부채,,,,,,,,
배출부채,,,,,5.1,,,
기타유동부채,"4,224.8","4,442.6","1,766.4",15.6,301.1,,"1,824.7",
매각예정으로분류된처분자산에포함된부채,"48,778.9",,,953.9,,,,
