항목,2017/12,2018/12,2019/12,2020/12,2021/12,전년대비
자산총계,"12,742.0","12,117.6","12,115.7","11,838.8","11,551.9",-2.4
유동자산,"6,357.6","6,466.0","6,118.3","6,333.5","6,236.3",-1.5
재고자산,"1,929.4","2,101.0","2,073.6","2,100.4","2,417.8",15.1
유동생물자산,,,,,,
당기손익-공정가치측정금융자산,,,,,,
기타포괄손익-공정가치측정금융자산,,,,,,
상각후원가측정유가증권,,,,,,
상각후원가측정금융자산,,,,,,
단기금융자산,29.5,5.4,61.6,75.8,84.3,11.1
매출채권및기타채권,"2,859.5","2,824.2","2,631.6","2,497.3","2,339.9",-6.3
당기법인세자산(선급법인세),,,,,18.9,
계약자산,,,,,,
반품(환불)자산,,,,,,
배출권,,,,,,
기타유동자산,291.5,304.0,339.0,336.3,509.2,51.4
현금및현금성자산,"1,247.6","1,231.4","1,012.6","1,323.6",866.4,-34.5
매각예정비유동자산및처분자산,,,,,,
비유동자산,"6,384.4","5,651.6","5,997.3","5,505.3","5,315.6",-3.5
유형자산,"4,636.7","4,341.5","4,543.0","4,328.3","4,107.1",-5.1
무형자산,380.4,362.6,347.4,297.3,276.4,-7.0
비유동생물자산,,,,,,
투자부동산,117.1,116.0,114.8,263.1,220.6,-16.1
투자자산,992.8,491.8,759.3,509.5,454.1,-10.9
장기매출채권및기타채권,33.4,27.0,29.8,28.4,175.2,517.9
이연법인세자산,196.2,292.3,186.1,65.7,72.7,10.8
장기당기법인세자산,,,,,,
계약자산,,,,,,
반품(환불)자산,,,,,,
배출권,,,,,,
기타비유동자산,27.8,20.6,17.0,13.2,9.4,-29.0
기타금융업자산,,,,,,
*순자산1,"2,702.8","2,184.8","2,622.6","2,207.0","1,974.3",-10.5
*순자산2,"2,322.4","1,822.3","2,275.3","1,909.7","1,697.9",-11.1
부채총계,"10,039.2","9,932.8","9,493.0","9,631.9","9,577.6",-0.6
유동부채,"8,159.3","8,671.1","8,385.5","7,933.2","7,849.8",-1.1
단기사채,,,,180.0,235.1,30.6
단기차입금,"5,157.8","5,341.6","5,612.5","5,144.7","5,077.7",-1.3
유동성장기부채,451.0,871.5,561.6,233.4,284.4,21.9
당기손익-공정가치측정금융부채,,,,,,
상각후원가측정금융부채,,,,,,
유동금융부채,4.5,0.4,1.8,1.0,1.5,53.2
매입채무및기타채무,"2,429.1","2,119.2","2,038.0","2,172.9","1,913.4",-11.9
유동종업원급여충당부채,,,,,,
단기충당부채,,227.1,29.3,38.8,217.0,460.0
당기법인세부채(미지급법인세),52.0,4.8,16.1,15.3,,
계약부채,,100.3,118.2,145.3,93.7,-35.5
반품(환불)부채,,,,,,
배출부채,,,,,,
기타유동부채,65.0,6.3,8.0,1.9,26.9,"1,326.8"
매각예정으로분류된처분자산에포함된부채,,,,,,
비유동부채,"1,879.9","1,261.7","1,107.5","1,698.6","1,727.8",1.7
사채,724.9,27.0,,932.1,"1,280.0",37.3
장기차입금,625.6,777.6,488.5,312.3,111.5,-64.3
당기손익-공정가치측정금융부채,,,,,,
상각후원가측정금융부채,,,,,,
비유동금융부채,,,85.7,53.7,33.1,-38.3
장기매입채무및기타채무,117.1,89.0,119.8,95.6,59.0,-38.3
비유동종업원급여충당부채,412.3,368.1,413.5,305.1,244.2,-19.9
장기충당부채,,,,,,
이연법인세부채,,,,,,
장기당기법인세부채(미지급법인세),,,,,,
계약부채,,,,,,
반품(환불)부채,,,,,,
배출부채,,,,,,
기타비유동부채,,,,,,
기타금융업부채,,,,,,
*이자발생부채,"6,959.3","7,017.7","6,748.3","6,856.1","7,020.4",2.4
*순부채,"5,698.8","5,784.5","5,679.1","5,460.8","6,074.9",11.3
*CAPEX,855.9,523.6,631.4,371.0,384.0,3.5
자본총계,"2,702.8","2,184.8","2,622.6","2,207.0","1,974.3",-10.5
지배주주지분,"2,693.6","2,175.5","2,612.0","2,207.0","1,443.2",-34.6
자본금,322.8,322.8,322.8,345.2,250.3,-27.5
신종자본증권,,,,,,
자본잉여금,328.9,328.9,328.9,276.0,150.6,-45.4
기타자본,-22.6,-22.6,-22.6,-22.6,-16.5,27.2
기타포괄이익누계액,-59.1,-237.5,6.8,71.6,-48.1,-167.1
이익잉여금,"2,123.6","1,783.9","1,976.1","1,536.7","1,106.9",-28.0
*(지배)당기순이익,-422.6,-336.5,230.3,-413.3,-422.9,-2.3
비지배주주지분,9.2,9.3,10.6,,531.1,
*(비지배)당기순이익,4.5,4.5,5.0,5.7,45.8,704.4
수권주식수,"200,000","200,000","200,000","200,000","200,000",0
1주당금액,500,500,500,500,500,0
발행주식수,"64,561","64,561","64,561","69,045","50,051",-28
보통주,"64,561","64,561","64,561","69,045","50,051",-28
우선주,,,,,,
