항목,2017/12,2018/12,2019/12,2020/12,2021/12,"2022/12(E)

연간컨센서스닫기",전년대비,전년대비
매출액(수익),"14,500.7","14,702.5","18,737.8","20,555.1","24,498.7","28,420.0",19.2,16.0
*내수,"13,203.6",,"14,228.0","16,796.1",,,,
*수출,"1,297.1",,"4,549.4","3,759.0",,,,
매출원가,"2,179.1",,,,,,,
매출총이익,"12,321.5","14,702.5","18,737.8","20,555.1","24,498.7",,19.2,
판매비와관리비,"11,095.6","13,156.3","17,200.1","19,023.7","23,056.0",,21.2,
영업이익,"1,226.0","1,546.2","1,537.8","1,531.5","1,442.7","1,750.0",-5.8,21.3
*기타영업손익,,,,,,,,
영업이익(발표기준),"1,226.0","1,546.2","1,537.8","1,531.5","1,442.7",,-5.8,
*[구K-IFRS]영업이익,,,,,,,,
금융수익,40.0,63.6,82.1,80.2,65.0,,-19.0,
금융원가,79.0,107.2,182.0,188.4,204.1,,8.3,
기타영업외손익,57.4,129.9,263.8,-460.1,163.5,,135.5,
"종속기업,공동지배기업및관계기업관련손익",,,,,,,,
법인세비용차감전계속사업이익,"1,244.4","1,632.5","1,701.6",963.2,"1,467.1",,52.3,
법인세비용,316.9,348.1,340.8,452.9,456.6,,0.8,
종속회사매수일전순손익,,,,,,,,
처분된종속회사순손익,,,,,,,,
계속사업이익,927.5,"1,284.3","1,360.9",510.4,"1,010.6",,98.0,
중단사업이익,,-291.3,-584.2,18.9,,,,
*중단사업법인세효과,,-1.9,-2.9,,,,,
당기순이익,927.5,993.0,776.7,529.3,"1,010.6",,90.9,
기타포괄이익,-15.0,-63.5,-40.4,-76.4,144.3,,288.9,
총포괄이익,912.5,929.6,736.2,452.9,"1,154.9",,155.0,
*주당계속사업이익,"1,388","2,334","2,298",399,"1,548",,288,
*주당순이익,"1,388","1,604",771,447,"1,548",,246,
*희석주당계속사업이익,,,,,,,,
*희석주당순이익,,,,,,,,
*(지배주주지분)주당계속사업이익,"1,388","2,334","2,298",399,"1,548",,288,
*(지배주주지분)주당순이익,"1,388","1,604",771,447,"1,548","2,587",246,67
*(지배주주지분)희석주당계속사업이익,,,,,,,,
*(지배주주지분)희석주당순이익,,,,,,,,
