항목,2017/12,2018/12,2019/12,2020/12,2021/12,"2022/12(E)

연간컨센서스닫기",전년대비,전년대비
매출액(수익),"152,023.5","126,458.0","130,542.4","106,259.1","110,181.4","107,934.2",3.7,-2.0
*내수,"98,568.4",,"100,961.3","88,616.5",,,,
*수출,"53,455.1",,"29,580.1","17,642.6",,,,
매출원가,"141,039.8","117,358.0","119,399.1","95,475.1","98,819.3",,3.5,
매출총이익,"10,983.7","9,100.0","11,143.3","10,783.9","11,362.1","11,516.0",5.4,1.4
판매비와관리비,"9,555.7","7,764.6","10,049.6","9,544.4","10,142.3",,6.3,
영업이익,"1,428.0","1,335.4","1,093.7","1,239.5","1,219.8","1,771.5",-1.6,45.2
*기타영업손익,,,,,,,,
영업이익(발표기준),"1,428.0","1,335.4","1,093.7","1,239.5","1,219.8",,-1.6,
*[구K-IFRS]영업이익,,,,,,,,
금융수익,"2,756.7","1,629.2","1,873.0","2,013.9","1,874.5",,-6.9,
금융원가,"3,281.7","1,751.8","2,662.6","3,095.4","2,672.3",,-13.7,
기타영업외손익,-276.1,-313.6,-286.9,921.8,649.5,,-29.5,
"종속기업,공동지배기업및관계기업관련손익",1.5,-0.2,-1.8,-6.4,-0.1,,98.6,
법인세비용차감전계속사업이익,628.5,899.0,15.4,"1,073.3","1,071.3","1,109.5",-0.2,3.6
법인세비용,164.0,421.1,304.7,854.8,457.0,,-46.5,
종속회사매수일전순손익,,,,,,,,
처분된종속회사순손익,,,,,,,,
계속사업이익,464.4,477.9,-289.3,218.5,614.4,,181.1,
중단사업이익,-118.3,-401.2,-936.9,202.0,421.0,,108.4,
*중단사업법인세효과,-478.9,-95.2,-397.2,,,,,
당기순이익,346.1,76.7,"-1,226.1",420.5,"1,035.4",770.7,146.2,-25.6
기타포괄이익,-122.7,-98.2,-39.5,217.9,753.4,,245.7,
총포괄이익,223.4,-21.5,"-1,265.6",638.4,"1,788.8",,180.2,
*주당계속사업이익,182,194,-161,59,254,,331,
*주당순이익,136,30,-547,153,451,,195,
*희석주당계속사업이익,,,,,,,,
*희석주당순이익,,,,,,,,
*(지배주주지분)주당계속사업이익,182,194,-161,59,254,,331,
*(지배주주지분)주당순이익,136,30,-547,153,451,298,195,-34
*(지배주주지분)희석주당계속사업이익,,,,,,,,
*(지배주주지분)희석주당순이익,,,,,,,,
