항목,2017/12,2018/12,2019/12,2020/12,2021/12,전년대비
매출액(수익),"3,607.9","3,514.4","3,438.9","3,292.2","3,833.6",16.4
*내수,,,"2,487.7","2,166.1",,
*수출,,,951.2,"1,126.2",,
매출원가,"2,534.4","2,440.4","2,444.0","2,324.0","2,467.7",6.2
매출총이익,"1,073.5","1,074.0",995.0,968.3,"1,365.9",41.1
판매비와관리비,650.4,664.2,674.8,749.7,827.9,10.4
영업이익,423.1,409.8,320.2,218.5,538.0,146.2
*기타영업손익,,,,,,
영업이익(발표기준),423.1,409.8,320.2,218.5,538.0,146.2
*[구K-IFRS]영업이익,,,,,,
금융수익,43.1,1.1,32.4,114.2,139.5,22.2
금융원가,109.0,142.6,153.0,134.1,194.2,44.8
기타영업외손익,-5.9,-6.3,343.4,13.2,67.8,414.1
"종속기업,공동지배기업및관계기업관련손익",4.5,9.5,-3.9,15.1,-239.6,"-1,690.1"
법인세비용차감전계속사업이익,355.8,271.5,539.1,226.8,311.4,37.3
법인세비용,102.7,69.6,102.9,96.6,88.6,-8.2
종속회사매수일전순손익,,,,,,
처분된종속회사순손익,,,,,,
계속사업이익,253.2,201.9,436.2,130.3,222.8,71.1
중단사업이익,,,,,,
*중단사업법인세효과,,,,,,
당기순이익,253.2,201.9,436.2,130.3,222.8,71.1
기타포괄이익,-10.9,-0.3,-6.4,-55.6,45.0,180.8
총포괄이익,242.3,201.6,429.8,74.6,267.8,258.9
*주당계속사업이익,923,740,"1,630",499,872,75
*주당순이익,923,740,"1,630",499,872,75
*희석주당계속사업이익,,,,,,
*희석주당순이익,,,,,,
*(지배주주지분)주당계속사업이익,923,740,"1,630",499,872,75
*(지배주주지분)주당순이익,923,740,"1,630",499,872,75
*(지배주주지분)희석주당계속사업이익,,,,,,
*(지배주주지분)희석주당순이익,,,,,,
