항목,2017/12,2018/12,2019/12,2020/12,2021/12,전년대비
매출액(수익),"2,115.3","1,952.5","2,076.4","1,785.6","1,960.8",9.8
*내수,,,"1,593.6","1,488.7",,
*수출,,,482.8,296.9,,
매출원가,"1,840.5","1,715.6","1,819.7","1,547.4","1,685.5",8.9
매출총이익,274.8,237.0,256.7,238.2,275.3,15.6
판매비와관리비,147.3,177.8,159.7,124.6,131.8,5.7
영업이익,127.5,59.2,97.0,113.6,143.6,26.3
*기타영업손익,,,,,,
영업이익(발표기준),127.5,59.2,97.0,113.6,143.6,26.3
*[구K-IFRS]영업이익,,,,,,
금융수익,52.4,63.3,67.6,50.6,42.4,-16.2
금융원가,12.3,7.3,8.8,6.7,2.6,-61.5
기타영업외손익,4.3,-1.6,-10.6,-3.3,3.2,198.3
"종속기업,공동지배기업및관계기업관련손익",,,,,,
법인세비용차감전계속사업이익,171.9,113.5,145.1,154.2,186.6,21.0
법인세비용,44.9,26.7,31.6,5.6,66.9,"1,089.1"
종속회사매수일전순손익,,,,,,
처분된종속회사순손익,,,,,,
계속사업이익,127.0,86.8,113.5,148.6,119.7,-19.4
중단사업이익,,,,,,
*중단사업법인세효과,,,,,,
당기순이익,127.0,86.8,113.5,148.6,119.7,-19.4
기타포괄이익,-5.5,-14.7,9.3,-4.9,9.5,295.9
총포괄이익,121.4,72.1,122.9,143.7,129.2,-10.1
*주당계속사업이익,571,391,514,679,548,-19
*주당순이익,571,391,514,679,548,-19
*희석주당계속사업이익,,,,,,
*희석주당순이익,,,,,,
*(지배주주지분)주당계속사업이익,571,391,514,679,548,-19
*(지배주주지분)주당순이익,571,391,514,679,548,-19
*(지배주주지분)희석주당계속사업이익,,,,,,
*(지배주주지분)희석주당순이익,,,,,,
