항목,"2017/12
(IFRS별도)","2018/12
(IFRS별도)","2019/12
(IFRS별도)",2020/12,2021/12,"2022/12(E)

연간컨센서스닫기",전년대비,전년대비
매출액(수익),"4,646.3","5,358.1","7,015.9","11,647.8","15,680.1","20,413.4",34.6,30.2
*내수,,,"7,015.9","2,966.1",,,,
*수출,,,,"8,681.7",,,,
매출원가,"3,328.3","3,906.5","5,095.8","7,487.0","8,415.6",,12.4,
매출총이익,"1,318.0","1,451.6","1,920.1","4,160.8","7,264.5","8,930.5",74.6,22.9
판매비와관리비,658.2,894.8,"1,002.7","1,232.9","1,891.4",,53.4,
영업이익,659.8,556.8,917.4,"2,927.9","5,373.1","6,658.3",83.5,23.9
*기타영업손익,,,,,,,,
영업이익(발표기준),659.8,556.8,917.4,"2,927.9","5,373.1",,83.5,
*[구K-IFRS]영업이익,,,,,,,,
금융수익,232.2,193.2,275.4,327.7,475.9,,45.2,
금융원가,763.5,243.4,386.8,408.8,291.4,,-28.7,
기타영업외손익,7.5,"3,816.5",-134.4,-9.2,-83.3,,-803.7,
"종속기업,공동지배기업및관계기업관련손익","-1,296.0","-1,293.4",,-177.7,138.5,,178.0,
법인세비용차감전계속사업이익,"-1,159.9","3,029.8",671.6,"2,659.9","5,612.8","6,944.5",111.0,23.7
법인세비용,-190.2,788.7,175.2,250.2,"1,676.9",,570.3,
종속회사매수일전순손익,,,,,,,,
처분된종속회사순손익,,,,,,,,
계속사업이익,-969.7,"2,241.1",496.4,"2,409.7","3,935.9",,63.3,
중단사업이익,,,,,,,,
*중단사업법인세효과,,,,,,,,
당기순이익,-969.7,"2,241.1",496.4,"2,409.7","3,935.9","5,157.3",63.3,31.0
기타포괄이익,-89.6,-29.7,-37.9,33.5,-12.7,,-137.9,
총포괄이익,"-1,059.3","2,211.4",458.5,"2,443.3","3,923.2",,60.6,
*주당계속사업이익,"-1,466","3,387",750,"3,642","5,949",,63,
*주당순이익,"-1,466","3,387",750,"3,642","5,949",,63,
*희석주당계속사업이익,,,,,,,,
*희석주당순이익,,,,,,,,
*(지배주주지분)주당계속사업이익,"-1,466","3,387",750,"3,642","5,949",,63,
*(지배주주지분)주당순이익,"-1,466","3,387",750,"3,642","5,949","7,404",63,24
*(지배주주지분)희석주당계속사업이익,,,,,,,,
*(지배주주지분)희석주당순이익,,,,,,,,
