항목,2017/12,2018/12,2019/12,2020/12,2021/12,전년대비
매출액(수익),"6,661.3","6,516.8","7,232.8","8,422.4","10,577.1",25.6
*내수,,,,,,
*수출,,,,,,
매출원가,"6,081.1","5,918.9","6,525.6","7,664.3","9,639.4",25.8
매출총이익,580.2,597.9,707.2,758.1,937.7,23.7
판매비와관리비,465.4,483.7,545.8,594.2,646.1,8.8
영업이익,114.8,114.2,161.4,163.9,291.6,77.9
*기타영업손익,,,,,,
영업이익(발표기준),114.8,114.2,161.4,163.9,291.6,77.9
*[구K-IFRS]영업이익,,,,,,
금융수익,31.2,69.1,89.4,71.8,69.2,-3.7
금융원가,25.8,34.6,73.1,57.4,44.2,-23.0
기타영업외손익,-33.9,2.3,-411.4,-71.3,66.6,193.5
"종속기업,공동지배기업및관계기업관련손익",287.4,373.1,318.0,346.2,337.6,-2.5
법인세비용차감전계속사업이익,373.7,524.1,84.3,453.2,720.8,59.0
법인세비용,59.6,88.7,16.9,127.1,196.4,54.5
종속회사매수일전순손익,,,,,,
처분된종속회사순손익,,,,,,
계속사업이익,314.1,435.5,67.4,326.1,524.3,60.8
중단사업이익,,,,,,
*중단사업법인세효과,,,,,,
당기순이익,314.1,435.5,67.4,326.1,524.3,60.8
기타포괄이익,17.7,-3.7,11.1,4.4,18.1,311.0
총포괄이익,331.9,431.7,78.5,330.5,542.4,64.1
*주당계속사업이익,"1,372","1,909",296,"1,436","2,342",63
*주당순이익,"1,372","1,909",296,"1,436","2,342",63
*희석주당계속사업이익,,,,,,
*희석주당순이익,,,,,,
*(지배주주지분)주당계속사업이익,"1,372","1,909",296,"1,436","2,342",63
*(지배주주지분)주당순이익,"1,372","1,909",296,"1,436","2,342",63
*(지배주주지분)희석주당계속사업이익,,,,,,
*(지배주주지분)희석주당순이익,,,,,,
