항목,2017/12,2018/12,2019/12,"2020/12
(IFRS별도)",2021/12
매출액(수익),364.1,322.4,274.7,274.5,323.9
*내수,,,274.7,,
*수출,,,,,
매출원가,324.5,289.8,236.7,235.9,274.8
매출총이익,39.6,32.6,38.0,38.6,49.1
판매비와관리비,22.9,27.9,26.6,20.5,23.0
영업이익,16.7,4.7,11.4,18.2,26.1
*기타영업손익,,,,,
영업이익(발표기준),16.7,4.7,11.4,18.2,26.1
*[구K-IFRS]영업이익,,,,,
금융수익,1.8,3.5,5.1,3.8,3.2
금융원가,0.4,2.7,1.0,0.0,0.0
기타영업외손익,-12.4,-4.4,-10.8,-23.6,-2.3
"종속기업,공동지배기업및관계기업관련손익",-2.6,-0.1,-0.1,,
법인세비용차감전계속사업이익,3.2,1.1,4.5,-1.6,27.1
법인세비용,-1.3,-4.2,3.7,1.0,6.1
종속회사매수일전순손익,,,,,
처분된종속회사순손익,,,,,
계속사업이익,4.5,5.3,0.8,-2.6,21.0
중단사업이익,,,,,
*중단사업법인세효과,,,,,
당기순이익,4.5,5.3,0.8,-2.6,21.0
기타포괄이익,-4.3,-1.4,0.4,0.3,-0.5
총포괄이익,0.2,3.9,1.2,-2.3,20.5
*주당계속사업이익,19,22,3,-9,73
*주당순이익,19,22,3,-9,73
*희석주당계속사업이익,,26,5,,
*희석주당순이익,,26,5,,
*(지배주주지분)주당계속사업이익,19,22,3,-9,73
*(지배주주지분)주당순이익,19,22,3,-9,73
*(지배주주지분)희석주당계속사업이익,,26,5,,
*(지배주주지분)희석주당순이익,,26,5,,
