항목,"2017/12
(GAAP개별)","2018/12
(GAAP개별)","2019/12
(GAAP개별)",2020/12,2021/12,"2022/12(E)

연간컨센서스닫기",전년대비,전년대비
매출액(수익),542.6,656.3,737.3,"16,861.6","29,299.6","26,885.7",73.8,-8.2
*내수,,,,,,,,
*수출,,,,,,,,
매출원가,384.4,446.9,513.2,"8,280.0","13,599.3",,64.2,
매출총이익,158.2,209.4,224.1,"8,581.6","15,700.3","14,118.7",83.0,-10.1
판매비와관리비,174.4,179.1,215.1,"1,199.0","2,059.9",,71.8,
영업이익,-16.2,30.4,9.0,"7,382.6","13,640.4","11,522.3",84.8,-15.5
*기타영업손익,,,,,,,,
영업이익(발표기준),-16.2,30.4,9.0,"7,382.6","13,640.4",,84.8,
*[구K-IFRS]영업이익,,,,,,,,
금융수익,0.3,0.1,0.7,6.0,174.2,,"2,823.3",
금융원가,3.8,3.0,2.7,4.3,17.2,,297.5,
기타영업외손익,-24.4,10.8,9.6,-271.7,582.8,,314.5,
"종속기업,공동지배기업및관계기업관련손익",-3.4,-9.3,-10.9,59.8,28.0,,-53.1,
법인세비용차감전계속사업이익,-47.6,28.9,5.6,"7,172.4","14,408.2","11,691.3",100.9,-18.9
법인세비용,-14.7,-1.4,-8.4,956.2,"3,763.8",,293.6,
종속회사매수일전순손익,,,,,,,,
처분된종속회사순손익,,,,,,,,
계속사업이익,-33.0,30.3,14.0,"6,216.1","10,644.3",,71.2,
중단사업이익,,,,,,,,
*중단사업법인세효과,,,,,,,,
당기순이익,-33.0,30.3,14.0,"6,216.1","10,644.3","8,948.0",71.2,-15.9
기타포괄이익,,,,-37.9,46.5,,222.8,
총포괄이익,,,,"6,178.3","10,690.8",,73.0,
*주당계속사업이익,-381,350,135,"6,597","10,918",,66,
*주당순이익,-381,350,135,"6,597","10,918",,66,
*희석주당계속사업이익,,,,"6,583","10,824",,64,
*희석주당순이익,,,,"6,583","10,824",,64,
*(지배주주지분)주당계속사업이익,-381,350,135,"6,597","10,918",,66,
*(지배주주지분)주당순이익,-381,350,135,"6,597","10,918","8,653",66,-21
*(지배주주지분)희석주당계속사업이익,,,,"6,583","10,824",,64,
*(지배주주지분)희석주당순이익,,,,"6,583","10,824",,64,
