항목,2017/12,2018/12,2019/12,2020/12,2021/12,"2022/12(E)

연간컨센서스닫기",전년대비,전년대비
매출액(수익),"19,422.7","20,183.4","21,515.2","22,233.4","23,124.9","24,233.3",4.0,4.8
*내수,,,"21,515.2","22,233.4",,,,
*수출,,,,,,,,
매출원가,"13,759.8","14,712.3","16,077.8","16,721.2","17,569.7",,5.1,
매출총이익,"5,662.8","5,471.1","5,437.4","5,512.2","5,555.2","5,943.3",0.8,7.0
판매비와관리비,"3,637.1","3,479.8","3,469.2","3,467.6","3,758.5",,8.4,
영업이익,"2,025.7","1,991.3","1,968.2","2,044.6","1,796.6","2,126.7",-12.1,18.4
*기타영업손익,,,,,,,,
영업이익(발표기준),"2,025.7","1,991.3","1,968.2","2,044.6","1,796.6",,-12.1,
*[구K-IFRS]영업이익,,,,,,,,
금융수익,34.9,62.7,62.8,41.7,49.7,,19.3,
금융원가,0.6,2.0,8.6,13.6,11.6,,-14.7,
기타영업외손익,-145.9,-66.4,-97.9,-198.9,-127.3,,36.0,
"종속기업,공동지배기업및관계기업관련손익",,,,,,,,
법인세비용차감전계속사업이익,"1,914.1","1,985.6","1,924.5","1,873.8","1,707.4","2,050.0",-8.9,20.1
법인세비용,480.8,955.9,458.1,452.9,417.5,,-7.8,
종속회사매수일전순손익,,,,,,,,
처분된종속회사순손익,,,,,,,,
계속사업이익,"1,433.3","1,029.7","1,466.4","1,420.9","1,289.9",,-9.2,
중단사업이익,,,,,,,,
*중단사업법인세효과,,,,,,,,
당기순이익,"1,433.3","1,029.7","1,466.4","1,420.9","1,289.9","1,553.3",-9.2,20.4
기타포괄이익,68.2,-167.1,31.6,-9.9,142.8,,"1,548.4",
총포괄이익,"1,501.4",862.6,"1,498.0","1,411.0","1,432.7",,1.5,
*주당계속사업이익,"4,239","3,046","4,337","4,203","3,815",,-9,
*주당순이익,"4,239","3,046","4,337","4,203","3,815",,-9,
*희석주당계속사업이익,,,,,,,,
*희석주당순이익,,,,,,,,
*(지배주주지분)주당계속사업이익,"4,239","3,046","4,337","4,203","3,815",,-9,
*(지배주주지분)주당순이익,"4,239","3,046","4,337","4,203","3,815","4,088",-9,7
*(지배주주지분)희석주당계속사업이익,,,,,,,,
*(지배주주지분)희석주당순이익,,,,,,,,
