항목,2017/12,2018/12,2019/12,2020/12,2021/12,"2022/12(E)

연간컨센서스닫기",전년대비,전년대비
매출액(수익),"5,313.4","5,603.4","5,142.4","3,932.3","4,696.2","5,397.5",19.4,14.9
*내수,,,,,,,,
*수출,,,,,,,,
매출원가,"4,929.1","5,035.6","4,877.8","3,420.6","3,841.2",,12.3,
매출총이익,384.3,567.8,264.6,511.7,855.0,"1,154.0",67.1,35.0
판매비와관리비,464.6,492.8,504.1,383.9,386.2,,0.6,
영업이익,-80.3,75.0,-239.6,127.9,468.8,725.0,266.6,54.7
*기타영업손익,,,,,,,,
영업이익(발표기준),-80.3,75.0,-239.6,127.9,468.8,,266.6,
*[구K-IFRS]영업이익,,,,,,,,
금융수익,13.0,18.1,107.9,109.5,128.3,,17.1,
금융원가,78.4,103.7,211.7,211.3,191.9,,-9.2,
기타영업외손익,28.5,12.4,-372.4,0.2,25.3,,"11,602.4",
"종속기업,공동지배기업및관계기업관련손익",-0.3,-3.0,-2.1,0.2,-0.3,,-261.9,
법인세비용차감전계속사업이익,-117.6,-1.2,-718.0,26.5,430.1,656.3,"1,526.0",52.6
법인세비용,31.2,72.6,193.0,29.3,113.6,,287.6,
종속회사매수일전순손익,,,,,,,,
처분된종속회사순손익,,,,,,,,
계속사업이익,-148.8,-73.7,-911.0,-2.8,316.5,,"11,206.2",
중단사업이익,,,,-132.2,-352.6,,-166.7,
*중단사업법인세효과,,,,,,,,
당기순이익,-148.8,-73.7,-911.0,-135.0,-36.0,535.0,73.3,"1,584.6"
기타포괄이익,-43.8,126.2,-78.4,-34.5,-12.7,,63.1,
총포괄이익,-192.6,52.5,-989.4,-169.6,-48.8,,71.2,
*주당계속사업이익,-355,-172,"-2,291",7,-708,,"-10,214",
*주당순이익,-355,-172,"-2,291",-336,-81,,76,
*희석주당계속사업이익,,,,,,,,
*희석주당순이익,,,,,,,,
*(지배주주지분)주당계속사업이익,-355,-172,"-2,291",7,-708,,"-10,214",
*(지배주주지분)주당순이익,-355,-172,"-2,291",-336,-81,853,76,"1,154"
*(지배주주지분)희석주당계속사업이익,,,,,,,,
*(지배주주지분)희석주당순이익,,,,,,,,
