항목,2017/12,2018/12,2019/12,2020/12,2021/12,전년대비
매출액(수익),609.1,443.1,418.9,626.6,882.5,40.8
*내수,609.1,442.0,,626.6,,
*수출,,1.1,,,,
매출원가,522.0,348.7,397.3,570.5,825.9,44.8
매출총이익,87.1,94.4,21.6,56.1,56.6,0.9
판매비와관리비,154.8,109.4,50.0,51.0,62.0,21.5
영업이익,-67.7,-15.0,-28.4,5.0,-5.4,-207.6
*기타영업손익,,,,,,
영업이익(발표기준),-67.7,-15.0,-28.4,5.0,-5.4,-207.6
*[구K-IFRS]영업이익,,,,,,
금융수익,13.4,8.9,7.9,6.7,20.9,213.7
금융원가,7.7,16.0,3.2,5.5,19.3,252.2
기타영업외손익,0.0,-22.6,-0.3,0.4,1.5,248.8
"종속기업,공동지배기업및관계기업관련손익",1.3,-6.8,-0.3,-17.1,44.1,358.2
법인세비용차감전계속사업이익,-60.7,-51.6,-24.3,-10.4,41.8,501.4
법인세비용,1.1,-1.0,5.9,1.0,1.0,-1.7
종속회사매수일전순손익,,,,,,
처분된종속회사순손익,,,,,,
계속사업이익,-61.9,-50.6,-30.2,-11.4,40.8,456.7
중단사업이익,,,-17.6,-18.4,-9.6,47.6
*중단사업법인세효과,,,-1.5,,,
당기순이익,-61.9,-50.6,-47.8,-29.8,31.2,204.5
기타포괄이익,-2.3,1.1,-21.4,-0.5,-0.3,30.3
총포괄이익,-64.2,-49.5,-69.2,-30.3,30.8,201.6
*주당계속사업이익,-95,-51,-27,-20,79,495
*주당순이익,-95,-51,-45,-44,64,245
*희석주당계속사업이익,,,,-18,86,578
*희석주당순이익,,,,-40,72,280
*(지배주주지분)주당계속사업이익,-95,-51,-27,-20,79,495
*(지배주주지분)주당순이익,-95,-51,-45,-44,64,245
*(지배주주지분)희석주당계속사업이익,,,,-18,86,578
*(지배주주지분)희석주당순이익,,,,-40,72,280
