항목,2017/12,2018/12,2019/12,2020/12,2021/12,전년대비
매출액(수익),"4,691.7","4,491.9","4,708.6","4,044.3","4,630.5",14.5
*내수,,,"3,887.8",,,
*수출,,,"1,659.3",,,
매출원가,"4,175.3","3,973.4","4,324.1","3,612.4","4,116.9",14.0
매출총이익,516.4,518.5,384.5,431.9,513.6,18.9
판매비와관리비,416.6,446.8,537.9,465.7,521.1,11.9
영업이익,99.8,71.7,-153.5,-33.7,-7.5,77.7
*기타영업손익,,,,,,
영업이익(발표기준),99.8,71.7,-153.5,-33.7,-7.5,77.7
*[구K-IFRS]영업이익,,,,,,
금융수익,,,2.1,4.6,5.8,25.3
금융원가,,,79.3,83.6,78.3,-6.3
기타영업외손익,-178.1,-82.7,-11.5,-45.0,78.7,275.0
"종속기업,공동지배기업및관계기업관련손익",,,1.1,-2.8,,
법인세비용차감전계속사업이익,-78.3,-11.0,-241.0,-160.5,-1.3,99.2
법인세비용,-36.6,43.4,-8.9,-64.7,121.3,287.6
종속회사매수일전순손익,,,,,,
처분된종속회사순손익,,,,,,
계속사업이익,-41.7,-54.4,-232.1,-95.8,-122.6,-28.0
중단사업이익,,,,,,
*중단사업법인세효과,,,,,,
당기순이익,-41.7,-54.4,-232.1,-95.8,-122.6,-28.0
기타포괄이익,-6.0,3.1,-38.0,411.5,59.0,-85.7
총포괄이익,-47.7,-51.3,-270.0,315.7,-63.7,-120.2
*주당계속사업이익,-113,-148,-638,-261,-331,-27
*주당순이익,-113,-148,-638,-261,-331,-27
*희석주당계속사업이익,,,,,,
*희석주당순이익,,,,,,
*(지배주주지분)주당계속사업이익,-113,-148,-638,-261,-331,-27
*(지배주주지분)주당순이익,-113,-148,-638,-261,-331,-27
*(지배주주지분)희석주당계속사업이익,,,,,,
*(지배주주지분)희석주당순이익,,,,,,
