항목,2017/12,2018/12,2019/12,2020/12,2021/12,"2022/12(E)

연간컨센서스닫기",전년대비,전년대비
매출액(수익),"12,286.8","12,992.1","12,598.0","11,959.0","13,874.0","15,329.6",16.0,10.5
*내수,,,"12,598.0","11,959.0",,,,
*수출,,,,,,,,
매출원가,"5,445.9","5,524.0","5,084.1","4,901.9","5,542.3",,13.1,
매출총이익,"6,840.9","7,468.1","7,513.9","7,057.1","8,331.8","9,294.1",18.1,11.6
판매비와관리비,"6,290.9","6,556.2","6,448.4","6,036.6","6,809.8",,12.8,
영업이익,550.0,911.9,"1,065.5","1,020.5","1,521.9","1,748.6",49.1,14.9
*기타영업손익,,,,,,,,
영업이익(발표기준),550.0,911.9,"1,065.5","1,020.5","1,521.9",,49.1,
*[구K-IFRS]영업이익,,,,,,,,
금융수익,26.6,19.9,33.4,38.5,65.3,,69.6,
금융원가,39.8,30.1,21.9,21.3,14.7,,-31.1,
기타영업외손익,124.3,69.1,58.1,84.4,-26.2,,-131.1,
"종속기업,공동지배기업및관계기업관련손익",9.6,-18.9,,,,,,
법인세비용차감전계속사업이익,670.6,951.9,"1,135.1","1,122.1","1,546.3","1,774.0",37.8,14.7
법인세비용,132.1,227.7,282.5,273.2,431.1,,57.8,
종속회사매수일전순손익,,,,,,,,
처분된종속회사순손익,,,,,,,,
계속사업이익,538.6,724.2,852.6,848.9,"1,115.2",,31.4,
중단사업이익,,,,,,,,
*중단사업법인세효과,,,,,,,,
당기순이익,538.6,724.2,852.6,848.9,"1,115.2","1,326.7",31.4,19.0
기타포괄이익,-21.4,33.1,-209.3,31.5,110.0,,249.4,
총포괄이익,517.2,757.2,643.3,880.4,"1,225.3",,39.2,
*주당계속사업이익,"2,451","3,296","3,881","3,873","5,214",,35,
*주당순이익,"2,451","3,296","3,881","3,873","5,214",,35,
*희석주당계속사업이익,,,,,,,,
*희석주당순이익,,,,,,,,
*(지배주주지분)주당계속사업이익,"2,451","3,296","3,881","3,873","5,214",,35,
*(지배주주지분)주당순이익,"2,451","3,296","3,881","3,873","5,214","5,456",35,5
*(지배주주지분)희석주당계속사업이익,,,,,,,,
*(지배주주지분)희석주당순이익,,,,,,,,
