항목,2017/12,2018/12,2019/12,2020/12,2021/12,"2022/12(E)

연간컨센서스닫기",전년대비,전년대비
매출액(수익),"10,431.3","10,177.2","20,603.7","21,263.7","22,098.7","23,102.5",3.9,4.5
*내수,,,,,,,,
*수출,,,,,,,,
매출원가,"1,291.5","2,751.3","10,985.0","11,190.2","12,211.3",,9.1,
매출총이익,"9,139.8","7,425.9","9,618.7","10,073.5","9,887.5","10,225.0",-1.9,3.4
판매비와관리비,"7,886.6","6,302.7","8,315.3","8,350.2","8,602.6",,3.0,
영업이익,"1,253.3","1,123.2","1,303.4","1,723.2","1,284.9","1,264.0",-25.4,-1.6
*기타영업손익,,,,,,,,
영업이익(발표기준),"1,253.3","1,123.2","1,303.4","1,723.2","1,284.9",,-25.4,
*[구K-IFRS]영업이익,,,,,,,,
금융수익,192.4,187.1,135.8,132.8,102.6,,-22.8,
금융원가,13.7,1.8,123.5,71.2,53.0,,-25.6,
기타영업외손익,-49.7,83.6,-473.9,-162.5,-579.8,,-256.8,
"종속기업,공동지배기업및관계기업관련손익",235.5,463.8,415.5,166.8,789.0,,373.2,
법인세비용차감전계속사업이익,"1,617.7","1,855.9","1,257.4","1,789.1","1,543.7","1,425.0",-13.7,-7.7
법인세비용,393.1,190.1,425.7,481.7,373.4,,-22.5,
종속회사매수일전순손익,,,,,,,,
처분된종속회사순손익,,,,,,,,
계속사업이익,"1,224.6","1,665.8",831.7,"1,307.4","1,170.3",,-10.5,
중단사업이익,,,,-180.3,-153.7,,14.8,
*중단사업법인세효과,,,,,,,,
당기순이익,"1,224.6","1,665.8",831.7,"1,127.1","1,016.6","1,065.0",-9.8,4.8
기타포괄이익,-37.7,-75.8,-144.2,8.9,140.4,,"1,484.7",
총포괄이익,"1,187.0","1,589.9",687.5,"1,135.9","1,157.1",,1.9,
*주당계속사업이익,"10,473","14,252","7,116","11,384","10,223",,-10,
*주당순이익,"10,473","14,252","7,116","9,814","8,881",,-10,
*희석주당계속사업이익,,,,,,,,
*희석주당순이익,,,,,,,,
*(지배주주지분)주당계속사업이익,"10,473","14,252","7,116","11,384","10,223",,-10,
*(지배주주지분)주당순이익,"10,473","14,252","7,116","9,814","8,881","8,875",-10,-0
*(지배주주지분)희석주당계속사업이익,,,,,,,,
*(지배주주지분)희석주당순이익,,,,,,,,
