항목,2017/12,2018/12,2019/12,2020/12,2021/12,"2022/12(E)

연간컨센서스닫기",전년대비,전년대비
펼치기 EPS,"7,379","10,833","33,063","21,775","35,546",,63, 
  당기순이익(지배)＜당기＞,62.0,91.0,277.7,182.9,298.6,, , 
  보통주수정평균발행주식수＜당기＞,"624,615","624,615","624,615","624,615","624,615","624,615", , 
  우선주수정평균발행주식수＜당기＞,"215,385","215,385","215,385","215,385","215,385","215,385", , 
펼치기 BPS,"478,514","488,186","520,430","542,403","577,324",,6, 
  자본총계(지배)＜당기＞,"3,993.6","4,074.4","4,343.5","4,526.9","4,818.3",, , 
  보통주수정기말발행주식수(자사주차감)＜당기＞,"624,607","624,607","624,607","624,607","624,607","624,607", , 
  우선주수정기말발행주식수(자사주차감)＜당기＞,"209,985","209,985","209,985","209,985","209,985","209,985", , 
펼치기 CPS,"28,027","58,396","22,281","42,153","42,509",,1, 
  영업활동현금흐름＜당기＞,235.4,490.5,187.2,354.1,357.1,, , 
  보통주수정평균발행주식수＜당기＞,"624,615","624,615","624,615","624,615","624,615","624,615", , 
  우선주수정평균발행주식수＜당기＞,"215,385","215,385","215,385","215,385","215,385","215,385", , 
펼치기 SPS,"233,114","235,552","203,082","192,694","195,769",,2, 
  매출액＜당기＞,"1,958.2","1,978.6","1,705.9","1,618.6","1,644.5",, , 
  보통주수정평균발행주식수＜당기＞,"624,615","624,615","624,615","624,615","624,615","624,615", , 
  우선주수정평균발행주식수＜당기＞,"215,385","215,385","215,385","215,385","215,385","215,385", , 
펼치기 PER,41.47,22.71,7.15,13.16,12.67,,-3.67, 
  보통주수정주가(기말)＜당기＞,"306,000","246,000","236,500","286,500","450,500","440,000", , 
  EPS＜당기＞,"7,379","10,833","33,063","21,775","35,546",, , 
펼치기 PBR,0.64,0.50,0.45,0.53,0.78,,47.73, 
  보통주수정주가(기말)＜당기＞,"306,000","246,000","236,500","286,500","450,500","440,000", , 
  BPS＜당기＞,"478,514","488,186","520,430","542,403","577,324",, , 
펼치기 PCR,10.92,4.21,10.61,6.80,10.60,,55.93, 
  보통주수정주가(기말)＜당기＞,"306,000","246,000","236,500","286,500","450,500","440,000", , 
  CPS＜당기＞,"28,027","58,396","22,281","42,153","42,509",, , 
펼치기 PSR,1.31,1.04,1.16,1.49,2.30,,54.77, 
  보통주수정주가(기말)＜당기＞,"306,000","246,000","236,500","286,500","450,500","440,000", , 
  SPS＜당기＞,"233,114","235,552","203,082","192,694","195,769",, , 
펼치기 EV/EBITDA,14.73,10.67,6.88,6.79,7.82,,15.15, 
  EV＜당기＞,"4,320.8","3,602.1","2,474.3","2,402.9","3,033.8",, , 
  EBITDA＜당기＞,293.4,337.7,359.6,353.8,388.0,, , 
펼치기 DPS,850,"1,000","1,100","1,100","1,500",,36, 
  현금DPS,850,"1,000","1,100","1,100","1,500",, , 
  주식DPS,0,0,0,0,,, , 
  현금배당수익률,0.28,0.41,0.47,0.38,0.33,,-0.05, 
  현금배당성향(%),11.61,9.29,3.34,5.08,4.23,,-0.85, 
