항목,2017/12,2018/12,2019/12,2020/12,2021/12,"2022/12(E)

연간컨센서스닫기",전년대비,전년대비
펼치기 EPS,"1,490","1,088","1,037",190,505,,165, 
  당기순이익(지배)＜당기＞,818.4,622.0,592.4,108.8,288.4,, , 
  보통주수정평균발행주식수＜당기＞,"51,318,056","53,543,977","53,543,977","53,543,977","53,543,977","53,543,977", , 
  우선주수정평균발행주식수＜당기＞,"3,600,600","3,600,600","3,600,600","3,600,600","3,600,600","3,600,600", , 
펼치기 BPS,"16,099","17,092","18,356","18,783","19,877",,6, 
  자본총계(지배)＜당기＞,"9,170.8","9,592.2","10,301.9","10,515.2","10,984.3",, , 
  보통주수정기말발행주식수(자사주차감)＜당기＞,"53,543,977","52,701,476","52,701,476","52,562,803","51,841,138","51,841,138", , 
  우선주수정기말발행주식수(자사주차감)＜당기＞,"3,420,600","3,420,600","3,420,600","3,420,600","3,420,600","3,420,600", , 
펼치기 CPS,-256,"2,373","5,657","3,948","4,131",,5, 
  영업활동현금흐름＜당기＞,-140.7,"1,356.1","3,232.9","2,256.2","2,360.5",, , 
  보통주수정평균발행주식수＜당기＞,"51,318,056","53,543,977","53,543,977","53,543,977","53,543,977","53,543,977", , 
  우선주수정평균발행주식수＜당기＞,"3,600,600","3,600,600","3,600,600","3,600,600","3,600,600","3,600,600", , 
펼치기 SPS,"5,718","23,800","40,097","34,448","42,067",,22, 
  매출액＜당기＞,"3,140.3","13,600.3","22,913.4","19,685.4","24,038.8",, , 
  보통주수정평균발행주식수＜당기＞,"51,318,056","53,543,977","53,543,977","53,543,977","53,543,977","53,543,977", , 
  우선주수정평균발행주식수＜당기＞,"3,600,600","3,600,600","3,600,600","3,600,600","3,600,600","3,600,600", , 
펼치기 PER,5.09,5.05,5.84,24.31,9.04,,-62.83, 
  보통주수정주가(기말)＜당기＞,"7,590","5,500","6,050","4,630","4,560","4,335", , 
  EPS＜당기＞,"1,490","1,088","1,037",190,505,, , 
펼치기 PBR,0.47,0.32,0.33,0.25,0.23,,-6.93, 
  보통주수정주가(기말)＜당기＞,"7,590","5,500","6,050","4,630","4,560","4,335", , 
  BPS＜당기＞,"16,099","17,092","18,356","18,783","19,877",, , 
펼치기 PCR,-29.62,2.32,1.07,1.17,1.10,,-5.86, 
  보통주수정주가(기말)＜당기＞,"7,590","5,500","6,050","4,630","4,560","4,335", , 
  CPS＜당기＞,-256,"2,373","5,657","3,948","4,131",, , 
펼치기 PSR,1.33,0.23,0.15,0.13,0.11,,-19.35, 
  보통주수정주가(기말)＜당기＞,"7,590","5,500","6,050","4,630","4,560","4,335", , 
  SPS＜당기＞,"5,718","23,800","40,097","34,448","42,067",, , 
펼치기 EV/EBITDA,5.14,5.69,3.15,4.56,4.99,,9.43, 
  EV＜당기＞,"4,106.5","12,978.9","12,705.6","12,200.5","11,873.0",, , 
  EBITDA＜당기＞,799.0,"2,281.4","4,035.2","2,677.0","2,380.6",, , 
펼치기 DPS,75,75,80,85,100,,18, 
  현금DPS,75,75,80,85,100,, , 
  주식DPS,0,0,0,0,,, , 
  현금배당수익률,0.99,1.36,1.32,1.84,2.19,,0.36, 
  현금배당성향(%),5.24,6.79,7.61,43.89,19.22,,-24.67, 
