항목,"2019/12
(IFRS별도)","2020/06
(IFRS별도)","2020/12
(IFRS별도)","2021/06
(IFRS별도)","2021/12
(IFRS별도)","2022/12(E)
(IFRS별도)
연간컨센서스닫기",전년대비,전년대비
펼치기 EPS,83,87,87,79,76,,-4, 
  당기순이익(지배)＜당기＞,105.8,155.5,156.1,169.8,184.1,, , 
  보통주수정평균발행주식수＜당기＞,"127,165,730","178,614,460","178,614,460","171,968,884","228,012,736","242,968,884", , 
  우선주수정평균발행주식수＜당기＞,,0,,0,0,, , 
펼치기 BPS,"4,828","4,822","4,754","4,810","4,746",,-1, 
  자본총계(지배)＜당기＞,"8,622.7","8,612.3","8,490.6","11,686.3","11,530.8",, , 
  보통주수정기말발행주식수(자사주차감)＜당기＞,"178,614,450","178,614,460","178,614,460","242,968,884","242,968,884","242,968,884", , 
  우선주수정기말발행주식수(자사주차감)＜당기＞,0,0,0,0,0,, , 
펼치기 CPS,579,202,200,357,221,,-38, 
  영업활동현금흐름＜당기＞,736.4,360.7,356.5,767.4,537.9,, , 
  보통주수정평균발행주식수＜당기＞,"127,165,730","178,614,460","178,614,460","171,968,884","228,012,736","242,968,884", , 
  우선주수정평균발행주식수＜당기＞,,0,,0,0,, , 
펼치기 SPS,177,213,215,226,231,,2, 
  매출액＜당기＞,224.9,380.9,383.3,486.4,561.8,, , 
  보통주수정평균발행주식수＜당기＞,"127,165,730","178,614,460","178,614,460","171,968,884","228,012,736","242,968,884", , 
  우선주수정평균발행주식수＜당기＞,,0,,0,0,, , 
펼치기 PER,72.10,61.65,59.61,75.56,73.26,,-3.04, 
  보통주수정주가(기말)＜당기＞,"6,000","5,367","5,211",,"5,550","5,780", , 
  EPS＜당기＞,83,87,87,79,76,, , 
펼치기 PBR,1.24,1.11,1.10,1.24,1.17,,-5.62, 
  보통주수정주가(기말)＜당기＞,"6,000","5,367","5,211",,"5,550","5,780", , 
  BPS＜당기＞,"4,828","4,822","4,754","4,810","4,746",, , 
펼치기 PCR,10.36,26.57,26.11,16.72,25.07,,49.95, 
  보통주수정주가(기말)＜당기＞,"6,000","5,367","5,211",,"5,550","5,780", , 
  CPS＜당기＞,579,202,200,357,221,, , 
펼치기 PSR,33.92,25.16,24.28,26.37,24.00,,-8.99, 
  보통주수정주가(기말)＜당기＞,"6,000","5,367","5,211",,"5,550","5,780", , 
  SPS＜당기＞,177,213,215,226,231,, , 
펼치기 EV/EBITDA,82.12,43.07,42.02,54.47,45.83,,-15.87, 
  EV＜당기＞,"16,842.8","15,561.4","15,284.7","25,061.7","24,364.5",, , 
  EBITDA＜당기＞,205.1,361.3,363.8,460.1,531.7,, , 
펼치기 DPS,92,155,155,139,159,,14, 
  현금DPS,92,155,155,139,159,, , 
  주식DPS,0,0,0,0,,, , 
  현금배당수익률,1.54,2.89,2.97,2.33,2.86,,0.53, 
  현금배당성향(%),156.76,178.66,178.30,200.00,210.85,,10.84, 
