항목,"2017/12
(IFRS별도)","2018/12
(IFRS별도)","2019/12
(IFRS별도)","2020/12
(IFRS별도)","2021/12
(IFRS별도)","2022/12(E)
(IFRS별도)
연간컨센서스닫기",전년대비,전년대비
펼치기 EPS,"2,546",845,"1,402","1,959","1,674",,-15, 
  당기순이익(지배)＜당기＞,239.9,79.6,132.1,184.6,157.7,, , 
  보통주수정평균발행주식수＜당기＞,"9,422,739","9,422,739","9,422,739","9,422,739","9,422,739",, , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,, , 
펼치기 BPS,"15,779","16,524","17,782","19,611","20,876",,6, 
  자본총계(지배)＜당기＞,"1,486.8","1,557.0","1,675.6","1,847.9","1,967.0",, , 
  보통주수정기말발행주식수(자사주차감)＜당기＞,"9,422,736","9,422,736","9,422,736","9,422,736","9,422,736",, , 
  우선주수정기말발행주식수(자사주차감)＜당기＞,0,0,0,0,0,, , 
펼치기 CPS,"2,757",855,"2,961","3,372","2,148",,-36, 
  영업활동현금흐름＜당기＞,259.8,80.5,279.0,317.7,202.4,, , 
  보통주수정평균발행주식수＜당기＞,"9,422,739","9,422,739","9,422,739","9,422,739","9,422,739",, , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,, , 
펼치기 SPS,"32,919","31,429","33,281","34,769","34,903",,0, 
  매출액＜당기＞,"3,101.9","2,961.5","3,136.0","3,276.2","3,288.8",, , 
  보통주수정평균발행주식수＜당기＞,"9,422,739","9,422,739","9,422,739","9,422,739","9,422,739",, , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,, , 
펼치기 PER,5.15,11.52,5.40,5.02,5.57,,10.97, 
  보통주수정주가(기말)＜당기＞,"13,100","9,730","7,570","9,840","9,330","10,100", , 
  EPS＜당기＞,"2,546",845,"1,402","1,959","1,674",, , 
펼치기 PBR,0.83,0.59,0.43,0.50,0.45,,-10.93, 
  보통주수정주가(기말)＜당기＞,"13,100","9,730","7,570","9,840","9,330","10,100", , 
  BPS＜당기＞,"15,779","16,524","17,782","19,611","20,876",, , 
펼치기 PCR,4.75,11.38,2.56,2.92,4.34,,48.84, 
  보통주수정주가(기말)＜당기＞,"13,100","9,730","7,570","9,840","9,330","10,100", , 
  CPS＜당기＞,"2,757",855,"2,961","3,372","2,148",, , 
펼치기 PSR,0.40,0.31,0.23,0.28,0.27,,-5.55, 
  보통주수정주가(기말)＜당기＞,"13,100","9,730","7,570","9,840","9,330","10,100", , 
  SPS＜당기＞,"32,919","31,429","33,281","34,769","34,903",, , 
펼치기 EV/EBITDA,6.56,8.51,4.47,3.59,4.27,,18.90, 
  EV＜당기＞,"2,174.2","1,877.4","1,458.0","1,300.2","1,258.0",, , 
  EBITDA＜당기＞,331.7,220.5,326.2,361.8,294.4,, , 
펼치기 DPS,120,50,100,150,200,,33, 
  현금DPS,120,50,100,150,200,, , 
  주식DPS,0,0,0,0,,, , 
  현금배당수익률,0.92,0.51,1.32,1.52,2.14,,0.62, 
  현금배당성향(%),4.71,5.92,7.13,7.66,11.95,,4.29, 
