항목,"2017/12
(IFRS별도)",2018/12,2019/12,2020/12,2021/12,"2022/12(E)

연간컨센서스닫기",전년대비,전년대비
펼치기 EPS,11,252,450,319,"1,105",,246, 
  당기순이익(지배)＜당기＞,1.2,27.7,49.5,35.1,121.5,, , 
  보통주수정평균발행주식수＜당기＞,"11,000,000","11,000,000","11,000,000","11,000,000","11,000,000","11,000,000", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 BPS,"9,478","9,605","9,893","10,036","11,093",,11, 
  자본총계(지배)＜당기＞,"1,042.6","1,056.6","1,088.3","1,103.9","1,220.3",, , 
  보통주수정기말발행주식수(자사주차감)＜당기＞,"11,000,000","11,000,000","11,000,000","11,000,000","11,000,000","11,000,000", , 
  우선주수정기말발행주식수(자사주차감)＜당기＞,0,0,0,0,0,0, , 
펼치기 CPS,323,561,854,"1,034","1,439",,39, 
  영업활동현금흐름＜당기＞,35.6,61.7,94.0,113.8,158.3,, , 
  보통주수정평균발행주식수＜당기＞,"11,000,000","11,000,000","11,000,000","11,000,000","11,000,000","11,000,000", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 SPS,"12,442","15,574","17,375","17,910","22,997",,28, 
  매출액＜당기＞,"1,368.6","1,713.2","1,911.2","1,970.1","2,529.7",, , 
  보통주수정평균발행주식수＜당기＞,"11,000,000","11,000,000","11,000,000","11,000,000","11,000,000","11,000,000", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 PER,287.29,16.71,9.84,36.18,24.44,,-32.45, 
  보통주수정주가(기말)＜당기＞,"3,245","4,205","4,430","11,550","27,000","23,700", , 
  EPS＜당기＞,11,252,450,319,"1,105",, , 
펼치기 PBR,0.34,0.44,0.45,1.15,2.43,,111.48, 
  보통주수정주가(기말)＜당기＞,"3,245","4,205","4,430","11,550","27,000","23,700", , 
  BPS＜당기＞,"9,478","9,605","9,893","10,036","11,093",, , 
펼치기 PCR,10.04,7.50,5.19,11.17,18.76,,67.99, 
  보통주수정주가(기말)＜당기＞,"3,245","4,205","4,430","11,550","27,000","23,700", , 
  CPS＜당기＞,323,561,854,"1,034","1,439",, , 
펼치기 PSR,0.26,0.27,0.25,0.64,1.17,,82.06, 
  보통주수정주가(기말)＜당기＞,"3,245","4,205","4,430","11,550","27,000","23,700", , 
  SPS＜당기＞,"12,442","15,574","17,375","17,910","22,997",, , 
펼치기 EV/EBITDA,8.81,8.40,7.85,11.82,13.71,,16.00, 
  EV＜당기＞,916.0,"1,076.5","1,118.3","1,927.1","3,563.0",, , 
  EBITDA＜당기＞,104.0,128.2,142.4,163.1,260.0,, , 
펼치기 DPS,55,100,110,100,200,,100, 
  현금DPS,55,100,110,100,200,, , 
  주식DPS,0,0,0,0,0,, , 
  현금배당수익률,1.69,2.38,2.48,0.87,0.74,,-0.13, 
  현금배당성향(%),486.94,39.74,24.43,31.32,18.10,,-13.22, 
