항목,2017/12,2018/12,2019/12,2020/12,2021/12,"2022/12(E)

연간컨센서스닫기",전년대비,전년대비
펼치기 EPS,"-2,705",-420,-302,-200,-375,,-88, 
  당기순이익(지배)＜당기＞,-128.7,-42.7,-31.5,-20.9,-39.3,, , 
  보통주수정평균발행주식수＜당기＞,"4,757,940","10,176,844","10,457,940","10,457,940","10,457,940",, , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,, , 
펼치기 BPS,-811,"1,422","1,132",931,"1,230",,32, 
  자본총계(지배)＜당기＞,-38.6,148.7,118.4,97.3,128.6,, , 
  보통주수정기말발행주식수(자사주차감)＜당기＞,"4,756,148","10,456,148","10,456,148","10,456,148","10,456,148",, , 
  우선주수정기말발행주식수(자사주차감)＜당기＞,0,0,0,0,0,, , 
펼치기 CPS,893,8,-160,-135,-105,,23, 
  영업활동현금흐름＜당기＞,42.5,0.8,-16.8,-14.2,-11.0,, , 
  보통주수정평균발행주식수＜당기＞,"4,757,940","10,176,844","10,457,940","10,457,940","10,457,940",, , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,, , 
펼치기 SPS,"9,286","4,135","3,996","3,836","4,240",,11, 
  매출액＜당기＞,441.8,420.8,417.9,401.2,443.4,, , 
  보통주수정평균발행주식수＜당기＞,"4,757,940","10,176,844","10,457,940","10,457,940","10,457,940",, , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,, , 
펼치기 PER,N/A,N/A,N/A,N/A,N/A,,45.44, 
  보통주수정주가(기말)＜당기＞,"5,120","2,245","2,585","3,935","4,040","3,430", , 
  EPS＜당기＞,"-2,705",-420,-302,-200,-375,, , 
펼치기 PBR,N/A,1.58,2.28,4.23,3.28,,-22.32, 
  보통주수정주가(기말)＜당기＞,"5,120","2,245","2,585","3,935","4,040","3,430", , 
  BPS＜당기＞,-811,"1,422","1,132",931,"1,230",, , 
펼치기 PCR,5.73,269.90,-16.12,-29.06,-38.57,,-32.73, 
  보통주수정주가(기말)＜당기＞,"5,120","2,245","2,585","3,935","4,040","3,430", , 
  CPS＜당기＞,893,8,-160,-135,-105,, , 
펼치기 PSR,0.55,0.54,0.65,1.03,0.95,,-7.12, 
  보통주수정주가(기말)＜당기＞,"5,120","2,245","2,585","3,935","4,040","3,430", , 
  SPS＜당기＞,"9,286","4,135","3,996","3,836","4,240",, , 
펼치기 EV/EBITDA,-42.50,920.75,15.66,33.13,-63.88,,-292.84, 
  EV＜당기＞,912.0,411.4,461.8,623.3,671.4,, , 
  EBITDA＜당기＞,-21.5,0.4,29.5,18.8,-10.5,, , 
펼치기 DPS,,,,,,, , 
  현금DPS,,,,,,, , 
  주식DPS,,,,,,, , 
  현금배당수익률,,,,,,, , 
  현금배당성향(%),0.00,0.00,0.00,0.00,,, , 
