항목,"2017/12
(IFRS별도)","2018/12
(IFRS별도)","2019/12
(IFRS별도)",2020/12,"2021/12
(IFRS별도)","2022/12(E)
(IFRS별도)
연간컨센서스닫기",전년대비,전년대비
펼치기 EPS,396,282,-974,"-1,685","-2,136",, , 
  당기순이익(지배)＜당기＞,284.6,202.9,-729.1,"-1,284.7","-2,659.6",, , 
  보통주수정평균발행주식수＜당기＞,"71,862,048","71,951,709","74,837,137","76,237,866","124,522,803","193,920,000", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 BPS,"1,700","2,038","1,447","1,024",673,, , 
  자본총계(지배)＜당기＞,"1,221.7","1,523.0","1,081.1","1,102.7","1,305.3",, , 
  보통주수정기말발행주식수(자사주차감)＜당기＞,"71,862,050","74,729,139","74,729,139","107,718,521","193,812,000","193,812,000", , 
  우선주수정기말발행주식수(자사주차감)＜당기＞,0,0,0,0,0,0, , 
펼치기 CPS,924,348,"1,504","-1,524",-555,, , 
  영업활동현금흐름＜당기＞,663.9,250.3,"1,125.3","-1,161.6",-690.6,, , 
  보통주수정평균발행주식수＜당기＞,"71,862,048","71,951,709","74,837,137","76,237,866","124,522,803","193,920,000", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 SPS,"7,816","9,083","8,461","2,491","1,417",, , 
  매출액＜당기＞,"5,616.6","6,535.7","6,331.8","1,899.2","1,765.0",, , 
  보통주수정평균발행주식수＜당기＞,"71,862,048","71,951,709","74,837,137","76,237,866","124,522,803","193,920,000", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 PER,,15.15,N/A,N/A,N/A,, , 
  보통주수정주가(기말)＜당기＞,,"4,272","4,132","2,561","2,260","2,185", , 
  EPS＜당기＞,396,282,-974,"-1,685","-2,136",, , 
펼치기 PBR,0.00,2.10,2.86,2.50,3.36,, , 
  보통주수정주가(기말)＜당기＞,,"4,272","4,132","2,561","2,260","2,185", , 
  BPS＜당기＞,"1,700","2,038","1,447","1,024",673,, , 
펼치기 PCR,,12.28,2.75,-1.68,-4.08,, , 
  보통주수정주가(기말)＜당기＞,,"4,272","4,132","2,561","2,260","2,185", , 
  CPS＜당기＞,924,348,"1,504","-1,524",-555,, , 
펼치기 PSR,,0.47,0.49,1.03,1.59,, , 
  보통주수정주가(기말)＜당기＞,,"4,272","4,132","2,561","2,260","2,185", , 
  SPS＜당기＞,"7,816","9,083","8,461","2,491","1,417",, , 
펼치기 EV/EBITDA,,9.10,8.75,-14.10,-16.51,, , 
  EV＜당기＞,,"2,704.5","7,570.3","7,500.2","9,244.0",, , 
  EBITDA＜당기＞,413.2,297.2,864.9,-531.9,-560.1,, , 
펼치기 DPS,70,70,0,0,,, , 
  현금DPS,70,70,0,0,,, , 
  주식DPS,0,0,0,0,,, , 
  현금배당수익률,,1.63,0.00,0.00,,, , 
  현금배당성향(%),16.51,25.60,0.00,0.00,,, , 
