항목,2017/12,2018/12,2019/12,2020/12,2021/12,"2022/12(E)

연간컨센서스닫기",전년대비,전년대비
펼치기 EPS,-398,-29,255,205,407,,98, 
  당기순이익(지배)＜당기＞,-196.2,-14.4,126.0,101.1,200.7,, , 
  보통주수정평균발행주식수＜당기＞,"49,347,483","49,347,483","49,347,483","49,347,483","49,347,483","49,347,483", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 BPS,"5,837","5,894","6,240","6,299","9,069",,44, 
  자본총계(지배)＜당기＞,"2,684.2","2,710.5","2,869.5","2,896.7","4,170.3",, , 
  보통주수정기말발행주식수(자사주차감)＜당기＞,"45,985,537","45,985,537","45,985,537","45,985,537","45,985,537",, , 
  우선주수정기말발행주식수(자사주차감)＜당기＞,0,0,0,0,0,, , 
펼치기 CPS,511,137,"1,702","1,501",774,,-48, 
  영업활동현금흐름＜당기＞,252.0,67.6,839.9,740.8,381.9,, , 
  보통주수정평균발행주식수＜당기＞,"49,347,483","49,347,483","49,347,483","49,347,483","49,347,483","49,347,483", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 SPS,"19,048","18,834","18,160","18,927","24,116",,27, 
  매출액＜당기＞,"9,399.5","9,293.9","8,961.6","9,340.0","11,900.7",, , 
  보통주수정평균발행주식수＜당기＞,"49,347,483","49,347,483","49,347,483","49,347,483","49,347,483","49,347,483", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 PER,N/A,N/A,19.86,27.13,13.47,,-50.34, 
  보통주수정주가(기말)＜당기＞,"5,230","3,030","5,070","5,560","5,480","5,480", , 
  EPS＜당기＞,-398,-29,255,205,407,, , 
펼치기 PBR,0.90,0.51,0.81,0.88,0.60,,-31.54, 
  보통주수정주가(기말)＜당기＞,"5,230","3,030","5,070","5,560","5,480","5,480", , 
  BPS＜당기＞,"5,837","5,894","6,240","6,299","9,069",, , 
펼치기 PCR,10.24,22.12,2.98,3.70,7.08,,91.18, 
  보통주수정주가(기말)＜당기＞,"5,230","3,030","5,070","5,560","5,480","5,480", , 
  CPS＜당기＞,511,137,"1,702","1,501",774,, , 
펼치기 PSR,0.27,0.16,0.28,0.29,0.23,,-22.65, 
  보통주수정주가(기말)＜당기＞,"5,230","3,030","5,070","5,560","5,480","5,480", , 
  SPS＜당기＞,"19,048","18,834","18,160","18,927","24,116",, , 
펼치기 EV/EBITDA,16.87,9.05,7.98,7.71,1.25,,-83.76, 
  EV＜당기＞,"5,598.7","4,624.7","4,626.7","4,498.0",843.8,, , 
  EBITDA＜당기＞,331.8,511.2,579.7,583.2,673.6,, , 
펼치기 DPS,0,70,100,100,150,,50, 
  현금DPS,0,70,100,100,150,, , 
  주식DPS,0,0,0,0,,, , 
  현금배당수익률,0.00,2.31,1.97,1.80,2.74,,0.94, 
  현금배당성향(%),0.00,-223.68,36.49,45.47,34.36,,-11.11, 
