항목,2017/12,2018/12,2019/12,2020/12,2021/12,"2022/12(E)

연간컨센서스닫기",전년대비,전년대비
펼치기 EPS,958,"-7,353","-10,684","-1,117",-935,"2,137",16,329
  당기순이익(지배)＜당기＞,142.8,"-1,789.1","-2,642.6",-402.5,-336.9,770.4, , 
  보통주수정평균발행주식수＜당기＞,"14,909,711","24,332,386","24,735,162","36,047,135","36,047,135",, , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,, , 
펼치기 BPS,"42,829","35,053","19,447","18,870","17,954","20,035",-5,12
  자본총계(지배)＜당기＞,"10,398.1","8,510.1","6,999.6","6,791.7","6,462.2","7,211.0", , 
  보통주수정기말발행주식수(자사주차감)＜당기＞,"24,277,952","24,277,955","35,992,704","35,992,704","35,992,704",, , 
  우선주수정기말발행주식수(자사주차감)＜당기＞,0,0,0,0,0,, , 
펼치기 CPS,-298,-165,"2,326","5,674","3,045","3,366",-46,11
  영업활동현금흐름＜당기＞,-44.4,-40.3,575.4,"2,045.3","1,097.8","1,163.8", , 
  보통주수정평균발행주식수＜당기＞,"14,909,711","24,332,386","24,735,162","36,047,135","36,047,135",, , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,, , 
펼치기 SPS,"97,223","79,746","71,604","50,249","50,101","55,796",-0,11
  매출액＜당기＞,"14,495.7","19,404.1","17,711.3","18,113.4","18,059.9","20,113.0", , 
  보통주수정평균발행주식수＜당기＞,"14,909,711","24,332,386","24,735,162","36,047,135","36,047,135",, , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,, , 
펼치기 PER,51.53,N/A,N/A,N/A,N/A,11.44,-44.97,153.72
  보통주수정주가(기말)＜당기＞,"49,357","19,159","11,550","16,400","19,900","24,450", , 
  EPS＜당기＞,958,"-7,353","-10,684","-1,117",-935,"2,137", , 
펼치기 PBR,1.15,0.55,0.59,0.87,1.11,1.22,27.53,10.11
  보통주수정주가(기말)＜당기＞,"49,357","19,159","11,550","16,400","19,900","24,450", , 
  BPS＜당기＞,"42,829","35,053","19,447","18,870","17,954","20,035", , 
펼치기 PCR,-165.79,-115.77,4.96,2.89,6.53,7.26,126.07,11.17
  보통주수정주가(기말)＜당기＞,"49,357","19,159","11,550","16,400","19,900","24,450", , 
  CPS＜당기＞,-298,-165,"2,326","5,674","3,045","3,366", , 
펼치기 PSR,0.51,0.24,0.16,0.33,0.40,0.44,21.70,10.32
  보통주수정주가(기말)＜당기＞,"49,357","19,159","11,550","16,400","19,900","24,450", , 
  SPS＜당기＞,"97,223","79,746","71,604","50,249","50,101","55,796", , 
펼치기 EV/EBITDA,15.30,-20.50,-7.10,7.30,17.05,7.02,133.49,-58.82
  EV＜당기＞,"14,396.4","9,672.6","8,586.1","8,369.4","8,961.1","10,819.0", , 
  EBITDA＜당기＞,940.8,-471.9,"-1,208.6","1,146.0",525.5,"1,540.8", , 
펼치기 DPS,0,0,,,,, , 
  현금DPS,0,0,,,,, , 
  주식DPS,0,0,,,,, , 
  현금배당수익률,0.00,0.00,,,,0.33, , 
  현금배당성향(%),0.00,0.00,0.00,0.00,,3.74, , 
