Date,Open,Close,High,Low,Volume
2018-11-26,7940,8125,8133,7844,76565
2018-11-27,8186,8379,8458,8046,140165
2018-11-28,8414,8484,8502,8248,88409
2018-11-29,8502,8765,8993,8484,347710
2018-11-30,8730,8686,8818,8520,97710
2018-12-03,8686,8818,9037,8686,162771
2018-12-04,8748,8774,8862,8704,72713
2018-12-05,8669,8660,8721,8537,157130
2018-12-06,8686,8607,8774,8555,87934
2018-12-07,8677,8572,8730,8546,60421
2018-12-10,8511,8476,8572,8327,80548
2018-12-11,8590,8405,8599,8397,73457
2018-12-12,8537,8449,8572,8362,84778
2018-12-13,8511,8449,8537,8353,206667
2018-12-14,8449,8142,8476,8081,110565
2018-12-17,8186,8133,8212,7835,202046
2018-12-18,8116,8098,8133,7993,47220
2018-12-19,8081,8055,8169,7976,69330
2018-12-20,8046,7949,8133,7853,90150
2018-12-21,7958,7993,8019,7897,75084
2018-12-24,7949,8177,8230,7940,109296
2018-12-26,8046,8107,8169,7932,141072
2018-12-27,8389,8295,8389,8164,97952
2018-12-28,8304,8398,8408,8267,95339
2019-01-02,8436,8192,8454,8164,85440
2019-01-03,8126,7836,8155,7817,158449
2019-01-04,7686,7892,7892,7648,89927
2019-01-07,7939,7995,8061,7845,54882
2019-01-08,7930,7836,7986,7836,54489
2019-01-09,7845,7986,8005,7845,49191
2019-01-10,7986,7911,7986,7855,80936
2019-01-11,7948,7967,8005,7883,37141
2019-01-14,8051,7958,8051,7892,46918
2019-01-15,7920,8136,8155,7920,77389
2019-01-16,8080,8155,8192,8051,50430
2019-01-17,8164,8051,8164,8033,91326
2019-01-18,8098,8117,8117,8033,75177
2019-01-21,8108,8080,8267,8042,97924
2019-01-22,8117,7948,8117,7883,118885
2019-01-23,7911,7948,8070,7864,126830
2019-01-24,7901,7911,7967,7873,86477
2019-01-25,7911,7948,8051,7901,79844
2019-01-28,7948,8042,8126,7930,109380
2019-01-29,8033,8023,8033,7920,112657
2019-01-30,7986,8042,8042,7930,87459
2019-01-31,8033,8080,8145,7976,78937
2019-02-01,8033,8014,8070,7939,105111
