Date,Open,Close,High,Low,Volume
2018-11-26,748,758,768,748,277940
2018-11-27,759,764,764,753,221400
2018-11-28,768,755,771,743,200442
2018-11-29,753,746,798,745,868318
2018-11-30,753,737,757,737,186433
2018-12-03,743,753,757,739,160393
2018-12-04,755,770,780,753,299061
2018-12-05,770,766,787,758,291785
2018-12-06,761,761,774,751,290061
2018-12-07,760,757,768,754,149799
2018-12-10,757,755,830,751,839710
2018-12-11,757,748,773,748,435283
2018-12-12,744,768,772,743,331906
2018-12-13,767,763,775,745,354716
2018-12-14,759,746,761,746,227027
2018-12-17,747,747,756,729,103204
2018-12-18,747,741,751,737,108606
2018-12-19,744,735,750,726,338294
2018-12-20,734,703,739,692,490534
2018-12-21,712,911,911,709,9861206
2018-12-24,959,850,995,834,18105521
2018-12-26,818,858,866,795,4453457
2018-12-27,874,1112,1112,862,20632853
2018-12-28,1156,1160,1233,1060,20342658
2019-01-02,1185,1289,1330,1156,9120588
2019-01-03,1313,1346,1442,1273,8228814
2019-01-04,1370,1426,1446,1289,4055838
2019-01-07,1313,1342,1390,1249,6840720
2019-01-08,1330,1301,1370,1245,2595217
2019-01-09,1281,1297,1326,1265,1294681
2019-01-10,1285,1213,1305,1180,2554871
2019-01-11,1213,1193,1261,1160,2227542
2019-01-14,1217,1285,1309,1197,2871632
2019-01-15,1285,1326,1358,1265,2371306
2019-01-16,1317,1354,1390,1289,1799626
2019-01-17,1358,1265,1378,1229,2213536
2019-01-18,1253,1221,1261,1189,1845712
2019-01-21,1209,1209,1253,1197,1296167
2019-01-22,1193,1108,1209,1076,4904028
2019-01-23,1116,1084,1156,1072,2058143
2019-01-24,1116,1096,1128,1080,1122048
2019-01-25,1132,1249,1249,1108,6089602
2019-01-28,1229,1209,1273,1193,2996013
2019-01-29,1193,1301,1382,1180,7359986
2019-01-30,1289,1442,1442,1261,6066148
2019-01-31,1604,1366,1712,1346,25841219
2019-02-01,1354,1410,1422,1277,7583282
2019-02-07,1382,1382,1438,1334,3345922
2019-02-08,1370,1555,1652,1346,22722455
2019-02-11,1575,1841,1890,1551,35482954
2019-02-12,1793,1801,1813,1724,7345483
2019-02-13,1789,1853,2027,1781,27977772
2019-02-14,1829,1853,1970,1817,7183574
2019-02-15,1894,1914,2006,1849,9967688
2019-02-18,1954,1918,1974,1882,4173984
2019-02-19,1898,1821,1914,1773,4236422
2019-02-20,1849,1732,1894,1680,4159525
2019-02-21,1712,1777,1849,1684,5568580
2019-02-22,1773,1628,1837,1628,3995477
2019-02-25,1648,1644,1720,1632,2249872
2019-02-26,1644,1712,1720,1640,1975511
2019-02-27,1708,1700,1720,1632,2317939
2019-02-28,1684,1712,1853,1652,7090009
2019-03-04,1773,1890,1946,1769,11238210
2019-03-05,1886,1878,1950,1829,4503114
2019-03-06,1878,1849,1918,1805,2215982
2019-03-07,1809,1728,1833,1708,2548526
2019-03-08,1732,1728,1805,1696,3598390
2019-03-11,1732,1571,1741,1563,3217852
2019-03-12,1551,1575,1624,1551,1174350
2019-03-13,1559,1463,1587,1450,3348888
2019-03-14,1483,1515,1575,1463,3374043
2019-03-15,1495,1463,1527,1434,2154537
2019-03-18,1463,1499,1527,1442,1170741
2019-03-19,1507,1559,1595,1495,3844788
2019-03-20,1547,1539,1559,1503,1153639
2019-03-21,1547,1491,1579,1463,1459433
2019-03-22,1487,1507,1531,1467,1050494
2019-03-25,1487,1555,1563,1467,2299523
2019-03-26,1567,1511,1571,1503,1337564
2019-03-27,1499,1442,1535,1414,2057312
2019-03-28,1414,1418,1467,1398,1284744
2019-03-29,1430,1479,1487,1422,1756821
2019-04-01,1467,1527,1527,1463,935617
2019-04-02,1531,1507,1535,1479,1155009
2019-04-03,1507,1523,1616,1479,4123194
2019-04-04,1523,1475,1535,1450,1645002
2019-04-05,1491,1491,1503,1467,907834
2019-04-08,1503,1463,1507,1463,497682
2019-04-09,1446,1519,1519,1442,1075194
2019-04-10,1531,1555,1559,1507,1095047
2019-04-11,1559,1535,1583,1523,830596
2019-04-12,1535,1531,1575,1507,1047316
2019-04-15,1523,1479,1535,1479,684573
2019-04-16,1479,1454,1491,1438,812242
2019-04-17,1467,1503,1511,1446,610815
2019-04-18,1503,1430,1507,1430,726256
2019-04-19,1434,1531,1583,1434,3777893
2019-04-22,1527,1648,1672,1511,7509586
2019-04-23,1636,1362,1644,1334,9601437
2019-04-24,1386,1305,1390,1305,2911226
2019-04-25,1305,1269,1322,1249,1459909
2019-04-26,1273,1269,1309,1257,1070654
2019-04-29,1281,1293,1313,1277,599200
2019-04-30,1293,1281,1305,1265,573897
2019-05-02,1269,1293,1305,1269,379257
2019-05-03,1281,1297,1305,1281,330683
2019-05-07,1265,1293,1317,1237,770494
2019-05-08,1293,1269,1313,1269,463989
2019-05-09,1269,1164,1289,1144,1920331
2019-05-10,1164,1189,1209,1156,1319484
2019-05-13,1213,1201,1217,1189,649999
2019-05-14,1185,1225,1257,1185,1146665
2019-05-15,1253,1398,1430,1221,10473135
2019-05-16,1358,1398,1422,1305,4038863
2019-05-17,1358,1322,1382,1322,1857118
2019-05-20,1467,1559,1644,1386,24731613
2019-05-21,1539,1475,1543,1454,4270778
2019-05-22,1285,1217,1346,1217,6223467
2019-05-23,1209,1180,1281,1168,2209183
2019-05-24,1189,1185,1245,1176,2137820
2019-05-27,1168,1185,1225,1168,730684
2019-05-28,1185,1237,1277,1176,1846904
2019-05-29,1233,1273,1281,1201,950143
2019-05-30,1261,1249,1269,1221,888724
2019-05-31,1241,1237,1257,1229,414392
2019-06-03,1241,1265,1281,1225,880500
2019-06-04,1241,1193,1249,1180,1479676
2019-06-05,1201,1233,1245,1193,611212
2019-06-07,1229,1249,1273,1221,940045
2019-06-10,1261,1233,1293,1217,1632133
2019-06-11,1241,1313,1313,1229,2124562
2019-06-12,1499,1346,1612,1346,42856515
2019-06-13,1362,1322,1366,1309,4651016
2019-06-14,1346,1326,1426,1305,8393594
2019-06-17,1313,1317,1386,1305,2926142
2019-06-18,1330,1277,1354,1265,3376376
2019-06-19,1374,1309,1523,1289,30514483
2019-06-20,1313,1354,1487,1309,26817018
2019-06-21,1354,1354,1426,1330,7086134
2019-06-24,1374,1350,1386,1326,3371004
2019-06-25,1354,1366,1426,1350,6695485
2019-06-26,1354,1322,1378,1301,2967829
2019-06-27,1326,1297,1338,1285,1728780
2019-06-28,1297,1273,1317,1265,1196397
2019-07-01,1273,1281,1293,1245,691613
2019-07-02,1281,1269,1293,1257,779840
2019-07-03,1269,1217,1293,1201,1307420
2019-07-04,1217,1217,1225,1160,1123071
2019-07-05,1213,1229,1229,1193,612342
2019-07-08,1221,1148,1225,1140,949329
2019-07-09,1140,1152,1185,1120,1219007
2019-07-10,1140,1160,1189,1140,498450
2019-07-11,1168,1217,1221,1160,881972
2019-07-12,1221,1229,1269,1201,1349656
2019-07-15,1225,1189,1241,1180,599950
2019-07-16,1193,1164,1205,1140,802568
2019-07-17,1152,1148,1168,1132,596788
2019-07-18,1144,1140,1168,1132,465715
2019-07-19,1144,1168,1176,1140,509764
2019-07-22,1168,1197,1201,1160,449834
2019-07-23,1197,1172,1209,1168,440763
2019-07-24,1168,1285,1378,1164,21649772
2019-07-25,1277,1245,1301,1221,3713495
2019-07-26,1225,1201,1273,1193,3476245
2019-07-29,1229,1052,1273,1052,6028738
2019-07-30,1048,1084,1120,1048,2024160
2019-07-31,1068,1068,1096,1048,1972076
2019-08-01,1060,1011,1100,1007,1940869
2019-08-02,983,1007,1044,951,1271582
2019-08-05,991,915,1048,915,1459958
2019-08-06,878,907,991,846,2428614
2019-08-07,915,983,991,915,1387180
2019-08-08,1003,1015,1027,971,998258
2019-08-09,1019,1019,1027,995,756993
2019-08-12,999,1044,1096,999,1794414
2019-08-13,1035,1048,1104,1031,911310
2019-08-14,1072,1056,1104,1048,858641
2019-08-16,1048,1072,1096,1048,700453
2019-08-19,1076,1112,1172,1076,2441790
2019-08-20,1124,1128,1164,1112,745181
2019-08-21,1148,1128,1168,1108,1181574
2019-08-22,1132,1156,1205,1128,1151509
2019-08-23,1136,1136,1156,1120,813956
2019-08-26,1092,1072,1108,1064,1187945
2019-08-27,1084,1172,1269,1084,8325867
2019-08-28,1152,1160,1205,1152,1821354
2019-08-29,1185,1120,1213,1112,3478479
2019-08-30,1124,1132,1156,1120,938647
2019-09-02,1132,1152,1205,1124,2020357
2019-09-03,1144,1164,1185,1140,1000808
2019-09-04,1172,1221,1221,1156,1639245
2019-09-05,1241,1269,1418,1197,24893785
2019-09-06,1273,1237,1289,1217,3745343
2019-09-09,1233,1172,1245,1172,2795648
2019-09-10,1189,1229,1297,1185,8432372
2019-09-11,1229,1313,1330,1221,9582662
2019-09-16,1289,1281,1309,1269,3562668
2019-09-17,1273,1289,1350,1253,5223296
2019-09-18,1281,1277,1301,1269,2030063
2019-09-19,1338,1273,1346,1265,3268910
2019-09-20,1269,1285,1313,1265,1403416
2019-09-23,1285,1338,1338,1269,2613232
2019-09-24,1313,1297,1330,1285,1604734
2019-09-25,1293,1221,1297,1205,2173012
2019-09-26,1225,1217,1269,1193,1813088
2019-09-27,1189,1193,1217,1185,827481
2019-09-30,1201,1213,1237,1185,905613
2019-10-01,1209,1209,1225,1180,979608
2019-10-02,1193,1217,1237,1193,663680
2019-10-04,1217,1241,1241,1197,1029429
2019-10-07,1233,1197,1249,1189,758735
2019-10-08,1201,1217,1241,1193,649732
2019-10-10,1217,1261,1269,1209,1046289
2019-10-11,1261,1253,1269,1245,591005
2019-10-14,1261,1297,1334,1241,3942470
2019-10-15,1281,1245,1289,1241,1224969
2019-10-16,1269,1257,1285,1245,848768
2019-10-17,1249,1253,1269,1245,522008
2019-10-18,1257,1257,1277,1237,720432
2019-10-21,1253,1225,1261,1225,519008
2019-10-22,1229,1237,1241,1221,521255
2019-10-23,1237,1193,1253,1193,698251
2019-10-24,1201,1205,1221,1189,572652
2019-10-25,1205,1180,1213,1176,396564
2019-10-28,1176,1197,1205,1172,479347
2019-10-29,1185,1249,1249,1185,836827
2019-10-30,1257,1221,1257,1221,705524
2019-10-31,1225,1225,1245,1209,564684
2019-11-01,1233,1273,1273,1221,1316724
2019-11-04,1273,1281,1301,1265,990800
2019-11-05,1289,1273,1293,1253,612347
2019-11-06,1273,1305,1326,1273,1649989
2019-11-07,1309,1326,1338,1293,1261938
2019-11-08,1326,1301,1342,1293,830834
2019-11-11,1305,1362,1434,1293,11185835
2019-11-12,1354,1330,1378,1322,1719408
2019-11-13,1342,1394,1467,1334,11027755
2019-11-14,1386,1446,1454,1370,4649011
2019-11-15,1434,1406,1442,1398,1809188
2019-11-18,1414,1313,1442,1289,3430567
2019-11-19,1309,1338,1394,1301,3450433
2019-11-20,1342,1261,1342,1241,3016153
2019-11-21,1257,1221,1285,1213,1493238
2019-11-22,1225,1233,1261,1209,1174958
2019-11-25,1237,1269,1277,1237,878560
2019-11-26,1277,1261,1277,1253,701957
2019-11-27,1269,1261,1289,1245,1969586
2019-11-28,1257,1217,1285,1209,1947068
2019-11-29,1229,1281,1394,1217,21788323
2019-12-02,1277,1301,1338,1261,5140475
2019-12-03,1301,1269,1330,1257,3203838
2019-12-04,1265,1253,1273,1229,1496994
2019-12-05,1257,1185,1265,1185,2225133
2019-12-06,1185,1217,1217,1185,628460
2019-12-09,1221,1189,1237,1185,957756
2019-12-10,1189,1132,1197,1112,2414765
2019-12-11,1128,1140,1185,1120,1680906
2019-12-12,1148,1144,1172,1136,1121821
2019-12-13,1201,1148,1205,1148,1229120
2019-12-16,1156,1185,1193,1148,764875
2019-12-17,1185,1189,1189,1164,544932
2019-12-18,1189,1168,1221,1156,1556175
2019-12-19,1176,1209,1253,1168,4450149
2019-12-20,1209,1241,1261,1180,3051875
2019-12-23,1237,1273,1277,1229,2115201
2019-12-24,1273,1229,1277,1213,1589648
2019-12-26,1225,1201,1245,1197,1052730
2019-12-27,1201,1217,1221,1201,569726
2019-12-30,1213,1237,1249,1213,867610
2020-01-02,1241,1261,1269,1229,1249636
2020-01-03,1273,1326,1330,1257,7367136
2020-01-06,1326,1309,1342,1285,3186931
2020-01-07,1309,1317,1330,1301,1731612
2020-01-08,1301,1269,1317,1225,3101350
2020-01-09,1305,1322,1342,1289,2363343
2020-01-10,1322,1309,1322,1273,1755006
2020-01-13,1309,1354,1358,1305,2433976
2020-01-14,1390,1305,1402,1301,4239563
2020-01-15,1305,1326,1346,1285,2194376
2020-01-16,1326,1354,1354,1313,1631124
2020-01-17,1374,1346,1390,1346,5311839
2020-01-20,1350,1305,1350,1297,1514929
2020-01-21,1305,1289,1326,1281,1292960
2020-01-22,1289,1273,1317,1269,2300617
2020-01-23,1269,1241,1281,1233,1103088
2020-01-28,1205,1197,1209,1164,1515783
2020-01-29,1205,1225,1237,1197,804876
2020-01-30,1213,1148,1233,1140,1484412
2020-01-31,1152,1136,1197,1132,1031172
2020-02-03,1116,1148,1164,1084,1072801
2020-02-04,1152,1185,1193,1152,398963
2020-02-05,1193,1193,1213,1172,824741
2020-02-06,1209,1213,1213,1197,489792
2020-02-07,1205,1217,1237,1193,890767
2020-02-10,1217,1233,1237,1209,584567
2020-02-11,1233,1253,1269,1229,923233
2020-02-12,1261,1277,1293,1241,862195
2020-02-13,1277,1281,1301,1265,690618
