Date,Open,Close,High,Low,Volume
2018-11-26,9420,9460,9670,9310,189514
2018-11-27,9670,9850,9910,9520,277236
2018-11-28,9900,9730,9980,9730,171150
2018-11-29,9900,9490,9900,9490,176671
2018-11-30,9490,9220,9580,9050,439883
2018-12-03,9330,9200,9500,9100,269942
2018-12-04,9230,9040,9240,8960,236281
2018-12-05,8890,8590,9070,8430,529390
2018-12-06,8610,8200,8650,7940,499324
2018-12-07,8230,8500,8500,7480,1008671
2018-12-10,8300,8430,8450,8080,250830
2018-12-11,8430,8300,8440,8140,279867
2018-12-12,8310,8650,8670,8280,287770
2018-12-13,8530,8590,8760,8490,264770
2018-12-14,8590,8270,8590,8110,194659
2018-12-17,8180,8000,8240,7790,312763
2018-12-18,7860,7910,8060,7710,242965
2018-12-19,7930,7980,8310,7750,202198
2018-12-20,7940,8080,8200,7830,179744
2018-12-21,8010,8000,8140,7670,228850
2018-12-24,7910,8110,8110,7710,254720
2018-12-26,7990,7750,7990,7700,489470
2018-12-27,7860,8130,8160,7770,269074
2018-12-28,8090,8300,8390,8050,234934
2019-01-02,8300,8100,8470,8100,265557
2019-01-03,8100,8050,8170,7850,235700
2019-01-04,7950,8050,8080,7850,191095
2019-01-07,8150,8440,8450,8100,296464
2019-01-08,8440,8670,8810,8400,411817
2019-01-09,8650,8670,8780,8480,206506
2019-01-10,8740,8510,8750,8450,153950
2019-01-11,8500,8540,8620,8420,208998
2019-01-14,8560,8170,8600,8170,311437
2019-01-15,8170,8150,8310,8040,145510
2019-01-16,8180,8080,8180,7960,207747
2019-01-17,7960,8200,8270,7800,290057
2019-01-18,8350,8150,8350,8150,209592
2019-01-21,8170,8410,8610,8170,581789
2019-01-22,8490,8230,8500,8190,228178
2019-01-23,8240,8290,8400,8150,199646
2019-01-24,8310,8400,8650,8210,292975
2019-01-25,8400,8420,8580,8330,201280
2019-01-28,8430,8420,8510,8320,161706
2019-01-29,8420,8380,8450,8220,197227
2019-01-30,8350,8230,8380,8210,194727
2019-01-31,8260,8210,8400,8170,143390
2019-02-01,8190,8060,8230,8010,323335
2019-02-07,8060,8100,8100,7910,297215
2019-02-08,8040,8050,8140,7980,184840
2019-02-11,8050,8770,8800,8000,841101
2019-02-12,8770,8650,8850,8560,329322
2019-02-13,8620,8530,8700,8490,319148
2019-02-14,8610,8310,8610,8260,571152
2019-02-15,8310,8280,8310,7850,771273
2019-02-18,8250,8270,8310,8120,255755
2019-02-19,8340,8350,8620,8250,664774
2019-02-20,8350,8330,8450,8200,270286
2019-02-21,8330,8090,8380,8090,289312
2019-02-22,8290,8000,8310,7860,486223
2019-02-25,7980,8000,8110,7930,310218
2019-02-26,8000,8080,8080,7960,203279
2019-02-27,8070,8120,8190,8050,153342
2019-02-28,8120,8050,8160,7950,332581
2019-03-04,8040,8050,8120,8020,303400
2019-03-05,8080,8200,8340,8050,350816
2019-03-06,8180,8170,8290,8080,185488
2019-03-07,8140,8080,8350,8000,218785
2019-03-08,8010,8010,8090,7920,290112
2019-03-11,7970,7920,8030,7740,392120
2019-03-12,7930,7910,7980,7810,179747
2019-03-13,7910,7990,8110,7850,200764
2019-03-14,8040,8020,8090,7930,117454
2019-03-15,8010,8030,8170,7950,225894
2019-03-18,8040,8160,8320,8040,282214
2019-03-19,8230,8100,8300,8060,190761
2019-03-20,8100,8150,8230,8070,325435
2019-03-21,8190,8130,8270,8060,186428
2019-03-22,8150,8110,8150,8060,113394
2019-03-25,8080,8040,8090,7930,224182
2019-03-26,8010,8350,8360,7980,539837
2019-03-27,8320,8280,8430,8250,268067
2019-03-28,8330,8280,8340,8200,198056
2019-03-29,8240,8800,8800,8210,983369
2019-04-01,8900,9050,9160,8700,1278963
2019-04-02,9070,9520,9790,9060,1429423
2019-04-03,9560,9420,9700,9360,595269
2019-04-04,9430,9490,9590,9210,525886
2019-04-05,9550,9470,9600,9360,376846
2019-04-08,9500,9420,9590,9320,395672
2019-04-09,9350,9400,9540,9240,331656
2019-04-10,9290,9690,9700,9290,673121
2019-04-11,9650,9540,9740,9510,410979
2019-04-12,9540,9240,9620,9090,605046
2019-04-15,9290,9420,9500,9080,645542
2019-04-16,9700,9140,9850,9070,1817838
2019-04-17,9280,8780,9280,8720,1656574
2019-04-18,8790,8560,8800,8420,610164
2019-04-19,8540,8620,8790,8520,367673
2019-04-22,8600,8780,8890,8600,364313
2019-04-23,8750,8770,8810,8530,291726
2019-04-24,8730,8580,8750,8560,328341
2019-04-25,8550,8380,8630,8240,344831
2019-04-26,8290,8430,8550,8250,514210
2019-04-29,8350,8280,8370,8160,358970
2019-04-30,8110,8320,8320,8110,166866
2019-05-02,8250,8420,8510,8170,277951
2019-05-03,8430,8420,8650,8410,251844
2019-05-07,8260,8220,8310,8190,322758
2019-05-08,8130,8280,8400,8070,173472
2019-05-09,8210,8180,8350,8140,360949
2019-05-10,8240,8440,8950,8140,640966
2019-05-13,8440,8370,8610,8370,194673
2019-05-14,8300,8370,8450,8140,157173
2019-05-15,8500,8440,8500,8350,175345
2019-05-16,8440,8430,8560,8290,207538
2019-05-17,8430,8540,8980,8350,927794
2019-05-20,8530,8540,8710,8500,281549
2019-05-21,8420,8720,8740,8420,252844
2019-05-22,8720,9090,9150,8690,870657
2019-05-23,9140,8970,9220,8950,377115
2019-05-24,8900,8950,9030,8760,257008
2019-05-27,8950,9090,9270,8950,514740
2019-05-28,9140,9220,9220,9010,307307
2019-05-29,9120,9520,9550,9100,841997
2019-05-30,9630,10450,10450,9420,2632083
2019-05-31,10750,9900,11200,9900,2120465
2019-06-03,10250,10500,10550,9990,1000222
2019-06-04,10550,10350,10750,10300,841300
2019-06-05,10450,10000,10450,9990,948963
2019-06-07,10350,10350,10500,10050,648364
2019-06-10,10250,10350,10600,10200,482755
2019-06-11,10300,10400,10600,10250,462553
2019-06-12,10450,10050,10500,10000,708067
2019-06-13,10050,10000,10300,9890,668519
2019-06-14,10200,10250,10500,10100,713410
2019-06-17,10250,10300,10450,10100,527047
2019-06-18,10650,9810,10800,9810,1287674
2019-06-19,9800,9980,10050,9790,530532
2019-06-20,10150,10300,10500,10100,770397
2019-06-21,10300,10150,10350,10050,342815
2019-06-24,10250,10050,10300,10000,385513
2019-06-25,9920,9990,10150,9910,391507
2019-06-26,10100,9960,10200,9950,319605
2019-06-27,10000,9470,10050,9300,868500
2019-06-28,9480,9470,9700,9420,302694
2019-07-01,9600,9300,9600,9260,331076
2019-07-02,9240,9050,9390,9020,512945
2019-07-03,9070,9140,9420,9040,374869
2019-07-04,9100,9600,9600,9100,483415
2019-07-05,9690,9930,10050,9410,391479
2019-07-08,9930,9850,10100,9750,373856
2019-07-09,9990,9780,9990,9710,196206
2019-07-10,9700,9980,10000,9700,251582
2019-07-11,9980,10350,10400,9980,421127
2019-07-12,10200,10600,10600,10200,506687
2019-07-15,10650,10700,10700,10350,591253
2019-07-16,10600,11250,11300,10600,1318195
2019-07-17,10900,10950,11250,10050,1761209
2019-07-18,10950,10200,10950,10150,699795
2019-07-19,10200,10300,10400,10000,326884
2019-07-22,10300,10250,10400,10050,218481
2019-07-23,10150,10150,10350,10050,244073
2019-07-24,10150,10150,10350,10050,181885
2019-07-25,10100,9820,10200,9800,302175
2019-07-26,9560,10100,10250,9560,405869
2019-07-29,10200,9900,10200,9900,235458
2019-07-30,9850,9750,9950,9750,172645
2019-07-31,9710,9830,9950,9690,243229
2019-08-01,9840,9720,10050,9710,313083
2019-08-02,9720,9490,9740,9370,309142
2019-08-05,9570,8200,9570,8200,493047
2019-08-06,7750,8200,8220,7190,849909
2019-08-07,8010,8500,8500,7810,331401
2019-08-08,8430,9210,9210,8430,341024
2019-08-09,9230,9240,9290,9060,226351
2019-08-12,9130,9200,9280,8970,285946
2019-08-13,9070,9640,9900,9000,313515
2019-08-14,9640,9730,9840,9600,174651
2019-08-16,9610,9820,9850,9580,173907
2019-08-19,9880,10050,10100,9830,259878
2019-08-20,10100,10200,10300,9960,279067
2019-08-21,10250,10000,10300,9990,273371
2019-08-22,10050,9870,10050,9640,341632
2019-08-23,9700,10150,10250,9560,398664
2019-08-26,9900,9890,10100,9810,235791
2019-08-27,9970,9690,10000,9680,237954
2019-08-28,9600,9610,9660,9390,252615
2019-08-29,9610,9370,9610,9180,402558
2019-08-30,9370,9630,9780,8500,841021
2019-09-02,9680,9510,9680,9450,81390
2019-09-03,9500,9610,9770,9360,304242
2019-09-04,9600,9640,9660,9510,118399
2019-09-05,9720,9870,9970,9700,500394
2019-09-06,9870,9630,9890,9630,179570
2019-09-09,9540,9500,9800,9180,552867
2019-09-10,9520,9410,9520,9310,332599
2019-09-11,9430,9520,9570,9310,135843
2019-09-16,9610,9810,9850,9610,314024
2019-09-17,9800,9870,9890,9760,194559
2019-09-18,9880,9840,9910,9740,168150
2019-09-19,9840,9880,9970,9810,454032
2019-09-20,9870,10000,10100,9860,731564
2019-09-23,10050,9940,10050,9790,275260
2019-09-24,9830,9900,9970,9820,184788
2019-09-25,9850,9780,9900,9500,485675
2019-09-26,9720,9710,9800,9600,611645
2019-09-27,9710,9690,9860,9570,600171
2019-09-30,9690,9940,10150,9670,716585
2019-10-01,9800,9730,9920,9610,309599
2019-10-02,9730,9680,9800,9570,199476
2019-10-04,9680,9440,9680,9120,575134
2019-10-07,9320,8850,9770,8390,739047
2019-10-08,8650,8750,9100,8460,612082
2019-10-10,8760,8790,8910,8590,341661
2019-10-11,8790,8750,8890,8500,250237
2019-10-14,8850,8640,8850,8590,110331
2019-10-15,8660,8590,8690,8470,329597
2019-10-16,8650,9110,9340,8590,641772
2019-10-17,9110,9400,9440,9050,297893
2019-10-18,9320,9450,9460,9210,207938
2019-10-21,9450,9660,9710,9330,349268
2019-10-22,9660,9680,9810,9570,318855
2019-10-23,9680,9600,9860,9520,578682
2019-10-24,9600,9600,9650,9390,271264
2019-10-25,9610,9600,9700,9450,245299
2019-10-28,9590,9580,9770,9540,236816
2019-10-29,9580,9550,9670,9420,175955
2019-10-30,9500,9540,9680,9420,228611
2019-10-31,9440,9540,9650,9440,241485
2019-11-01,9470,9630,9670,9470,210338
2019-11-04,9580,9690,9860,9550,396171
2019-11-05,9760,9410,9780,9370,222574
2019-11-06,9450,9600,9620,9280,229725
2019-11-07,9600,9500,9630,9500,104249
2019-11-08,9630,9900,10100,9560,981211
2019-11-11,10100,9740,10200,9690,507813
2019-11-12,9660,9350,9730,9280,355140
2019-11-13,9430,9260,9450,8610,507609
2019-11-14,9050,9650,9660,9050,420152
2019-11-15,9610,9490,9620,9310,296364
2019-11-18,9450,9300,9490,9240,113600
2019-11-19,9190,9270,9370,9130,172068
2019-11-20,9300,9300,9370,9130,142797
2019-11-21,9330,9150,9330,9000,167333
2019-11-22,9040,9070,9200,8920,213391
2019-11-25,9160,9060,9160,8930,125967
2019-11-26,9000,9080,9200,8910,217649
2019-11-27,9140,9080,9140,8940,81353
2019-11-28,9040,9100,9100,8980,95943
2019-11-29,9110,9040,9340,9040,248769
2019-12-02,9150,8930,9150,8900,104168
2019-12-03,8920,8780,8920,8670,172882
2019-12-04,8760,9300,9370,8410,735428
2019-12-05,9460,9080,9520,9040,538562
2019-12-06,9020,9220,9270,9020,179302
2019-12-09,9290,8980,9400,8940,154545
2019-12-10,9070,8940,9070,8740,192003
2019-12-11,8860,9020,9080,8750,214680
2019-12-12,9000,9200,9340,8950,322141
2019-12-13,9200,9290,9430,9200,318995
2019-12-16,9450,9180,9450,9130,166296
2019-12-17,9200,8960,9270,8940,260878
2019-12-18,9000,9050,9050,8890,114837
2019-12-19,9000,8930,9080,8900,167641
2019-12-20,8860,8840,8990,8810,119065
2019-12-23,8850,8710,8890,8620,220737
2019-12-24,8640,8750,8800,8460,485856
2019-12-26,8750,8600,8800,8540,397743
2019-12-27,8620,9040,9150,8620,410736
2019-12-30,8980,9000,9060,8900,131681
2020-01-02,9080,9030,9100,8960,137795
2020-01-03,9100,9100,9170,8950,233747
2020-01-06,8920,8810,9000,8800,162085
2020-01-07,8850,8970,9100,8850,172234
2020-01-08,8890,8730,8890,8650,213538
2020-01-09,8780,8960,9070,8780,208536
2020-01-10,8930,10200,10200,8930,2358386
2020-01-13,11000,10700,11150,10250,3585347
2020-01-14,10800,10850,11000,10300,1626370
2020-01-15,10950,10850,11050,10700,930000
2020-01-16,10950,11450,11550,10850,2145981
2020-01-17,11550,11400,11800,11300,1296028
2020-01-20,11650,10800,11700,10750,1437088
2020-01-21,10700,11050,11150,10550,959821
2020-01-22,10800,11250,11500,10800,828838
2020-01-23,11200,11300,11350,10850,565230
2020-01-28,10250,9800,10350,9600,2178129
2020-01-29,9990,9840,10100,9740,848982
2020-01-30,10000,9950,10250,9810,981446
2020-01-31,10000,9760,10100,9600,603927
2020-02-03,9600,9690,9780,9160,641197
2020-02-04,9690,9800,9930,9620,503818
2020-02-05,10050,9840,10300,9780,779435
2020-02-06,10000,10250,10350,9910,926910
2020-02-07,10100,9880,10150,9880,590268
2020-02-10,9720,10050,10100,9650,373659
2020-02-11,10100,10100,10150,9870,389560
2020-02-12,10150,10000,10150,9880,509855
2020-02-13,10000,10050,10400,9920,657246
2020-02-14,9980,10000,10150,9900,313291
2020-02-17,10200,10300,10400,9990,783367
2020-02-18,10300,9980,10300,9910,535141
2020-02-19,9980,9800,10100,9690,458687
2020-02-20,9830,9850,9860,9640,597347
2020-02-21,10000,10150,10350,9880,1268626
2020-02-24,9930,10050,10300,9730,919330
