Date,Open,Close,High,Low,Volume
2018-11-26,2134,2051,2200,2047,339746
2018-11-27,2073,2056,2095,2021,215026
2018-11-28,2056,1990,2086,1908,208703
2018-11-29,2004,1973,2047,1973,123648
2018-11-30,1969,1973,2012,1956,59618
2018-12-03,1977,2021,2038,1977,76651
2018-12-04,2021,1982,2030,1973,111612
2018-12-05,1977,1986,1990,1943,56649
2018-12-06,1986,1925,1986,1908,80069
2018-12-07,1925,1916,1947,1912,34008
2018-12-10,1877,1886,1908,1860,70110
2018-12-11,1912,1873,1916,1838,61192
2018-12-12,1851,1882,1890,1825,59638
2018-12-13,1860,1921,1929,1860,56461
2018-12-14,1916,1838,1943,1812,179301
2018-12-17,1799,1842,1864,1781,131971
2018-12-18,1799,1842,1855,1777,62933
2018-12-19,1812,1864,1895,1812,45246
2018-12-20,1864,1986,2047,1834,190638
2018-12-21,1977,1925,1982,1912,65325
2018-12-24,1925,1786,1964,1733,183930
2018-12-26,1751,1790,1816,1729,48621
2018-12-27,1864,1825,1864,1794,29188
2018-12-28,1834,1860,1864,1812,50651
2019-01-02,1860,1825,1886,1803,112916
2019-01-03,1830,1820,1840,1760,139388
2019-01-04,1805,1850,1870,1730,50904
2019-01-07,1850,1865,1905,1815,27066
2019-01-08,1950,1945,2275,1880,648127
2019-01-09,1955,1995,2010,1930,140707
2019-01-10,1995,2000,2040,1930,50345
2019-01-11,2000,2130,2390,1950,868526
2019-01-14,2200,2260,2450,2100,896100
2019-01-15,2260,2340,2495,2225,1119697
2019-01-16,2440,2300,2450,2275,213820
2019-01-17,2280,2185,2305,2165,181391
2019-01-18,2185,2200,2250,2170,96298
2019-01-21,2200,2180,2225,2140,91010
2019-01-22,2160,2050,2170,2020,134467
2019-01-23,2095,2090,2120,2050,57363
2019-01-24,2080,2130,2210,2080,226687
2019-01-25,2130,2115,2160,2080,127468
2019-01-28,2145,2180,2275,2115,356384
2019-01-29,2455,2460,2700,2235,3781982
2019-01-30,2450,2365,2450,2300,1121539
2019-01-31,2380,2335,2470,2220,1322333
2019-02-01,2385,2235,2430,2220,604158
2019-02-07,2200,2055,2200,2040,429361
2019-02-08,2065,2015,2065,1965,285162
