Date,Open,Close,High,Low,Volume
2018-11-26,3108,3072,3176,3058,79507
2018-11-27,3113,3076,3113,3003,30402
2018-11-28,3076,3094,3103,3040,22356
2018-11-29,3108,3245,3313,3081,144305
2018-11-30,3295,3172,3345,3149,93458
2018-12-03,3185,3194,3249,3172,25360
2018-12-04,3194,3295,3299,3194,93369
2018-12-05,3285,3258,3285,3194,29467
2018-12-06,3295,3467,3941,3258,6328944
2018-12-07,3408,3508,3536,3381,779728
2018-12-10,3458,3386,3613,3386,693300
2018-12-11,3386,3317,3504,3213,458267
2018-12-12,3304,3495,3522,3258,479176
2018-12-13,3768,3558,4082,3558,3862020
2018-12-14,3613,3690,3800,3531,1005314
2018-12-17,3736,3636,3768,3540,520534
2018-12-18,3636,3549,3722,3513,485973
2018-12-19,3549,3604,3672,3467,239441
2018-12-20,3577,3518,3686,3481,233099
2018-12-21,3477,3454,3545,3445,131571
2018-12-24,3422,3317,3422,3249,357530
2018-12-26,3276,3390,3404,3249,167037
2018-12-27,3495,3410,3560,3400,74372
2018-12-28,3405,3385,3480,3350,58105
2019-01-02,3385,3315,3435,3275,56636
2019-01-03,3345,3270,3345,3240,55704
2019-01-04,3270,3235,3285,3110,50622
2019-01-07,3290,3350,3855,3275,639484
2019-01-08,3410,3380,3535,3375,235634
2019-01-09,3375,3475,3475,3360,75272
2019-01-10,3490,3470,3560,3395,123434
2019-01-11,3460,3505,3625,3455,170887
2019-01-14,3465,3565,3565,3465,51174
2019-01-15,3585,3580,3585,3520,38315
2019-01-16,3580,3505,3580,3480,79482
2019-01-17,3490,3425,3560,3420,64727
2019-01-18,3405,3555,3565,3360,175786
2019-01-21,3590,3550,3590,3485,93234
2019-01-22,3600,3545,3615,3510,64955
2019-01-23,3545,3555,3575,3490,52191
2019-01-24,3575,3710,3745,3550,354229
2019-01-25,3850,3705,3855,3700,279894
2019-01-28,3710,3675,3750,3675,120571
2019-01-29,3665,3565,3665,3535,124501
2019-01-30,3560,3665,3680,3555,137848
2019-01-31,3675,3700,3745,3625,135542
2019-02-01,3700,3695,3740,3660,95258
2019-02-07,3695,3855,3920,3665,477508
2019-02-08,3830,3760,3830,3725,142696
2019-02-11,3750,3650,3750,3645,105161
2019-02-12,3730,3675,3730,3640,46942
2019-02-13,3675,3730,3740,3640,87892
2019-02-14,3730,3710,3755,3650,56692
2019-02-15,3675,3670,3710,3625,40018
2019-02-18,3670,3740,3775,3670,87840
2019-02-19,3755,3745,3775,3700,38704
2019-02-20,3900,3800,4030,3775,576938
2019-02-21,3800,3730,3805,3675,111308
2019-02-22,3730,3705,3740,3665,92824
2019-02-25,3745,3725,3915,3690,253184
2019-02-26,3720,3675,3765,3670,54073
2019-02-27,3680,3745,3775,3665,79280
2019-02-28,3745,3590,3800,3570,166883
2019-03-04,3590,3600,3640,3550,60023
2019-03-05,3600,3550,3610,3505,65779
2019-03-06,3550,3550,3650,3525,60843
2019-03-07,3545,3435,3545,3420,72578
2019-03-08,3425,3390,3485,3385,81141
2019-03-11,3375,3385,3425,3310,40587
2019-03-12,3385,3425,3440,3335,36127
2019-03-13,3370,3375,3450,3370,49901
2019-03-14,3355,3425,3425,3340,36336
2019-03-15,3425,3260,3445,3225,115673
2019-03-18,3315,3300,3340,3275,33507
2019-03-19,3280,3320,3335,3280,14638
2019-03-20,3315,3270,3335,3215,48469
2019-03-21,3270,3160,3295,3160,66120
2019-03-22,3160,3200,3205,3160,24853
2019-03-25,3195,3130,3195,3100,66283
2019-03-26,3130,3155,3215,3130,21195
2019-03-27,3175,3140,3175,3135,21379
2019-03-28,3155,3120,3155,3080,34312
2019-03-29,3080,3130,3150,3050,37393
2019-04-01,3195,3195,3195,3125,24370
2019-04-02,3200,3215,3230,3180,22008
2019-04-03,3215,3235,3245,3215,16777
2019-04-04,3235,3290,3330,3200,71057
2019-04-05,3350,3345,3380,3295,52068
2019-04-08,3310,3270,3350,3260,21807
2019-04-09,3255,3365,3365,3255,44912
2019-04-10,3360,3365,3380,3320,19352
2019-04-11,3380,3430,3510,3345,108447
2019-04-12,3405,3410,3435,3360,36406
2019-04-15,3415,3380,3415,3375,24713
2019-04-16,3365,3315,3395,3300,40544
2019-04-17,3315,3365,3375,3310,21417
2019-04-18,3350,3325,3370,3325,32219
2019-04-19,3310,3355,3420,3310,36099
2019-04-22,3340,3335,3370,3320,20419
2019-04-23,3330,3270,3350,3270,34605
2019-04-24,3270,3245,3280,3230,24801
2019-04-25,3240,3255,3300,3200,43625
2019-04-26,3270,3240,3270,3215,24907
2019-04-29,3240,3260,3390,3230,92028
2019-04-30,3260,3255,3275,3225,28979
2019-05-02,3275,3350,3380,3260,66361
2019-05-03,3350,3355,3370,3335,26574
2019-05-07,3350,3345,3360,3260,43038
2019-05-08,3345,3340,3355,3295,59731
2019-05-09,3315,3250,3340,3250,70980
2019-05-10,3270,3210,3270,3170,72687
2019-05-13,3220,3240,3295,3205,51020
2019-05-14,3185,3295,3300,3065,68289
2019-05-15,3295,3365,3370,3230,89552
2019-05-16,3365,3370,3380,3225,95064
2019-05-17,3370,3430,3490,3325,241026
2019-05-20,3430,3275,3470,3255,219789
2019-05-21,3245,3265,3355,3165,366225
2019-05-22,3255,3450,3450,3200,361904
2019-05-23,3455,3420,3550,3260,761177
2019-05-24,3390,3260,3440,3260,188063
2019-05-27,3260,3215,3335,3215,112290
2019-05-28,3215,3265,3275,3200,57238
2019-05-29,3250,3160,3295,3160,60159
2019-05-30,3160,3150,3185,3140,50612
2019-05-31,3155,3150,3195,3135,48719
2019-06-03,3150,3255,3270,3115,56923
2019-06-04,3275,3350,3385,3275,68203
2019-06-05,3360,3395,3395,3335,26359
2019-06-07,3395,3395,3420,3310,48889
2019-06-10,3390,3385,3415,3300,44582
2019-06-11,3385,3395,3425,3305,93469
2019-06-12,3400,3400,3495,3400,152008
2019-06-13,3400,3670,3675,3400,333636
2019-06-14,3670,3545,3675,3505,200348
2019-06-17,3655,3525,3705,3450,230263
2019-06-18,3525,3680,4350,3525,8310500
2019-06-19,3680,3810,4045,3675,3100210
2019-06-20,3780,3720,3795,3675,429668
2019-06-21,3885,3805,4240,3805,4624067
2019-06-24,3830,3670,3940,3660,675411
2019-06-25,3670,3530,3700,3495,416212
2019-06-26,3480,3525,3765,3480,1003799
