Date,Open,Close,High,Low,Volume
2018-11-26,2025,1995,2070,1990,236161
2018-11-27,1995,1995,2025,1970,163174
2018-11-28,2035,2045,2060,2000,200391
2018-11-29,2075,2060,2085,2045,244393
2018-11-30,2060,2040,2105,2030,81384
2018-12-03,2050,2110,2270,2050,1400173
2018-12-04,2135,2215,2255,2105,1122486
2018-12-05,2160,2200,2215,2150,400980
2018-12-06,2240,2135,2255,2105,494715
2018-12-07,2165,2265,2300,2150,1899150
2018-12-10,2430,2220,2480,2220,3128952
2018-12-11,2270,2180,2275,2155,651932
2018-12-12,2190,2175,2210,2155,591888
2018-12-13,2250,2290,2400,2220,3612323
2018-12-14,2290,2215,2325,2190,1115513
2018-12-17,2195,2230,2235,2165,412080
2018-12-18,2165,2185,2265,2150,636513
2018-12-19,2220,2190,2220,2180,303865
2018-12-20,2190,2185,2325,2140,889579
2018-12-21,2190,2125,2205,2115,389035
2018-12-24,2140,2070,2160,2070,303497
2018-12-26,2020,1975,2045,1970,374723
2018-12-27,2010,2010,2050,1995,218952
2018-12-28,2015,2020,2075,1995,191098
2019-01-02,2040,1990,2060,1990,139098
2019-01-03,1985,1980,2060,1950,229581
2019-01-04,1990,1985,2025,1940,186063
2019-01-07,1995,2060,2065,1995,175826
2019-01-08,2060,2105,2130,2040,264025
2019-01-09,2135,2135,2145,2090,253800
2019-01-10,2155,2120,2175,2100,197358
2019-01-11,2135,2175,2220,2120,689307
2019-01-14,2260,2205,2270,2175,441225
2019-01-15,2205,2205,2215,2160,277614
2019-01-16,2210,2305,2315,2195,737291
2019-01-17,2305,2240,2325,2200,486749
2019-01-18,2235,2270,2285,2220,282885
2019-01-21,2280,2260,2295,2230,221584
2019-01-22,2260,2255,2290,2230,179175
2019-01-23,2250,2275,2285,2205,249463
2019-01-24,2280,2285,2305,2265,200401
2019-01-25,2275,2290,2300,2270,148265
2019-01-28,2300,2290,2340,2270,232380
2019-01-29,2290,2240,2290,2200,210896
2019-01-30,2260,2390,2415,2235,1262593
2019-01-31,2385,2425,2450,2310,934613
2019-02-01,2440,2385,2445,2355,635879
2019-02-07,2400,2405,2430,2375,332647
2019-02-08,2385,2385,2410,2360,193963
2019-02-11,2395,2305,2395,2305,192125
2019-02-12,2300,2340,2340,2280,175861
2019-02-13,2355,2335,2355,2300,216067
2019-02-14,2315,2265,2355,2170,254957
2019-02-15,2260,2260,2285,2230,74292
2019-02-18,2255,2280,2290,2255,86717
2019-02-19,2280,2270,2300,2235,128458
2019-02-20,2275,2225,2285,2205,113061
2019-02-21,2225,2185,2225,2135,213276
2019-02-22,2185,2220,2245,2165,113168
2019-02-25,2225,2285,2290,2195,203227
2019-02-26,2285,2255,2310,2255,141832
2019-02-27,2260,2280,2295,2230,109328
2019-02-28,2280,2100,2290,2055,349811
2019-03-04,2100,2060,2110,2010,257756
2019-03-05,2040,2070,2100,2035,163520
2019-03-06,2070,2070,2105,2045,52310
2019-03-07,2070,2000,2075,1990,162110
2019-03-08,1985,2045,2075,1980,64223
2019-03-11,2035,2040,2050,1985,71291
2019-03-12,2040,2050,2060,2020,50460
2019-03-13,2070,2035,2070,2015,51503
2019-03-14,2035,2065,2090,2025,92788
2019-03-15,2055,2040,2110,1995,183772
2019-03-18,2035,2075,2080,2025,73235
2019-03-19,2070,2095,2095,2065,65195
2019-03-20,2090,2040,2105,2015,99018
2019-03-21,2015,2010,2040,2000,108139
2019-03-22,2010,1980,2010,1950,143714
2019-03-25,2025,2090,2325,1980,6144138
2019-03-26,2115,2085,2145,2055,762543
2019-03-27,2100,2090,2130,2070,425616
2019-03-28,2075,2120,2120,2075,234772
2019-03-29,2100,2160,2180,2090,354711
2019-04-01,2150,2160,2185,2125,204462
2019-04-02,2155,2170,2180,2140,109566
2019-04-03,2170,2220,2220,2165,236885
2019-04-04,2230,2175,2230,2150,144638
2019-04-05,2175,2195,2195,2145,90416
2019-04-08,2185,2190,2200,2165,82590
2019-04-09,2180,2155,2200,2125,176933
2019-04-10,2150,2175,2175,2125,96775
2019-04-11,2175,2180,2185,2135,129089
2019-04-12,2165,2180,2190,2155,91892
2019-04-15,2170,2250,2290,2160,596042
2019-04-16,2250,2230,2320,2180,214671
2019-04-17,2220,2215,2230,2200,91046
2019-04-18,2205,2155,2230,2140,204836
