Date,Open,Close,High,Low,Volume
2018-11-26,11959,12120,12200,11317,92209
2018-11-27,12120,13524,13524,11919,97890
2018-11-28,13885,14247,14688,13645,284274
2018-11-29,14287,14608,15250,13645,311342
2018-11-30,14287,15450,15691,14287,240469
2018-12-03,15450,14688,15450,14006,170727
2018-12-04,14848,15651,15972,14728,138978
2018-12-05,15731,15210,16373,14929,132582
2018-12-06,14728,14046,15410,13645,143854
2018-12-07,13925,14728,14768,13925,96023
2018-12-10,14969,13845,14969,13484,140556
2018-12-11,13685,13323,14367,12842,92200
2018-12-12,13323,13725,13845,12962,36768
2018-12-13,13885,13203,13925,12882,63496
2018-12-14,13243,12922,13364,12360,74179
2018-12-17,12962,12240,13243,11678,153079
2018-12-18,12200,12320,12481,11558,76300
2018-12-19,12481,12320,12601,11638,51265
2018-12-20,12200,12039,12601,11678,61723
2018-12-21,12039,14929,15290,12039,405218
2018-12-24,15049,14046,16253,13564,350441
2018-12-26,15651,14287,16373,14006,310747
2018-12-27,14166,13404,14447,12681,182259
2018-12-28,13404,13604,13805,12962,71701
2019-01-02,13725,13845,13885,13203,46108
2019-01-03,13845,13765,15129,13364,90557
2019-01-04,13484,13725,14206,13364,57542
2019-01-07,13725,12762,14206,12681,122924
2019-01-08,12802,12722,13123,12280,78556
2019-01-09,12762,12842,12962,12481,40296
2019-01-10,13203,13805,14527,13163,217025
2019-01-11,13885,13323,14086,13043,78745
2019-01-14,13323,13484,13484,12601,51528
2019-01-15,13484,13123,13484,13043,25682
2019-01-16,13203,13203,13484,12962,23504
2019-01-17,13404,13002,13444,12882,41379
2019-01-18,12882,12240,12962,11919,139119
2019-01-21,12240,12400,12601,11558,109960
2019-01-22,12441,12481,12521,12079,45780
2019-01-23,12360,12882,13002,12120,66517
2019-01-24,13163,12882,13163,12521,48556
2019-01-25,13123,12762,13123,12601,44814
2019-01-28,12882,12681,12922,12521,39931
2019-01-29,12681,11879,12762,11638,114406
2019-01-30,11959,11678,12039,11598,78220
2019-01-31,11839,12120,12160,11638,45952
2019-02-01,11959,11437,12521,11317,97611
2019-02-07,11558,11116,11638,10956,85964
2019-02-08,11076,11156,11357,10876,67781
2019-02-11,11437,11357,11678,10795,126984
2019-02-12,11317,10033,11437,9672,229819
2019-02-13,10233,10715,11518,9952,355066
2019-02-14,10595,10755,11277,10394,98183
2019-02-15,10835,10434,10956,10314,58562
2019-02-18,10554,10554,10876,10033,49714
2019-02-19,10514,10274,10595,10073,62721
2019-02-20,10314,11036,11317,10274,144703
2019-02-21,11277,14006,14327,11277,1375144
2019-02-22,14407,14206,15009,13404,529368
2019-02-25,14247,13083,14848,12842,317607
2019-02-26,13163,13845,14206,12842,416104
2019-02-27,14487,13444,15571,13002,779947
2019-02-28,13444,12240,13444,12240,207600
2019-03-04,12641,13083,13364,12441,150197
2019-03-05,13083,12240,13083,11959,220928
2019-03-06,12400,12320,12802,11959,341478
2019-03-07,12280,11598,12320,11197,193248
2019-03-08,11598,11437,11718,10755,171683
2019-03-11,11518,11477,11919,11116,101088
2019-03-12,11558,11156,11919,10996,93579
2019-03-13,11197,10916,11437,10916,102589
2019-03-14,11076,11237,11598,10835,65580
2019-03-15,11397,10474,11397,10354,176402
2019-03-18,10675,10795,11718,10595,198341
2019-03-19,10916,10835,11076,10554,66635
2019-03-20,10956,10233,11116,10033,190886
2019-03-21,10274,10394,10635,10113,123261
2019-03-22,10434,10153,10514,9792,190575
2019-03-25,10193,10595,11357,10153,593568
2019-03-26,10514,10795,11317,10434,346790
2019-03-27,10715,10434,10916,10314,155600
2019-03-28,10434,9952,10514,9912,112377
2019-03-29,10033,10033,10274,9792,82822
2019-04-01,10314,10073,10916,9952,1085005
2019-04-02,10113,10314,10434,9993,243034
2019-04-03,10394,10996,11156,10153,827235
2019-04-04,10996,10876,11076,10715,213522
2019-04-05,10876,10554,11156,9952,336280
2019-04-08,10514,10314,10675,10274,139129
2019-04-09,10314,10354,10675,10193,181401
2019-04-10,10354,10434,10595,10153,148351
2019-04-11,10595,10595,10715,10434,155054
2019-04-12,10755,10233,10795,10233,343777
2019-04-15,10354,10996,11397,10193,1317297
2019-04-16,10835,10715,10876,10474,301241
2019-04-17,10755,10715,10956,10514,219275
2019-04-18,10755,10434,10835,10314,142675
2019-04-19,10514,10434,10554,10274,113239
2019-04-22,10474,10474,10715,10314,133825
2019-04-23,10474,10274,10554,10193,136714
2019-04-24,10354,10233,10354,10153,88505
2019-04-25,10193,10073,10274,10033,68305
2019-04-26,10033,9912,10113,9832,88769
2019-04-29,9912,9792,9952,9631,83432
2019-04-30,9872,9792,9993,9591,114600
2019-05-02,9752,9672,9832,9591,67557
2019-05-03,9672,9792,10073,9631,143235
2019-05-07,9672,9631,9712,9511,86270
2019-05-08,9591,9471,9712,9391,76682
2019-05-09,9351,8789,9471,8749,214000
2019-05-10,8829,8949,9270,8829,77998
2019-05-13,8949,8909,9351,8909,57278
2019-05-14,8668,8989,9070,8387,69083
2019-05-15,8869,9110,9270,8789,49675
2019-05-16,9150,9029,9310,8909,61165
2019-05-17,9150,8909,9230,8789,45211
2019-05-20,9070,8588,9070,8508,61938
2019-05-21,8989,8869,9230,8628,58323
2019-05-22,9029,8628,9029,8548,46321
2019-05-23,8708,8307,8708,8106,102467
2019-05-24,8307,7962,8468,7962,93524
2019-05-27,8147,7866,8147,7705,82828
2019-05-28,7874,7874,7994,7705,67727
2019-05-29,7906,7111,7906,6782,451555
2019-05-30,7111,6862,7818,6758,646637
2019-05-31,6742,6862,7031,6742,96561
2019-06-03,6862,5899,6903,5819,463484
2019-06-04,6012,6060,6212,5803,242333
2019-06-05,6172,6212,6301,6084,109806
2019-06-07,6204,6614,6702,6204,293688
2019-06-10,6501,6533,6726,6389,121570
2019-06-11,6533,6357,6581,6325,121922
2019-06-12,6325,6076,6397,6012,317523
2019-06-13,6108,5691,6148,5386,1119812
2019-06-14,5217,4711,5297,4455,2196793
2019-06-17,5859,6124,6124,5658,1546331
2019-06-18,6212,7954,7954,6212,6517540
2019-06-19,8347,7681,9270,7224,6475503
2019-06-20,7809,7360,8307,7063,1788225
2019-06-21,7360,7360,7360,7360,0
2019-06-24,7360,7360,7360,7360,0
2019-06-25,7360,7360,7360,7360,0
2019-06-26,7360,7360,7360,7360,0
2019-06-27,7360,7360,7360,7360,0
2019-06-28,7360,7360,7360,7360,0
2019-07-01,7360,7360,7360,7360,0
2019-07-02,7360,7360,7360,7360,0
2019-07-03,7360,7360,7360,7360,0
2019-07-04,7360,7360,7360,7360,0
2019-07-05,7360,7360,7360,7360,0
2019-07-08,7360,7360,7360,7360,0
2019-07-09,7360,7360,7360,7360,0
2019-07-10,7360,7360,7360,7360,0
2019-07-11,7360,7360,7360,7360,0
2019-07-12,7360,7360,7360,7360,0
2019-07-15,7360,7360,7360,7360,0
2019-07-16,7360,7360,7360,7360,0
2019-07-17,7360,7360,7360,7360,0
2019-07-18,7360,7360,7360,7360,0
2019-07-19,7360,7360,7360,7360,0
2019-07-22,7360,7360,7360,7360,0
2019-07-23,7360,7360,7360,7360,0
2019-07-24,7360,7360,7360,7360,0
2019-07-25,7360,7360,7360,7360,0
2019-07-26,7360,7360,7360,7360,0
2019-07-29,7360,7360,7360,7360,0
2019-07-30,7360,7360,7360,7360,0
2019-07-31,7360,7360,7360,7360,0
2019-08-01,7360,7360,7360,7360,0
2019-08-02,7360,7360,7360,7360,0
2019-08-05,7360,7360,7360,7360,0
2019-08-06,7360,7360,7360,7360,0
2019-08-07,7360,7360,7360,7360,0
2019-08-08,7360,7360,7360,7360,0
2019-08-09,7360,7360,7360,7360,0
2019-08-12,7360,7360,7360,7360,0
2019-08-13,7360,7360,7360,7360,0
2019-08-14,7360,7360,7360,7360,0
2019-08-16,7360,7360,7360,7360,0
2019-08-19,7360,7360,7360,7360,0
2019-08-20,7360,7360,7360,7360,0
2019-08-21,7360,7360,7360,7360,0
2019-08-22,7360,7360,7360,7360,0
2019-08-23,7360,7360,7360,7360,0
2019-08-26,7360,7360,7360,7360,0
2019-08-27,7360,7360,7360,7360,0
2019-08-28,7360,7360,7360,7360,0
2019-08-29,7360,7360,7360,7360,0
2019-08-30,7360,7360,7360,7360,0
2019-09-02,7360,7360,7360,7360,0
2019-09-03,7360,7360,7360,7360,0
2019-09-04,7360,7360,7360,7360,0
2019-09-05,7360,7360,7360,7360,0
2019-09-06,7360,7360,7360,7360,0
2019-09-09,7360,7360,7360,7360,0
