Date,Open,Close,High,Low,Volume
2018-11-26,29050,29200,29400,28550,31107
2018-11-27,29200,28250,29200,28000,56634
2018-11-28,28300,29100,29250,28300,36481
2018-11-29,29300,29750,30600,29050,52311
2018-11-30,29750,30500,30500,29000,40325
2018-12-03,30750,31050,31450,30450,50087
2018-12-04,30600,30300,31750,29900,48180
2018-12-05,29500,29700,30750,29500,42375
2018-12-06,29350,29650,30000,29250,50370
2018-12-07,30000,29700,30000,29250,32875
2018-12-10,29900,29250,29900,29150,39212
2018-12-11,29600,29000,29600,28850,34855
2018-12-12,29200,30650,30650,28850,51961
2018-12-13,30650,30200,31100,29350,215999
2018-12-14,30000,29100,30300,29100,51362
2018-12-17,29500,29800,30000,29100,38488
2018-12-18,29750,28250,29750,28150,39489
2018-12-19,28000,28100,28650,27600,37213
2018-12-20,27800,28500,28500,27100,49766
2018-12-21,28450,28050,28450,27350,19514
2018-12-24,27800,28350,28400,27800,27287
2018-12-26,28000,28600,28650,27550,43131
2018-12-27,29050,28600,29050,27900,29751
2018-12-28,28500,28750,28750,28200,22596
2019-01-02,29000,28300,29350,28300,36265
2019-01-03,28300,27800,28400,27250,35638
2019-01-04,27700,27000,27700,26200,41229
2019-01-07,27100,27500,27750,26700,37025
2019-01-08,27650,27400,28000,27150,23829
2019-01-09,27250,27950,28000,27250,32222
2019-01-10,27550,27400,27650,27150,30889
2019-01-11,27600,27700,27800,27250,18650
2019-01-14,28000,27100,28050,27050,30131
2019-01-15,27250,27300,27350,26850,27584
2019-01-16,27100,26900,27250,26800,51585
2019-01-17,26950,26900,27100,26700,24466
2019-01-18,26850,27000,27000,26450,57945
2019-01-21,27000,27400,27450,26650,36615
2019-01-22,27400,26700,27500,26600,46898
2019-01-23,26550,26700,27000,26550,25609
2019-01-24,26700,26600,27100,26500,47711
2019-01-25,26500,26500,26850,26400,54013
2019-01-28,26500,26900,27000,26500,44801
2019-01-29,26650,26700,27100,26400,41546
2019-01-30,26550,26500,26800,26400,32903
2019-01-31,26550,26300,26800,26300,33912
2019-02-01,26250,26300,26600,26250,20582
2019-02-07,26550,26500,26700,26300,31622
2019-02-08,26550,25500,26550,25400,70146
2019-02-11,25500,26250,26250,24850,58438
2019-02-12,26250,26600,26700,26000,50397
2019-02-13,26500,27900,28000,26400,117412
2019-02-14,28000,29150,29350,27500,196544
2019-02-15,28700,29950,30750,28700,178171
2019-02-18,29950,32900,32900,29800,282040
2019-02-19,33000,32150,33700,31750,94185
2019-02-20,32150,32100,33100,31850,70394
2019-02-21,32100,31150,32350,30800,62432
2019-02-22,30800,30750,31400,30450,50508
2019-02-25,31000,30750,31200,30200,55368
2019-02-26,32200,31750,32300,30950,103662
2019-02-27,31900,30850,31900,30150,81840
2019-02-28,31050,30650,32350,30650,106526
2019-03-04,31600,31950,32000,31150,42817
2019-03-05,31600,32500,32800,31150,63481
2019-03-06,32300,31850,32550,31400,43794
2019-03-07,31750,35200,35400,31200,303752
2019-03-08,34750,34350,35200,33600,159684
2019-03-11,34300,33700,34700,33250,76587
2019-03-12,34150,36000,36500,34150,197658
2019-03-13,35600,39300,39850,35100,391644
2019-03-14,38950,37000,40300,37000,230043
2019-03-15,37200,37200,37700,36100,134938
2019-03-18,37100,36400,37550,36100,116076
2019-03-19,36550,36150,37450,36050,63897
2019-03-20,36150,36200,36500,35450,81644
2019-03-21,36400,36100,36550,34950,64814
2019-03-22,36100,36550,36650,35450,74495
2019-03-25,36200,36550,37000,35850,73308
2019-03-26,36400,38150,39100,35700,114775
2019-03-27,38100,37750,39600,37500,103901
2019-03-28,37950,36850,38550,36700,72053
2019-03-29,37500,37850,38200,36700,51303
2019-04-01,38100,38800,39700,38100,114107
2019-04-02,38300,38950,39650,38250,75542
2019-04-03,38450,39250,39600,38450,56880
2019-04-04,38950,39350,40000,38950,76607
2019-04-05,39400,39350,40500,38800,54463
2019-04-08,39350,40000,40100,38850,90340
2019-04-09,40200,40950,41000,39700,90500
2019-04-10,40900,42100,42950,40900,190153
2019-04-11,42150,42150,43050,41650,90700
2019-04-12,41800,41250,42600,40700,68890
2019-04-15,41600,40350,41600,39500,117907
2019-04-16,39800,39300,40400,38900,106007
2019-04-17,39600,40100,40350,39450,85509
2019-04-18,39900,38250,40000,37800,136555
2019-04-19,38300,39650,40000,37950,78381
2019-04-22,40100,39600,40250,39200,44678
2019-04-23,40000,39950,40350,38400,126945
2019-04-24,40500,40550,41900,39950,174381
2019-04-25,40700,41700,42300,39850,121649
2019-04-26,41600,39650,41750,39250,116466
2019-04-29,39950,40050,40500,37500,41980
2019-04-30,40000,39400,40050,38600,75156
2019-05-02,39050,38200,39800,37700,131181
2019-05-03,38300,37750,38450,37700,60064
2019-05-07,37200,37300,38400,36850,121818
2019-05-08,37000,36350,37200,35950,149253
2019-05-09,36100,36250,36350,35900,125436
2019-05-10,36250,36300,37100,35500,132588
2019-05-13,36700,35550,37250,35550,84330
2019-05-14,35050,36100,36850,35000,85519
2019-05-15,36500,36800,37000,35600,81982
2019-05-16,36800,36750,37450,36150,62831
2019-05-17,36850,36800,37600,36550,47854
2019-05-20,37000,36800,37450,36750,51965
2019-05-21,37400,36700,37800,36000,59933
2019-05-22,36300,37200,37200,35850,75706
2019-05-23,37200,37000,37250,36400,42454
2019-05-24,37150,36250,37150,35700,78065
2019-05-27,36250,36100,36300,35650,43372
2019-05-28,35850,35000,36750,35000,75024
2019-05-29,35700,37000,37100,35550,99921
2019-05-30,36800,36250,37450,35700,51309
2019-05-31,36000,36350,36450,34750,91693
2019-06-03,36300,35100,36300,34850,62281
2019-06-04,35100,35350,35600,34850,43749
2019-06-05,35900,37850,38800,35500,159953
2019-06-07,38000,38700,39000,37450,80767
2019-06-10,38700,38950,39350,38500,43782
2019-06-11,39500,39000,39900,38850,52868
2019-06-12,39000,38800,39300,38350,25811
2019-06-13,38450,38750,39800,37850,124203
2019-06-14,39400,39250,39850,38600,78774
2019-06-17,39250,38850,39550,38750,31992
2019-06-18,39100,38500,39100,38300,21326
2019-06-19,39350,38100,39350,37950,33431
2019-06-20,37850,38900,39500,37750,51563
2019-06-21,38900,38200,39100,37800,42076
2019-06-24,38500,41400,41600,38100,202584
2019-06-25,41400,40900,41400,39500,109252
2019-06-26,41600,40600,42350,39950,71898
2019-06-27,40700,40300,41250,39850,55035
2019-06-28,40300,40700,41000,39900,35044
2019-07-01,41800,41400,42300,40350,51907
2019-07-02,41000,40550,41400,40100,51588
2019-07-03,40250,39800,40250,38850,90105
2019-07-04,39800,39700,40650,38900,87061
2019-07-05,39750,40250,41400,39700,94782
2019-07-08,40250,38000,40250,37750,83816
2019-07-09,38000,37900,38750,36900,85522
2019-07-10,37950,37150,38300,36800,65331
2019-07-11,37450,38600,39000,37150,63008
2019-07-12,38650,38500,39350,37800,40701
2019-07-15,38350,38650,38650,37550,35110
2019-07-16,38500,38600,39000,38200,28598
2019-07-17,38200,37700,38600,37500,34627
2019-07-18,37200,38350,39050,37200,49000
2019-07-19,38900,39450,39450,38400,34729
2019-07-22,39100,40050,40250,38500,67598
2019-07-23,42000,41150,42250,40500,268906
2019-07-24,41500,43050,43850,41500,458630
2019-07-25,43050,43000,44250,41500,278758
2019-07-26,43350,42700,43500,41600,126551
2019-07-29,42700,40900,42700,40500,69452
2019-07-30,40600,41750,41800,40550,78141
2019-07-31,41750,40750,42500,39800,72305
2019-08-01,40500,39950,41200,39650,43164
2019-08-02,39850,39500,40400,38900,49026
2019-08-05,39900,38850,40700,37750,110658
2019-08-06,38450,38100,39650,38000,133945
2019-08-07,39450,39150,39450,38500,87530
2019-08-08,39400,39250,39550,38500,70835
2019-08-09,39650,39800,40300,38450,92201
2019-08-12,40500,40000,40500,38600,97264
2019-08-13,39450,39750,40000,39000,88574
2019-08-14,40400,40300,41300,39100,98341
2019-08-16,40000,40050,40600,39300,93611
2019-08-19,40650,40300,40650,39900,68171
2019-08-20,40600,42250,42450,40300,134411
2019-08-21,42050,43500,43600,41800,120412
2019-08-22,43900,43400,43900,42600,169563
2019-08-23,42500,44000,44000,42500,86676
2019-08-26,42800,41950,43300,41500,93309
2019-08-27,42050,42200,42750,40850,101815
2019-08-28,42600,42900,42900,41500,55117
2019-08-29,42550,43500,43700,41800,86992
2019-08-30,44000,44000,44250,43400,110634
2019-09-02,45850,44550,45950,43150,154286
2019-09-03,44650,43800,44800,43550,44884
2019-09-04,43450,44250,44400,43450,45562
2019-09-05,44000,43800,44750,43800,54453
2019-09-06,44650,44100,44750,44050,44877
2019-09-09,44500,43150,45000,42900,51796
2019-09-10,43550,42850,43550,42450,31657
2019-09-11,43200,43000,43500,42600,40298
2019-09-16,43400,43500,43900,42600,32520
2019-09-17,43250,42800,43800,42400,39888
2019-09-18,43300,43150,44500,43050,53441
2019-09-19,43200,42850,44000,42450,32833
2019-09-20,43250,43200,43450,42400,31486
2019-09-23,42850,42100,43250,41750,53211
2019-09-24,42550,41850,43000,41850,39669
2019-09-25,41950,41000,42200,39950,109095
2019-09-26,41000,41250,41550,40500,30262
2019-09-27,41100,40500,41100,39900,42004
2019-09-30,40050,39950,40750,39450,39380
2019-10-01,40050,41300,41300,39600,60573
2019-10-02,40950,40000,41000,40000,32030
2019-10-04,40000,40450,41000,39450,32770
2019-10-07,40500,41550,41900,40100,57990
2019-10-08,41550,42350,42450,41000,78469
2019-10-10,41700,41850,42650,41500,48309
2019-10-11,42050,42250,43650,42050,81217
2019-10-14,42250,43000,43300,42050,62916
2019-10-15,43450,43050,43450,42600,24203
2019-10-16,43200,43650,44000,43000,149766
2019-10-17,43800,43350,43800,42350,114534
2019-10-18,43500,43350,44000,43150,62110
2019-10-21,43800,42950,43800,42600,38670
2019-10-22,43000,42700,43500,41600,73507
2019-10-23,42600,43400,44350,42450,112071
2019-10-24,43700,42950,43700,41800,59685
2019-10-25,43000,42700,43500,42650,32147
2019-10-28,42700,42450,43150,42300,34559
2019-10-29,42750,41850,42750,41850,36857
2019-10-30,41900,41700,42000,41100,39544
2019-10-31,41500,42000,42850,41500,34601
2019-11-01,41950,42400,42500,41400,24501
2019-11-04,42400,42300,42400,41850,23832
