Date,Open,Close,High,Low,Volume
2018-11-26,3715,3795,3830,3700,47489
2018-11-27,3795,3890,3980,3795,118003
2018-11-28,3890,3870,4000,3830,106281
2018-11-29,3840,3895,3925,3840,60466
2018-11-30,3905,3855,3945,3855,57507
2018-12-03,3900,3945,4020,3850,114657
2018-12-04,3945,4005,4005,3890,110279
2018-12-05,3950,3900,3975,3880,79220
2018-12-06,3935,3700,3935,3685,80267
2018-12-07,3720,3680,3765,3680,47467
2018-12-10,3630,3585,3655,3485,84846
2018-12-11,3630,3550,3630,3420,44415
2018-12-12,3480,3720,3720,3480,65484
2018-12-13,3730,3740,3755,3680,60842
2018-12-14,3785,3645,3785,3605,48964
2018-12-17,3645,3570,3660,3500,83607
2018-12-18,3500,3900,3955,3480,507987
2018-12-19,3945,3830,3950,3780,216866
2018-12-20,3895,4340,4890,3760,5020866
2018-12-21,4280,4350,4460,4180,1374489
2018-12-24,4405,4025,4495,4025,1103561
2018-12-26,3915,3870,4025,3860,338212
2018-12-27,3935,3910,4120,3890,514879
2018-12-28,3870,4000,4090,3865,219364
2019-01-02,4095,4010,4110,3995,203117
2019-01-03,4050,4040,4195,4025,340634
2019-01-04,4040,4115,4130,3910,177963
2019-01-07,4120,4140,4200,4030,208302
2019-01-08,4145,4140,4365,4140,823141
2019-01-09,4145,4190,4275,4140,229310
2019-01-10,4255,4265,4475,4220,1329059
2019-01-11,4240,4170,4345,4140,289164
2019-01-14,4150,4150,4245,4105,160173
2019-01-15,4155,4230,4360,4155,344068
2019-01-16,4235,4325,4350,4155,298321
2019-01-17,4360,4240,4375,4195,189290
2019-01-18,4365,4325,4490,4255,308361
2019-01-21,4445,4445,4450,4300,550348
2019-01-22,4610,4530,5150,4520,4992566
2019-01-23,4500,4570,4780,4410,827345
2019-01-24,4600,4830,4875,4545,1294192
2019-01-25,4825,4755,4825,4700,469425
2019-01-28,4755,4660,4895,4655,662320
2019-01-29,4675,4650,4695,4530,232687
2019-01-30,4650,4570,4740,4540,258812
2019-01-31,4610,4500,4615,4480,218552
2019-02-01,4540,4370,4550,4350,257531
2019-02-07,4415,4460,4460,4315,157051
2019-02-08,4400,4470,4550,4400,157520
2019-02-11,4505,4465,4505,4425,97993
2019-02-12,4465,4445,4480,4410,98940
2019-02-13,4480,4575,4740,4480,657779
2019-02-14,4600,4650,4665,4550,184109
2019-02-15,4630,4625,4720,4555,394887
2019-02-18,4655,4680,4700,4605,186867
2019-02-19,4690,4580,4725,4575,185261
