Date,Open,Close,High,Low,Volume
2018-11-26,3175,3210,3230,3155,40642
2018-11-27,3210,3220,3290,3180,7399
2018-11-28,3230,3235,3285,3200,11721
2018-11-29,3275,3215,3275,3145,22356
2018-11-30,3270,3260,3270,3135,34964
2018-12-03,3230,3270,3285,3230,11261
2018-12-04,3245,3270,3280,3245,11440
2018-12-05,3290,3375,3450,3240,46978
2018-12-06,3455,3250,3455,3250,35541
2018-12-07,3345,3270,3345,3230,23395
2018-12-10,3300,3330,3355,3270,45834
2018-12-11,3305,3325,3385,3250,26553
2018-12-12,3365,3905,4255,3365,3024047
2018-12-13,3905,3800,3905,3750,597892
2018-12-14,3780,3925,3930,3765,506538
2018-12-17,3985,3920,3985,3825,412974
2018-12-18,3925,4040,4100,3800,688957
2018-12-19,4160,4050,4550,4050,1537125
2018-12-20,4010,3965,4125,3875,214643
2018-12-21,3965,4015,4170,3870,284060
2018-12-24,4015,3975,4270,3950,164064
2018-12-26,3980,3940,4000,3805,203425
2018-12-27,4090,3855,4095,3845,82799
2018-12-28,3890,4025,4025,3845,154846
2019-01-02,4075,4170,4220,3980,349851
2019-01-03,4270,4040,4285,4000,204759
2019-01-04,3995,3980,4030,3935,92771
2019-01-07,4000,3860,4000,3805,197791
2019-01-08,3855,3775,3865,3750,101574
2019-01-09,3835,3800,3850,3760,68917
2019-01-10,3815,4310,4740,3810,3452573
2019-01-11,4285,4300,4380,4205,613252
2019-01-14,4305,4395,4400,4250,410617
2019-01-15,4445,4430,4470,4320,325999
2019-01-16,4460,4605,4605,4400,602174
2019-01-17,4720,4625,4895,4490,892283
2019-01-18,4650,5080,5290,4645,1990674
2019-01-21,5110,6000,6100,4980,3360198
2019-01-22,6170,5650,6500,5540,1255596
2019-01-23,5550,5750,5940,5480,751344
2019-01-24,5660,5580,5820,5550,519736
2019-01-25,5450,5450,5720,5360,869367
2019-01-28,5600,5490,5670,5450,390736
2019-01-29,5550,5990,6230,5450,2718146
2019-01-30,6080,5740,6120,5730,877383
2019-01-31,5660,5480,5750,5460,415414
2019-02-01,5330,5220,5470,5090,651875
2019-02-07,5220,5150,5330,5140,291080
2019-02-08,5200,5140,5300,5130,249623
2019-02-11,5150,5020,5240,4960,414648
2019-02-12,5130,4975,5150,4965,293283
2019-02-13,4995,4965,5030,4850,183258
2019-02-14,4965,4765,5090,4700,344710
2019-02-15,4810,4810,4810,4630,178013
2019-02-18,4845,4760,4895,4745,113447
2019-02-19,4760,4860,4980,4710,279945
2019-02-20,4845,4795,4960,4760,171053
2019-02-21,4795,4700,4835,4655,158515
2019-02-22,4680,4630,4695,4525,209058
2019-02-25,4660,6010,6010,4630,7203879
2019-02-26,6240,6060,6280,5790,6172005
2019-02-27,6010,6270,6290,5910,2393913
2019-02-28,6070,5600,6120,5500,1681821
2019-03-04,5600,5670,5730,5450,1570418
2019-03-05,6170,5840,6780,5800,7259919
2019-03-06,5990,6100,6160,5910,2343498
2019-03-07,6010,5700,6050,5590,863631
2019-03-08,5710,5800,6390,5650,2901275
2019-03-11,5740,5550,5850,5530,647689
2019-03-12,5550,5450,5640,5410,475765
2019-03-13,5450,5050,5510,5000,842201
2019-03-14,5050,5120,5170,4995,375566
2019-03-15,5120,4960,5130,4910,406420
2019-03-18,4965,5190,5200,4945,394512
2019-03-19,5190,5180,5240,5090,200223
2019-03-20,5260,5860,6420,5220,7779868
2019-03-21,5750,5550,5800,5490,1204418
2019-03-22,5690,5720,6300,5660,4828860
2019-03-25,5680,6930,7220,5600,16035223
2019-03-26,6980,7370,8100,6770,14723364
2019-03-27,7350,7400,7590,7260,3267175
2019-03-28,7620,7020,8140,6940,6743538
2019-03-29,7040,7710,7710,6870,2991594
2019-04-01,7730,7730,7930,7460,2793904
2019-04-02,7760,7420,7810,7390,1323912
2019-04-03,7450,7340,7620,7200,1424091
2019-04-04,7440,7710,8400,7420,8975132
2019-04-05,7750,7410,7760,7390,1306609
2019-04-08,7460,7130,7510,7070,1578834
2019-04-09,7110,7120,7220,6930,1168558
2019-04-10,7130,7000,7140,6940,611830
2019-04-11,7030,7060,7330,6970,1539576
2019-04-12,7080,7060,7210,6960,745268
2019-04-15,7060,7090,7250,7060,965729
2019-04-16,7200,6710,7250,6680,1182720
2019-04-17,6750,6660,6760,6550,484106
2019-04-18,6710,6500,6750,6500,397229
2019-04-19,6510,6680,6760,6510,361189
2019-04-22,6860,6920,7540,6800,3644897
2019-04-23,6960,6800,6970,6710,506363
2019-04-24,6800,6560,6900,6530,529842
2019-04-25,6530,6330,6600,6260,449546
2019-04-26,6250,6450,6450,6060,378461
2019-04-29,6970,6500,7300,6470,925194
2019-04-30,6550,6320,6560,6300,337379
2019-05-02,6320,6510,6510,6270,293545
2019-05-03,6450,6350,6500,6340,221396
2019-05-07,6200,6150,6240,6120,220654
2019-05-08,6100,6280,6280,6000,269193
2019-05-09,6260,5800,6300,5740,440540
2019-05-10,5730,5820,6300,5730,780637
2019-05-13,5770,5690,5950,5690,195691
2019-05-14,5600,5880,6050,5500,487974
2019-05-15,5990,6080,6110,5870,213931
2019-05-16,6230,5800,6230,5770,287626
2019-05-17,5850,5760,6010,5760,205221
2019-05-20,5760,5640,5830,5600,204037
2019-05-21,5550,5680,5770,5550,146001
2019-05-22,5710,5720,5850,5670,198502
2019-05-23,5740,5400,5750,5400,198068
2019-05-24,5250,5340,5380,5190,317665
2019-05-27,5340,5390,5510,5300,164503
2019-05-28,5410,5680,5950,5400,542946
2019-05-29,5620,5600,5830,5570,289294
2019-05-30,5650,5620,5740,5540,151615
2019-05-31,5630,5590,5660,5500,130934
2019-06-03,5540,5600,5760,5540,171026
2019-06-04,5610,5820,5840,5570,207723
2019-06-05,6010,5770,6030,5750,339224
2019-06-07,5980,5870,6150,5860,839934
2019-06-10,5930,5890,5940,5840,189671
2019-06-11,5910,6010,6010,5850,190825
2019-06-12,5990,5800,6010,5750,234564
2019-06-13,5820,5800,5910,5760,141071
2019-06-14,5800,5480,5860,5450,344859
2019-06-17,5580,6110,6240,5570,2975710
2019-06-18,6110,5930,6110,5810,671634
2019-06-19,5980,5800,6130,5800,500495
2019-06-20,5780,5990,6080,5780,620207
2019-06-21,5990,5860,6050,5860,250650
2019-06-24,5920,5670,5920,5670,276741
2019-06-25,5650,5760,5980,5510,822133
2019-06-26,5840,5710,5930,5670,227216
2019-06-27,5780,6720,7270,5780,16139321
2019-06-28,6730,6790,6840,6460,3025362
2019-07-01,6570,6190,6640,5930,1433323
2019-07-02,6030,6390,6480,6030,2003423
2019-07-03,6360,6200,6530,6200,1072017
2019-07-04,6280,6200,6310,6070,423340
2019-07-05,6220,6360,6530,6180,1197912
2019-07-08,6300,6010,6370,5980,666396
2019-07-09,6060,6030,6500,5990,1580643
2019-07-10,5960,5860,6190,5840,595240
2019-07-11,5910,5910,5960,5840,356055
2019-07-12,5910,6040,6110,5890,456427
2019-07-15,6100,6050,6250,6000,746887
2019-07-16,6130,5960,6200,5910,475539
2019-07-17,5990,5600,6020,5600,597243
2019-07-18,5600,5800,6420,5440,4552686
2019-07-19,5760,5700,5870,5670,505098
2019-07-22,5660,5660,5840,5640,313587
2019-07-23,5630,5590,5790,5590,247154
2019-07-24,5610,5320,5660,5310,360067
2019-07-25,5330,5220,5390,5100,315911
2019-07-26,5150,5090,5240,5050,291565
2019-07-29,5100,4730,5120,4695,315687
2019-07-30,4615,4835,4935,4615,238900
2019-07-31,4770,5120,5140,4615,529662
2019-08-01,5020,4880,5080,4865,371213
2019-08-02,4695,4890,5160,4685,331071
2019-08-05,4860,4215,4875,4215,399736
2019-08-06,4010,4185,4470,3935,691357
2019-08-07,4185,4375,4435,4185,294533
2019-08-08,4435,4510,4575,4410,179080
2019-08-09,4525,4555,4680,4500,194327
2019-08-12,4520,4720,4940,4495,571675
2019-08-13,4710,4730,4820,4645,197214
2019-08-14,4820,4725,4850,4725,136438
2019-08-16,4700,4745,4810,4675,102682
2019-08-19,4805,4870,4885,4770,184335
2019-08-20,4900,4940,4960,4850,114023
2019-08-21,4985,4900,4995,4800,204033
2019-08-22,4920,4815,4995,4815,128024
2019-08-23,4760,4790,4865,4750,71539
2019-08-26,4600,4560,4700,4535,121997
2019-08-27,4595,4615,4710,4595,50749
2019-08-28,4750,4725,5220,4725,1060712
2019-08-29,4725,4610,4800,4580,155722
2019-08-30,4610,4820,4845,4610,269374
2019-09-02,4830,4910,4950,4790,178660
2019-09-03,4990,4940,4990,4865,138222
2019-09-04,5100,4975,5100,4925,252329
2019-09-05,5020,4990,5120,4960,197173
2019-09-06,5010,5070,5110,4970,226789
2019-09-09,5400,5270,6150,5180,8628600
2019-09-10,5250,5080,5330,5060,906584
2019-09-11,5080,5040,5190,5010,438221
2019-09-16,5120,5360,5420,5050,997610
2019-09-17,5320,5390,5450,5250,557311
2019-09-18,5350,5220,5400,5220,305211
2019-09-19,5320,5400,5480,5260,627260
2019-09-20,5430,5380,5440,5240,445293
2019-09-23,5380,5290,5400,5250,241871
2019-09-24,5250,5510,5540,5250,1129088
2019-09-25,5430,5270,5470,5220,432163
2019-09-26,5370,5140,5400,4995,335531
2019-09-27,5090,5100,5200,4875,159815
2019-09-30,5100,5170,5180,4995,167092
2019-10-01,5120,5040,5190,4990,313133
2019-10-02,5040,5050,5110,4970,148013
2019-10-04,4995,4970,5050,4910,135053
2019-10-07,4970,4955,5030,4915,126649
2019-10-08,4920,5030,5070,4900,114256
2019-10-10,4990,5040,5060,4980,96807
2019-10-11,5090,5120,5150,4995,150612
2019-10-14,5120,5130,5170,5090,141963
2019-10-15,5140,5450,5450,5090,924704
2019-10-16,5420,5280,5420,5220,509456
2019-10-17,5260,5280,5370,5200,275950
2019-10-18,5260,5260,5310,5230,145780
2019-10-21,5420,5230,5680,5230,1162905
2019-10-22,5250,5220,5310,5180,246686
2019-10-23,5220,5190,5260,5010,485717
2019-10-24,5150,5170,5220,5110,206619
2019-10-25,5160,5030,5190,5010,190842
2019-10-28,5010,5070,5140,5010,137654
