Date,Open,Close,High,Low,Volume
2020-08-12,17600,13650,18900,13400,6132668
2020-08-13,13800,13200,13950,12850,831997
2020-08-14,13150,12900,13300,12900,390237
2020-08-18,12850,12300,13250,12150,416920
2020-08-19,12500,13200,13700,12200,1219652
2020-08-20,13100,12300,13250,12050,362218
2020-08-21,12550,12100,12800,12100,270774
2020-08-24,12500,12650,13100,12150,418935
2020-08-25,12700,12750,13100,12500,309977
2020-08-26,12800,13600,14450,12650,1922326
2020-08-27,13750,17650,17650,13450,8280455
2020-08-28,16650,16250,19200,15850,8837508
2020-08-31,15900,16000,16850,15350,1395189
2020-09-01,16700,16450,18100,15650,2865696
2020-09-02,16750,18100,18300,16450,3955358
2020-09-03,17250,16900,17850,16650,1420893
2020-09-04,16150,17450,19450,16150,3154326
2020-09-07,17450,18050,18150,17000,887480
2020-09-08,18100,18700,21900,17900,5698080
2020-09-09,18250,17750,18250,17450,698280
2020-09-10,18000,16900,18300,16900,593873
2020-09-11,16800,17150,17500,16650,336449
2020-09-14,16950,16700,17600,16700,310371
2020-09-15,16700,16600,16900,16400,214437
2020-09-16,16550,16600,16800,16350,233903
2020-09-17,17200,15850,17200,15850,518226
2020-09-18,15800,15200,15800,14900,292111
2020-09-21,15350,14250,15400,14100,251686
2020-09-22,14100,14000,14800,13950,206305
2020-09-23,14350,14750,14750,13800,174089
2020-09-24,14350,15050,15250,14250,239446
2020-09-25,15050,14500,15350,14500,135184
2020-09-28,14400,14300,14700,14050,82679
2020-09-29,14700,14400,14850,14350,73992
2020-10-05,14450,14500,14600,14300,53195
2020-10-06,14700,14850,15250,14500,117097
2020-10-07,14700,14900,15000,14600,38139
2020-10-08,14900,14700,15100,14600,53919
2020-10-12,14750,14350,14850,14200,61819
2020-10-13,14500,14500,14600,14350,59583
2020-10-14,14500,14650,15000,14500,89391
2020-10-15,14700,14250,14950,14150,67913
2020-10-16,14150,13650,14350,13500,91648
2020-10-19,13650,13200,13900,13200,51498
2020-10-20,13000,13050,13300,12800,73225
2020-10-21,13150,13200,13450,13050,36349
2020-10-22,13500,13450,14250,13400,97157
2020-10-23,13500,13500,13850,13450,50569
2020-10-26,13500,13450,13850,13250,34602
2020-10-27,13450,13200,13550,13000,42214
2020-10-28,13450,13800,14150,13450,59169
2020-10-29,13600,13700,14100,13200,101502
2020-10-30,13700,13350,13800,13250,50259
2020-11-02,13350,13350,13500,13250,32589
2020-11-03,13400,13700,13850,13350,53549
2020-11-04,13850,13650,13900,13550,42765
2020-11-05,13800,15200,15750,13650,446784
2020-11-06,15400,15200,15500,14650,201506
2020-11-09,15100,15250,15400,14850,149641
2020-11-10,14950,14500,14950,14200,116048
2020-11-11,14550,14350,14550,14000,56776
2020-11-12,14550,14550,14900,14300,52724
2020-11-13,14500,15050,15300,14350,259213
2020-11-16,15200,14950,15400,14750,165217
2020-11-17,14750,14400,14900,14200,107217
2020-11-18,14600,14650,14700,14250,100389
2020-11-19,14850,15100,15300,14750,210163
2020-11-20,15000,16000,16200,14800,767507
2020-11-23,16250,15550,16300,15300,299101
2020-11-24,15500,15150,15500,14900,153992
2020-11-25,15150,14650,15150,14600,125975
2020-11-26,14950,15400,15550,14650,374736
2020-11-27,15300,15000,15500,14950,139425
2020-11-30,15150,14500,15150,14450,129353
2020-12-01,14500,14400,14650,14300,73790
2020-12-02,14500,14450,14550,14250,57712
2020-12-03,14400,14150,14400,13850,130526
2020-12-04,14200,14250,14650,13800,175621
2020-12-07,14300,14200,14450,14000,81634
2020-12-08,14300,13900,14300,13900,57811
2020-12-09,13900,14000,14150,13900,51484
2020-12-10,14000,13900,14100,13900,51503
2020-12-11,13950,13950,14050,13800,70198
2020-12-14,14350,14650,15100,14200,476463
2020-12-15,14600,14300,14650,14150,111836
2020-12-16,14300,15050,15450,14150,646049
2020-12-17,15000,14900,16900,14550,2101214
2020-12-18,15000,14700,15100,14600,228561
2020-12-21,14700,15250,15300,14400,201573
2020-12-22,15050,14300,15250,14300,137865
2020-12-23,14400,13900,14700,13800,118896
2020-12-24,14000,14000,14200,13800,52505
2020-12-28,14000,13750,14000,13700,69607
2020-12-29,13900,14000,14050,13700,51830
2020-12-30,13900,14150,14400,13800,78588
2021-01-04,14250,14100,14250,13900,57359
