Date,Open,Close,High,Low,Volume
2018-11-26,3220,3240,3285,3210,21661
2018-11-27,3220,3200,3270,3105,32285
2018-11-28,3185,3230,3275,3170,27796
2018-11-29,3215,3215,3270,3200,26955
2018-11-30,3195,3220,3260,3180,24712
2018-12-03,3280,3290,3290,3185,113994
2018-12-04,3300,3345,3680,3300,1382839
2018-12-05,3290,3225,3345,3210,175688
2018-12-06,3255,3130,3255,3035,265823
2018-12-07,3200,3125,3225,3105,154736
2018-12-10,3075,3100,3190,3075,66587
2018-12-11,3100,3110,3140,3010,76573
2018-12-12,3080,3150,3180,3080,58413
2018-12-13,3175,3275,3275,3145,149236
2018-12-14,3280,3165,3280,3140,106407
2018-12-17,3180,3060,3180,3035,57851
2018-12-18,3040,3070,3150,3015,31753
2018-12-19,3065,3060,3150,3060,79852
2018-12-20,3045,3075,3130,3025,91404
2018-12-21,3075,3100,3180,3070,72010
2018-12-24,3100,3090,3150,3065,77009
2018-12-26,3050,3030,3050,3005,74082
2018-12-27,3110,3070,3165,3045,68496
2018-12-28,3050,3095,3145,3050,99219
2019-01-02,3065,2935,3110,2925,95147
2019-01-03,2955,2890,2960,2830,43557
2019-01-04,2890,2920,2935,2835,20298
2019-01-07,2940,2990,3010,2940,39562
2019-01-08,2985,3000,3035,2965,135240
2019-01-09,3000,3010,3040,2970,60349
2019-01-10,3005,3060,3090,2985,34258
2019-01-11,3065,3045,3095,3035,31283
2019-01-14,3005,2975,3070,2975,19797
2019-01-15,2975,2985,3100,2960,30135
2019-01-16,2995,2985,3015,2975,32198
2019-01-17,3000,2990,3040,2970,32002
2019-01-18,2995,3010,3020,2975,83916
2019-01-21,3040,3020,3060,3000,30359
2019-01-22,3030,3000,3040,2975,53397
2019-01-23,3000,3000,3010,2975,38421
2019-01-24,3000,3005,3015,2985,55772
2019-01-25,3010,3020,3040,2980,68370
2019-01-28,3030,3000,3060,2995,43854
2019-01-29,2990,3015,3050,2990,78937
2019-01-30,3045,3005,3045,3000,26655
2019-01-31,2935,2995,3020,2935,38142
2019-02-01,3040,2995,3040,2995,20377
2019-02-07,3030,2990,3030,2940,44088
2019-02-08,2975,3015,3090,2975,37765
2019-02-11,3020,3035,3080,3000,54215
2019-02-12,3050,3045,3050,2990,44520
2019-02-13,3070,3035,3075,3015,48914
2019-02-14,3035,3075,3085,3025,105187
2019-02-15,3080,3035,3085,3025,53979
2019-02-18,3050,3085,3100,3045,103886
2019-02-19,3110,3090,3125,3075,69254
2019-02-20,3100,3165,3190,3090,223791
