Date,Open,Close,High,Low,Volume
2018-11-26,3320,3200,3350,3180,46331
2018-11-27,3075,3100,3280,3075,17128
2018-11-28,3060,3005,3100,2895,103612
2018-11-29,3150,2930,3190,2930,18980
2018-11-30,2940,2800,3090,2740,60784
2018-12-03,2800,2790,2890,2750,45023
2018-12-04,2790,2825,3150,2790,116770
2018-12-05,2825,2855,2980,2800,30970
2018-12-06,2940,2865,2940,2830,20356
2018-12-07,2820,2865,2880,2795,13816
2018-12-10,2825,2750,2950,2690,56307
2018-12-11,2780,2610,2780,2610,24214
2018-12-12,2610,2615,2750,2610,18243
2018-12-13,2615,2600,2645,2580,8410
2018-12-14,2605,2635,2700,2575,16314
2018-12-17,2690,2585,2690,2505,49244
2018-12-18,2585,2545,2585,2500,9696
2018-12-19,2545,2605,2670,2500,9336
2018-12-20,2605,2550,2730,2485,39998
2018-12-21,2525,2630,2630,2410,28203
2018-12-24,2595,2540,2630,2505,15478
2018-12-26,2510,2430,2510,2400,30790
2018-12-27,2430,2600,2640,2375,9669
2018-12-28,2600,2640,2640,2565,10310
2019-01-02,2640,2530,2690,2525,15632
2019-01-03,2535,2520,2700,2515,21934
2019-01-04,2550,2575,2595,2500,15438
2019-01-07,2590,2600,2640,2565,6100
2019-01-08,2600,2600,2675,2550,16225
2019-01-09,2600,2550,2675,2550,4161
2019-01-10,2535,2580,2590,2535,8669
2019-01-11,2580,2600,2655,2565,7031
2019-01-14,2600,2610,2675,2565,6537
2019-01-15,2610,2615,2850,2580,22710
2019-01-16,2615,2625,2695,2600,22496
2019-01-17,2625,2645,2675,2625,10397
2019-01-18,2650,2655,2670,2590,36743
2019-01-21,2655,2725,2775,2645,23001
2019-01-22,2725,2720,2795,2645,7730
2019-01-23,2690,2735,2790,2620,9563
2019-01-24,2730,2790,2805,2710,11830
2019-01-25,2810,2760,2830,2715,7594
2019-01-28,2760,2850,2935,2760,37486
2019-01-29,2815,2970,3095,2810,99745
2019-01-30,2970,2975,3080,2915,17516
2019-01-31,2975,2920,3000,2895,24517
2019-02-01,2920,2900,2985,2880,17230
2019-02-07,2900,2980,3060,2900,16199
2019-02-08,2940,2915,2970,2855,10179
2019-02-11,2915,2920,3085,2905,12851
2019-02-12,2920,2875,3030,2870,10723
2019-02-13,2875,2825,2960,2820,32207
2019-02-14,2820,2830,2880,2725,20741
2019-02-15,2790,2825,2855,2765,6926
2019-02-18,2785,2760,2840,2675,73388
2019-02-19,2760,2815,2830,2735,6319
2019-02-20,2815,2815,2870,2775,9341
2019-02-21,2795,2880,2920,2715,20576
