Date,Open,Close,High,Low,Volume
2018-11-26,1540,1530,1555,1500,270947
2018-11-27,1545,1580,1585,1500,173126
2018-11-28,1580,1560,1620,1520,341626
2018-11-29,1560,1525,1580,1515,215175
2018-11-30,1515,1485,1525,1455,251808
2018-12-03,1535,1420,1535,1405,475564
2018-12-04,1435,1420,1450,1375,292838
2018-12-05,1410,1415,1450,1390,101918
2018-12-06,1400,1325,1425,1320,351042
2018-12-07,1365,1355,1365,1330,107651
2018-12-10,1305,1335,1355,1300,120709
2018-12-11,1340,1320,1345,1300,74428
2018-12-12,1300,1335,1345,1290,158046
2018-12-13,1355,1350,1360,1310,125431
2018-12-14,1350,1325,1350,1310,74668
2018-12-17,1325,1325,1325,1290,95886
2018-12-18,1300,1310,1315,1290,107282
2018-12-19,1310,1300,1320,1270,178695
2018-12-20,1290,1295,1295,1275,78559
2018-12-21,1290,1295,1305,1270,90298
2018-12-24,1290,1280,1290,1255,105796
2018-12-26,1280,1220,1280,1200,158969
2018-12-27,1265,1225,1265,1215,44197
2018-12-28,1225,1275,1290,1225,117915
2019-01-02,1270,1305,1310,1260,131930
2019-01-03,1305,1265,1320,1245,120388
2019-01-04,1255,1260,1265,1215,63873
2019-01-07,1280,1270,1295,1240,74382
2019-01-08,1270,1300,1305,1255,69179
2019-01-09,1300,1310,1310,1280,61388
2019-01-10,1310,1300,1320,1280,71031
2019-01-11,1310,1280,1320,1275,89855
2019-01-14,1280,1295,1310,1280,126911
2019-01-15,1300,1335,1335,1290,164162
2019-01-16,1345,1440,1450,1330,854522
2019-01-17,1445,1395,1445,1360,193697
2019-01-18,1390,1385,1390,1350,163438
2019-01-21,1385,1385,1390,1350,105826
2019-01-22,1395,1405,1405,1375,107602
2019-01-23,1400,1400,1410,1380,120544
2019-01-24,1405,1400,1405,1375,134299
2019-01-25,1405,1440,1445,1380,251208
2019-01-28,1485,1380,1485,1350,357126
2019-01-29,1360,1365,1385,1340,148049
2019-01-30,1365,1355,1375,1345,104611
2019-01-31,1350,1360,1370,1310,130216
2019-02-01,1360,1360,1400,1320,143623
2019-02-07,1390,1340,1395,1335,145845
2019-02-08,1340,1325,1350,1320,108612
2019-02-11,1330,1385,1455,1315,802356
2019-02-12,1415,1390,1425,1385,200117
2019-02-13,1390,1400,1420,1390,156880
2019-02-14,1405,1460,1470,1375,482340
2019-02-15,1460,1435,1480,1350,293591
2019-02-18,1435,1440,1470,1420,197135
2019-02-19,1480,1470,1480,1440,226256
2019-02-20,1485,1445,1485,1435,157473
2019-02-21,1455,1500,1590,1430,837552
2019-02-22,1490,1475,1530,1420,503477
2019-02-25,1475,1475,1490,1420,332977
2019-02-26,1490,1420,1490,1420,203287
2019-02-27,1430,1415,1460,1395,191320
2019-02-28,1400,1410,1430,1375,190698
2019-03-04,1415,1415,1450,1400,254501
2019-03-05,1425,1410,1425,1380,152600
2019-03-06,1425,1475,1510,1400,973153
2019-03-07,1450,1445,1490,1420,310877
2019-03-08,1410,1410,1435,1390,188639
2019-03-11,1405,1380,1425,1375,149245
2019-03-12,1380,1405,1415,1350,175838
2019-03-13,1380,1415,1450,1380,223710
2019-03-14,1415,1435,1450,1395,283932
2019-03-15,1425,1395,1440,1380,232482
2019-03-18,1380,1390,1410,1380,153847
2019-03-19,1405,1400,1405,1380,109721
2019-03-20,1400,1400,1405,1375,133473
2019-03-21,1400,1380,1410,1380,190233
2019-03-22,1390,1345,1395,1305,372965
2019-03-25,1340,1265,1345,1255,520796
2019-03-26,1290,1310,1330,1285,206167
2019-03-27,1310,1310,1325,1285,100002
2019-03-28,1310,1295,1395,1240,220047
2019-03-29,1295,1310,1310,1280,110392
2019-04-01,1310,1345,1360,1280,176386
2019-04-02,1345,1355,1365,1320,121813
2019-04-03,1370,1360,1370,1340,128539
2019-04-04,1410,1350,1410,1340,168363
2019-04-05,1350,1390,1390,1340,200976
2019-04-08,1420,1465,1480,1390,886391
2019-04-09,1470,1450,1475,1425,201358
2019-04-10,1445,1500,1505,1400,823356
2019-04-11,1510,1505,1515,1485,269335
2019-04-12,1500,1550,1550,1480,559572
2019-04-15,1560,1520,1570,1500,279554
2019-04-16,1505,1505,1520,1445,424921
2019-04-17,1505,1490,1525,1470,282621
2019-04-18,1490,1475,1510,1450,211572
2019-04-19,1475,1495,1500,1460,130197
2019-04-22,1490,1525,1565,1490,576219
2019-04-23,1505,1535,1580,1505,384330
2019-04-24,1540,1500,1550,1495,281862
2019-04-25,1495,1640,1645,1475,1807178
2019-04-26,1620,1555,1625,1550,732062
2019-04-29,1550,1600,1635,1550,636289
2019-04-30,1600,1545,1620,1545,388739
2019-05-02,1545,1690,1695,1540,1306001
2019-05-03,1700,1655,1700,1600,812506
2019-05-07,1600,1625,1645,1590,342240
2019-05-08,1620,1565,1620,1555,421602
2019-05-09,1565,1490,1565,1450,648438
2019-05-10,1450,1440,1490,1420,490898
2019-05-13,1440,1440,1470,1435,197668
2019-05-14,1395,1430,1440,1365,285320
2019-05-15,1450,1480,1490,1385,430682
2019-05-16,1475,1440,1485,1420,273083
2019-05-17,1445,1465,1525,1445,238551
2019-05-20,1465,1445,1490,1435,123920
2019-05-21,1430,1390,1490,1370,384650
2019-05-22,1400,1395,1430,1355,164298
2019-05-23,1375,1325,1400,1300,369654
2019-05-24,1305,1350,1360,1305,110631
2019-05-27,1360,1330,1360,1295,150259
2019-05-28,1330,1345,1345,1305,142466
2019-05-29,1360,1305,1360,1300,142421
2019-05-30,1310,1320,1340,1300,163681
2019-05-31,1310,1335,1335,1305,80582
2019-06-03,1340,1335,1340,1290,166203
2019-06-04,1335,1330,1335,1300,57218
2019-06-05,1330,1340,1360,1330,102384
2019-06-07,1350,1350,1375,1320,77047
2019-06-10,1380,1325,1380,1325,144801
2019-06-11,1340,1370,1370,1325,107846
2019-06-12,1370,1350,1380,1350,99157
2019-06-13,1350,1360,1370,1345,87434
2019-06-14,1355,1400,1410,1355,245097
2019-06-17,1410,1390,1410,1370,83403
2019-06-18,1380,1360,1410,1345,178630
2019-06-19,1360,1385,1390,1360,123811
2019-06-20,1375,1410,1410,1355,247604
2019-06-21,1410,1425,1430,1380,125979
2019-06-24,1435,1410,1435,1395,140183
2019-06-25,1410,1595,1595,1405,3827685
2019-06-26,1580,1530,1610,1525,945820
2019-06-27,1540,1520,1575,1505,651996
2019-06-28,1515,1470,1515,1440,596487
2019-07-01,1445,1470,1470,1415,303649
2019-07-02,1475,1505,1565,1465,537908
2019-07-03,1495,1650,1670,1490,3843561
2019-07-04,1625,1550,1625,1535,1303239
2019-07-05,1585,1820,1820,1580,6883938
2019-07-08,1775,1725,1800,1655,2886921
2019-07-09,1740,1540,1810,1540,3546154
2019-07-10,1560,1680,1715,1555,1906537
2019-07-11,1675,1710,1725,1610,1116130
2019-07-12,1730,1710,1745,1670,883154
2019-07-15,1720,1640,1720,1590,1050239
2019-07-16,1635,1605,1695,1600,622618
2019-07-17,1625,1555,1625,1510,834037
2019-07-18,1570,1550,1585,1525,446629
2019-07-19,1530,1560,1575,1510,357238
2019-07-22,1560,1545,1560,1485,367831
2019-07-23,1545,1495,1570,1495,370744
2019-07-24,1490,1510,1570,1480,633418
2019-07-25,1500,1520,1535,1480,298588
2019-07-26,1480,1500,1510,1455,395916
2019-07-29,1500,1385,1515,1370,506904
2019-07-30,1400,1405,1435,1360,210697
2019-07-31,1395,1410,1420,1335,279500
2019-08-01,1410,1360,1420,1355,191974
2019-08-02,1350,1375,1380,1275,275307
2019-08-05,1360,1290,1380,1255,486156
2019-08-06,1250,1200,1290,1180,583348
2019-08-07,1195,1215,1225,1165,495863
2019-08-08,1210,1325,1330,1210,598388
2019-08-09,1325,1400,1400,1290,518400
2019-08-12,1405,1470,1505,1355,627228
2019-08-13,1455,1520,1530,1455,412442
2019-08-14,1550,1550,1600,1425,954314
2019-08-16,1540,1560,1565,1480,398362
2019-08-19,1580,1560,1580,1530,257495
2019-08-20,1560,1540,1560,1505,209001
