Date,Open,Close,High,Low,Volume
2018-11-26,4503,4447,4567,4376,135182
2018-11-27,4447,4543,4678,4431,173688
2018-11-28,4551,4463,4575,4416,216565
2018-11-29,4511,4352,4535,4352,168668
2018-11-30,4320,4272,4431,4217,260904
2018-12-03,5132,4614,5331,4614,2226247
2018-12-04,4654,4861,4893,4622,657387
2018-12-05,4734,5044,5116,4726,1204697
2018-12-06,5004,4734,5020,4718,447134
2018-12-07,4829,5012,5251,4742,1343272
2018-12-10,4885,4845,4917,4774,353665
2018-12-11,4885,4646,4885,4646,268301
2018-12-12,4646,4535,4726,4519,176384
2018-12-13,4535,4599,4670,4535,106278
2018-12-14,4678,4726,4726,4495,140147
2018-12-17,4614,4710,4710,4559,126409
2018-12-18,4686,4742,4758,4614,177564
2018-12-19,4742,4686,4893,4622,226968
2018-12-20,4654,4742,4861,4622,166774
2018-12-21,4782,4662,4869,4622,230465
2018-12-24,4718,4614,4766,4599,109343
2018-12-26,4551,4431,4567,4296,154649
2018-12-27,4455,4535,4583,4455,104894
2018-12-28,4535,4519,4599,4487,63815
2019-01-02,4614,4463,4678,4431,131948
2019-01-03,4463,4233,4527,4177,439476
2019-01-04,4097,4217,4249,4058,200336
2019-01-07,4280,4272,4360,4177,165000
2019-01-08,4328,4336,4392,4256,171330
2019-01-09,4328,4352,4392,4304,130850
2019-01-10,4424,4384,4543,4360,173568
2019-01-11,4447,4455,4463,4352,133121
2019-01-14,4607,4614,4821,4487,626948
2019-01-15,4654,4583,4678,4519,219515
2019-01-16,4654,4941,5211,4599,2630611
2019-01-17,4965,5028,5076,4853,670812
2019-01-18,5004,5044,5148,4901,545341
2019-01-21,5068,4925,5068,4909,268522
2019-01-22,4980,4949,5028,4877,284627
2019-01-23,4917,5076,5092,4917,303862
2019-01-24,5148,4901,5148,4885,347945
2019-01-25,4909,4893,4941,4813,189274
2019-01-28,4901,4861,4925,4782,195877
2019-01-29,4965,4837,5076,4797,572633
2019-01-30,4901,4980,5187,4837,1009059
2019-01-31,5012,5060,5076,4933,299604
2019-02-01,5124,5140,5219,4973,667407
2019-02-07,5259,5028,5259,4980,458599
2019-02-08,5004,5092,5100,5004,189539
2019-02-11,5124,5020,5132,4988,185539
2019-02-12,5020,5004,5092,5004,134744
2019-02-13,5036,4949,5068,4877,175279
2019-02-14,4949,4885,4980,4837,170458
2019-02-15,4917,4893,4925,4813,148845
2019-02-18,4925,4853,4933,4821,161800
2019-02-19,4861,4973,4988,4853,285724
2019-02-20,4957,4885,5004,4853,170474
2019-02-21,4925,4861,4925,4797,101269
2019-02-22,4869,4813,4869,4797,101143
2019-02-25,4829,4885,5219,4766,938820
2019-02-26,4917,4965,5028,4885,222486
2019-02-27,4973,4965,5004,4933,151047
2019-02-28,4965,4519,5012,4455,503195
2019-03-04,4336,4416,4567,4336,249945
2019-03-05,4447,4790,5171,4447,4224716
2019-03-06,4782,4583,4782,4575,429413
2019-03-07,4543,4487,4638,4471,232582
2019-03-08,4400,4439,4519,4384,147956
2019-03-11,4447,4463,4519,4400,94427
2019-03-12,4535,4583,4607,4479,102572
2019-03-13,4686,4583,4702,4543,252146
2019-03-14,4591,4996,5012,4591,1572148
2019-03-15,4973,5036,5092,4774,1289279
2019-03-18,5148,4909,5155,4877,747665
2019-03-19,4893,4917,4973,4774,378707
2019-03-20,4877,4853,4933,4790,175450
2019-03-21,4925,4790,4957,4790,208017
2019-03-22,4790,4797,4813,4678,206218
2019-03-25,4813,4607,4813,4607,203140
2019-03-26,4575,4535,4662,4535,163839
2019-03-27,4543,4511,4630,4495,118064
2019-03-28,4471,4519,4591,4471,92847
2019-03-29,4503,4646,4678,4463,137604
2019-04-01,4630,4670,4718,4630,91080
2019-04-02,4702,4813,4813,4638,202334
2019-04-03,4813,4734,4821,4710,138583
2019-04-04,4686,4694,4797,4638,104897
2019-04-05,4766,4694,4774,4670,127621
2019-04-08,4726,4710,4750,4670,70847
2019-04-09,4758,4670,4758,4567,63914
2019-04-10,4670,4686,4710,4614,85828
2019-04-11,4726,4694,4726,4638,78925
2019-04-12,4702,4686,4702,4630,78473
2019-04-15,4662,4599,4678,4575,154079
2019-04-16,4599,4543,4607,4503,128034
2019-04-17,4511,4535,4591,4503,86065
2019-04-18,4495,4471,4551,4455,118538
2019-04-19,4471,4447,4511,4439,84023
2019-04-22,4479,4479,4527,4463,72079
2019-04-23,4495,4463,4527,4431,92486
2019-04-24,4511,4431,4511,4408,55471
2019-04-25,4487,4376,4487,4360,107234
2019-04-26,4360,4368,4439,4336,86257
2019-04-29,4352,4320,4376,4304,72697
2019-04-30,4225,4408,4471,4209,92694
2019-05-02,4344,4392,4439,4344,64889
2019-05-03,4384,4296,4384,4296,98543
2019-05-07,4209,4249,4280,4209,64847
2019-05-08,4209,4249,4320,4209,63206
2019-05-09,4217,4089,4264,4066,163224
2019-05-10,4058,4002,4129,3978,160285
2019-05-13,3954,3974,4073,3898,116762
2019-05-14,3883,3954,4002,3883,77102
2019-05-15,3938,4097,4097,3914,68262
2019-05-16,4058,3974,4105,3962,69790
2019-05-17,3978,3946,4034,3942,62888
2019-05-20,3966,3823,4010,3819,103395
2019-05-21,3700,3755,3843,3700,133404
2019-05-22,3775,3751,3791,3739,42749
2019-05-23,3715,3704,3747,3620,156755
2019-05-24,3994,3890,4209,3839,925451
2019-05-27,3843,3851,3974,3823,107642
2019-05-28,3807,3958,4002,3807,164835
2019-05-29,3918,3883,3954,3867,94389
2019-05-30,3859,3898,3986,3859,86843
2019-05-31,3894,3930,3958,3883,82720
2019-06-03,3887,3902,3958,3875,73635
2019-06-04,3902,3978,4081,3902,204158
2019-06-05,3946,3994,4018,3946,68151
2019-06-07,3986,3978,4018,3950,50836
2019-06-10,4002,3986,4050,3970,77122
2019-06-11,4010,4073,4105,3994,87217
2019-06-12,4097,4097,4145,4034,86081
2019-06-13,4097,4113,4129,4066,59046
2019-06-14,4113,4097,4129,4066,41721
2019-06-17,4137,4097,4161,4034,112045
2019-06-18,4089,4121,4161,4042,67935
2019-06-19,4097,4105,4201,4097,131213
2019-06-20,4121,4113,4145,4081,66713
2019-06-21,4121,4129,4169,4058,52535
2019-06-24,4113,4129,4169,4089,93152
2019-06-25,4097,4073,4121,4042,76892
2019-06-26,4081,4034,4081,4002,93685
2019-06-27,4018,4050,4113,4018,76537
