Date,Open,Close,High,Low,Volume
2018-11-26,2435,2520,2540,2430,119378
2018-11-27,2515,2495,2535,2480,89989
2018-11-28,2495,2475,2545,2410,103592
2018-11-29,2480,2560,2645,2480,465598
2018-11-30,2580,2510,2580,2500,91093
2018-12-03,2530,2535,2570,2515,142891
2018-12-04,2545,2560,2605,2540,167828
2018-12-05,2500,2530,2545,2480,124199
2018-12-06,2525,2475,2545,2455,181029
2018-12-07,2490,2470,2545,2470,123071
2018-12-10,2440,2370,2465,2365,143434
2018-12-11,2370,2350,2405,2335,94228
2018-12-12,2350,2440,2450,2350,99212
2018-12-13,2445,2460,2465,2415,48970
2018-12-14,2460,2415,2470,2415,70209
2018-12-17,2420,2445,2485,2395,92278
2018-12-18,2415,2530,2530,2415,265186
2018-12-19,2500,2545,2565,2470,262021
2018-12-20,2510,2505,2550,2490,120582
2018-12-21,2495,2475,2540,2475,63249
2018-12-24,2440,2400,2470,2400,84849
2018-12-26,2355,2300,2395,2270,120183
2018-12-27,2310,2330,2360,2300,53261
2018-12-28,2315,2370,2370,2305,32836
2019-01-02,2365,2335,2415,2335,46589
2019-01-03,2325,2305,2375,2285,69138
2019-01-04,2370,2300,2370,2255,49759
2019-01-07,2305,2295,2355,2295,62503
2019-01-08,2305,2335,2365,2305,61425
2019-01-09,2360,2375,2375,2290,58721
2019-01-10,2375,2380,2395,2350,72351
2019-01-11,2375,2375,2425,2355,74660
2019-01-14,2385,2415,2415,2375,133253
2019-01-15,2445,2470,2500,2425,255024
2019-01-16,2470,2485,2495,2450,65258
2019-01-17,2485,2465,2500,2460,82094
2019-01-18,2470,2460,2485,2425,67675
2019-01-21,2500,2470,2510,2455,83540
2019-01-22,2490,2450,2500,2445,98288
2019-01-23,2450,2535,2535,2440,308495
2019-01-24,2600,2510,2615,2505,268342
2019-01-25,2515,2520,2530,2490,141014
2019-01-28,2530,2475,2600,2470,234851
2019-01-29,2495,2460,2495,2460,66021
2019-01-30,2460,2455,2495,2440,94269
2019-01-31,2480,2500,2515,2460,137702
2019-02-01,2505,2470,2540,2455,143239
2019-02-07,2485,2515,2520,2475,123399
2019-02-08,2510,2535,2550,2490,89094
2019-02-11,2545,2540,2565,2530,103004
2019-02-12,2535,2540,2575,2520,70226
2019-02-13,2540,2595,2605,2525,164993
2019-02-14,2600,2595,2645,2570,176549
2019-02-15,2600,2575,2640,2565,152004
2019-02-18,2575,2745,2800,2570,1040657
2019-02-19,2730,2715,2750,2690,283179
2019-02-20,2745,2695,2780,2675,333629
2019-02-21,2730,2700,2735,2675,154853
2019-02-22,2695,2690,2725,2670,130129
2019-02-25,2690,2690,2750,2660,194741
2019-02-26,2680,2770,2770,2650,511659
2019-02-27,2885,2660,2885,2660,1127816
2019-02-28,2660,2520,2690,2465,353580
2019-03-04,2550,2585,2610,2535,200984
2019-03-05,2615,2585,2615,2560,55780
2019-03-06,2590,2605,2650,2580,89578
2019-03-07,2590,2510,2590,2480,209608
2019-03-08,2550,2475,2565,2470,91783
2019-03-11,2495,2450,2495,2405,79124
2019-03-12,2465,2495,2555,2445,106388
2019-03-13,2505,2450,2530,2450,83339
2019-03-14,2450,2485,2495,2450,44759
2019-03-15,2500,2485,2540,2450,98534
2019-03-18,2485,2515,2525,2470,57287
2019-03-19,2520,2500,2545,2480,84160
2019-03-20,2490,2480,2495,2430,151374
2019-03-21,2460,2440,2480,2430,75381
2019-03-22,2445,2425,2445,2415,48971
2019-03-25,2400,2380,2410,2360,82017
2019-03-26,2370,2430,2500,2370,103381
2019-03-27,2430,2415,2455,2415,55717
2019-03-28,2430,2390,2435,2385,57565
2019-03-29,2405,2400,2420,2360,44975
2019-04-01,2410,2460,2460,2400,30417
2019-04-02,2460,2470,2480,2440,38023
2019-04-03,2470,2475,2525,2455,98412
2019-04-04,2470,2490,2500,2460,50196
2019-04-05,2475,2505,2510,2445,56163
2019-04-08,2500,2570,2570,2460,197593
2019-04-09,2530,2495,2540,2495,92524
2019-04-10,2490,2485,2510,2440,103002
2019-04-11,2465,2500,2500,2450,72329
2019-04-12,2475,2515,2515,2475,73732
2019-04-15,2530,2570,2580,2500,154109
2019-04-16,2570,2535,2580,2505,136480
2019-04-17,2545,2505,2555,2500,97088
2019-04-18,2520,2455,2520,2445,142386
2019-04-19,2465,2500,2510,2450,73644
2019-04-22,2530,2500,2530,2485,62115
2019-04-23,2500,2485,2515,2470,50202
2019-04-24,2490,2460,2505,2450,82257
2019-04-25,2465,2450,2495,2430,125563
2019-04-26,2450,2425,2450,2415,66296
2019-04-29,2435,2450,2455,2420,50617
2019-04-30,2420,2505,2510,2420,135171
2019-05-02,2555,2525,2705,2520,1380129
2019-05-03,2545,2575,2575,2520,199383
2019-05-07,2520,2500,2545,2485,113850
2019-05-08,2510,2485,2525,2460,84646
2019-05-09,2470,2385,2485,2350,226649
2019-05-10,2385,2335,2405,2305,146449
2019-05-13,2360,2305,2360,2285,86822
2019-05-14,2260,2315,2330,2215,116518
2019-05-15,2320,2335,2350,2295,70088
2019-05-16,2345,2285,2350,2285,79842
2019-05-17,2305,2270,2335,2270,51105
2019-05-20,2270,2220,2285,2220,82846
2019-05-21,2220,2230,2245,2205,27640
2019-05-22,2230,2230,2250,2210,28719
2019-05-23,2230,2140,2230,2140,127990
2019-05-24,2160,2105,2175,2065,62590
2019-05-27,2090,2135,2135,2075,35284
2019-05-28,2135,2160,2175,2130,27510
2019-05-29,2160,2140,2160,2110,25698
2019-05-30,2140,2105,2145,2085,23428
2019-05-31,2070,2115,2145,2070,46197
2019-06-03,2090,2100,2100,2070,42386
2019-06-04,2080,2135,2140,2080,26030
2019-06-05,2170,2140,2170,2125,29510
2019-06-07,2150,2180,2195,2135,58844
2019-06-10,2145,2200,2225,2145,40800
2019-06-11,2200,2260,2290,2195,58126
2019-06-12,2230,2245,2275,2230,33183
2019-06-13,2260,2240,2260,2215,22601
2019-06-14,2250,2240,2250,2220,21090
2019-06-17,2215,2235,2255,2200,35587
2019-06-18,2270,2240,2280,2230,49720
2019-06-19,2255,2230,2260,2230,26504
2019-06-20,2245,2220,2245,2220,27654
2019-06-21,2250,2230,2255,2230,34521
2019-06-24,2265,2220,2290,2220,23674
2019-06-25,2215,2205,2230,2200,32932
2019-06-26,2220,2215,2265,2195,30097
2019-06-27,2200,2175,2220,2175,60927
2019-06-28,2185,2165,2200,2155,15812
2019-07-01,2170,2165,2195,2135,33639
2019-07-02,2165,2150,2195,2150,22836
2019-07-03,2155,2150,2175,2135,31153
2019-07-04,2185,2160,2185,2120,45777
2019-07-05,2160,2200,2215,2140,46564
2019-07-08,2200,2110,2215,2105,65302
2019-07-09,2110,2075,2135,2065,34932
2019-07-10,2070,2110,2125,2060,22374
2019-07-11,2120,2125,2130,2105,26515
2019-07-12,2140,2125,2140,2085,89239
2019-07-15,2285,2365,2650,2275,13072373
2019-07-16,2330,2330,2345,2265,1483806
2019-07-17,2355,2300,2525,2235,4371763
2019-07-18,2520,2345,2710,2330,12733864
2019-07-19,2305,2290,2345,2245,1500930
2019-07-22,2270,2215,2315,2210,900303
2019-07-23,2200,2185,2245,2185,424401
2019-07-24,2190,2130,2190,2125,483203
2019-07-25,2130,2070,2170,2070,330930
2019-07-26,2060,2010,2085,1990,277084
2019-07-29,1990,1900,2020,1895,356377
2019-07-30,1880,1925,1945,1880,284862
2019-07-31,1915,1940,1985,1865,188865
2019-08-01,1910,1915,1960,1910,79084
2019-08-02,1880,1905,1930,1875,95972
2019-08-05,1930,1750,1930,1750,211340
2019-08-06,1620,1660,1755,1620,396685
2019-08-07,1655,1715,1740,1655,134163
2019-08-08,1715,1785,1800,1715,76374
2019-08-09,1785,1780,1825,1765,139082
2019-08-12,1760,1815,1815,1740,133848
2019-08-13,1800,1805,1880,1785,79428
2019-08-14,1815,1805,1820,1790,40024
2019-08-16,1800,1805,1845,1780,87925
2019-08-19,1805,1825,1860,1800,56014
2019-08-20,1830,1895,1915,1820,208991
2019-08-21,1895,1910,1950,1895,47210
2019-08-22,1905,1895,1915,1875,31164
2019-08-23,1875,1910,1945,1860,136283
2019-08-26,1870,1835,1880,1830,65717
2019-08-27,1865,1935,2090,1850,953978
2019-08-28,1925,1950,1965,1920,146947
2019-08-29,1970,1910,1970,1890,91737
2019-08-30,1930,1935,1990,1885,218774
2019-09-02,2080,2515,2515,2065,3993510
2019-09-03,2670,2600,2775,2390,11752315
2019-09-04,2560,2765,3055,2530,26274239
2019-09-05,3015,2780,3175,2715,17942643
2019-09-06,2780,2780,2780,2710,1129088
2019-09-09,2815,2770,2845,2750,1058185
2019-09-10,2745,2670,2765,2600,1041151
2019-09-11,2635,2645,2850,2490,6741794
2019-09-16,2900,3140,3305,2790,32171921
2019-09-17,3050,2900,3090,2900,4484186
2019-09-18,2865,2715,3135,2690,7509382
2019-09-19,2725,3230,3475,2660,37035941
2019-09-20,3170,3230,3695,3140,21622395
2019-09-23,3295,3260,3380,3160,5819486
2019-09-24,3175,3185,3260,3110,2032523
2019-09-25,3155,3000,3185,2970,1570354
2019-09-26,3005,3195,3360,2850,16854976
2019-09-27,3095,2980,3150,2960,2024946
2019-09-30,2915,2890,2960,2765,1618365
2019-10-01,2800,2805,3075,2750,3944219
2019-10-02,2750,2780,2850,2710,1768965
2019-10-04,2840,2790,3050,2775,5963841
2019-10-07,2765,2700,2850,2680,1002612
2019-10-08,2700,2830,2945,2700,3481845
2019-10-10,2830,3000,3020,2800,3642531
2019-10-11,2910,2875,2990,2870,1324538
2019-10-14,2900,3020,3150,2835,4100309
2019-10-15,2980,2975,3250,2925,4874286
2019-10-16,3000,2990,3190,2960,3433607
2019-10-17,3060,3025,3100,3000,2687204
2019-10-18,3000,3135,3210,2965,6292048
2019-10-21,3095,3240,3240,3025,4677541
2019-10-22,3195,3690,4120,3155,41098832
2019-10-23,3755,3740,3990,3595,19923024
2019-10-24,3790,3895,4110,3670,15768299
2019-10-25,3950,4605,4950,3855,65965807
2019-10-28,4745,4145,4760,4065,10099677
2019-10-29,4150,3990,4155,3900,4899914
2019-10-30,3800,3815,3950,3760,3804279
2019-10-31,3835,3690,3980,3650,5248119
2019-11-01,3830,3730,3950,3665,3204687
2019-11-04,3765,3800,3835,3700,1934692
2019-11-05,3845,4010,4140,3820,15187288
2019-11-06,3960,3950,4180,3835,7500185
2019-11-07,4040,3770,4440,3705,24357514
2019-11-08,3810,3775,3870,3730,3141084
2019-11-11,3855,3830,3920,3800,2620493
2019-11-12,3845,3980,3980,3740,4112663
2019-11-13,4025,4020,4160,3880,7450932
2019-11-14,3955,3660,3980,3480,3133122
2019-11-15,3590,3630,3735,3465,2160636
2019-11-18,3575,3720,3750,3570,1300044
2019-11-19,3790,3915,3965,3715,5845948
2019-11-20,3720,3555,3745,3475,2404282
2019-11-21,3480,3330,3595,3310,1072914
2019-11-22,3330,3395,3475,3330,1023034
2019-11-25,3460,3540,3575,3455,1382889
2019-11-26,3550,3715,3715,3525,1921589
2019-11-27,3660,3790,3790,3625,1573998
2019-11-28,3745,3270,3995,3270,8116289
2019-11-29,3230,2965,3290,2955,2012787
2019-12-02,2965,2945,3025,2910,693903
2019-12-03,2885,3010,3020,2885,587857
2019-12-04,2960,2960,3010,2910,385579
2019-12-05,2925,2960,3025,2905,542361
2019-12-06,2930,3050,3050,2930,540208
2019-12-09,3040,3010,3050,2960,316180
2019-12-10,2970,3075,3095,2970,501954
2019-12-11,3075,3030,3100,3025,366302
2019-12-12,3035,3120,3150,3035,480107
2019-12-13,3145,3140,3175,3105,322697
2019-12-16,3180,3180,3195,3145,356305
2019-12-17,3175,3165,3225,3115,321964
