Date,Open,Close,High,Low,Volume
2021-01-29,32000,29100,41500,28600,9862236
2021-02-01,27850,28450,31250,26250,3505427
2021-02-02,29250,26450,29550,25800,1453332
2021-02-03,26500,25100,26800,24950,1087144
2021-02-04,26200,25400,27500,25100,1300060
2021-02-05,25050,23700,25100,23450,1065442
2021-02-08,23350,25000,25750,23050,1301441
2021-02-09,25250,26650,28700,25000,3174442
2021-02-10,27600,32050,34500,27200,10968353
2021-02-15,31350,32100,34700,30000,3653772
2021-02-16,33100,35300,36400,32100,4334273
2021-02-17,35200,33850,35900,33350,1333780
2021-02-18,33100,30100,33800,30100,876817
2021-02-19,29500,27550,29900,27550,615888
2021-02-22,27650,29300,31250,27650,1424272
2021-02-23,28450,32400,34150,28300,2320544
2021-02-24,32650,29150,33250,29150,843493
2021-02-25,30000,29000,31050,29000,444237
2021-02-26,27500,29000,30700,27250,545922
2021-03-02,29000,27250,30150,27250,851840
2021-03-03,26900,26000,26900,25650,527430
2021-03-04,25500,24550,25500,24500,349284
2021-03-05,24350,25750,26700,23700,801798
2021-03-08,25900,25450,26850,25050,390047
2021-03-09,25450,25500,26850,25250,358403
2021-03-10,25750,24400,26650,24350,312317
2021-03-11,24700,24200,25300,24100,162241
2021-03-12,24350,23800,24550,23550,272564
2021-03-15,24000,23500,24650,23500,238317
2021-03-16,24000,23550,24200,23300,194583
2021-03-17,23600,22950,23850,22300,329842
2021-03-18,23100,22600,23500,22550,236216
2021-03-19,22300,22650,23200,22300,179621
2021-03-22,22700,22550,23050,22300,162510
2021-03-23,22750,22600,23300,22450,267782
2021-03-24,22600,23300,23500,22550,241676
2021-03-25,23400,22950,24050,22800,361514
2021-03-26,23100,22600,23350,22550,177368
2021-03-29,22800,21500,22800,21500,237006
2021-03-30,21500,21400,21900,21050,170254
2021-03-31,21400,20300,21650,20150,271124
2021-04-01,20500,20350,20800,19850,180770
2021-04-02,20500,20000,20550,20000,141611
2021-04-05,20150,19400,20300,19250,247482
2021-04-06,19450,20650,20950,19150,441105
2021-04-07,20950,20050,20950,20050,180079
2021-04-08,20200,20600,20650,19850,146971
2021-04-09,20650,20750,21150,20250,242623
2021-04-12,21000,20650,21050,20600,118894
2021-04-13,20850,22200,22300,20850,632644
2021-04-14,22350,22450,23200,22300,452591
2021-04-15,22500,21900,22500,21750,186408
2021-04-16,21900,21900,22600,21850,182138
2021-04-19,22000,21350,22100,21200,152554
2021-04-20,21350,21900,22350,21200,214762
2021-04-21,22100,22150,22300,21800,174416
2021-04-22,22450,21850,22700,21800,165124
2021-04-23,21850,21400,21900,21300,111017
2021-04-26,21400,21550,21750,21250,109941
2021-04-27,21800,21400,21800,21250,91842
2021-04-28,21400,20500,21450,20500,130212
2021-04-29,20250,20050,20750,19900,172616
2021-04-30,20100,19850,20350,19800,87836
