Date,Open,Close,High,Low,Volume
2018-11-26,646,661,663,646,91850
2018-11-27,654,689,690,647,269145
2018-11-28,698,676,698,669,132780
2018-11-29,679,692,698,673,230620
2018-11-30,698,673,699,672,223235
2018-12-03,674,696,696,669,129045
2018-12-04,708,697,708,676,132760
2018-12-05,664,679,694,650,167695
2018-12-06,680,659,683,657,134555
2018-12-07,666,637,666,637,208775
2018-12-10,621,588,636,586,245085
2018-12-11,582,582,608,576,275025
2018-12-12,590,615,619,586,83690
2018-12-13,615,618,620,595,133945
2018-12-14,605,601,620,597,255915
2018-12-17,604,581,604,576,140150
2018-12-18,585,579,604,577,83285
2018-12-19,581,580,593,575,84010
2018-12-20,580,562,597,554,317140
2018-12-21,564,548,564,546,129875
2018-12-24,542,532,548,525,228195
2018-12-26,518,517,523,508,137840
2018-12-27,519,534,536,516,113095
2018-12-28,536,603,693,530,3647905
2019-01-02,618,669,709,603,8994705
2019-01-03,656,627,678,620,1551145
2019-01-04,622,632,664,602,890845
2019-01-07,639,626,650,620,244680
2019-01-08,622,630,638,613,235965
2019-01-09,630,635,642,626,160390
2019-01-10,626,625,642,621,163065
2019-01-11,625,656,668,625,409060
2019-01-14,655,655,655,637,110340
2019-01-15,655,649,660,645,138700
2019-01-16,649,656,663,646,183460
2019-01-17,649,643,660,643,95725
2019-01-18,641,674,676,640,385370
2019-01-21,689,684,690,665,204205
2019-01-22,688,662,688,657,299970
2019-01-23,662,673,677,656,66405
2019-01-24,678,669,678,667,75150
2019-01-25,676,689,705,665,369195
2019-01-28,698,691,698,670,108215
2019-01-29,684,703,707,676,316120
2019-01-30,696,701,707,691,259810
2019-01-31,701,701,705,689,122420
2019-02-01,701,698,703,687,115720
2019-02-07,698,781,837,695,9482770
2019-02-08,789,750,795,749,1154435
2019-02-11,747,740,782,736,1260880
2019-02-12,740,766,766,722,645240
2019-02-13,785,788,820,776,2091520
2019-02-14,782,787,800,771,649020
2019-02-15,814,764,814,764,719145
2019-02-18,764,792,840,750,1823600
2019-02-19,788,804,804,772,301890
2019-02-20,800,806,813,790,273015
2019-02-21,816,825,839,806,522060
2019-02-22,828,830,839,810,348425
2019-02-25,830,842,853,829,409230
2019-02-26,971,940,1040,922,8597495
2019-02-27,988,1058,1222,983,20608520
2019-02-28,1094,967,1122,967,6130040
2019-03-04,960,1224,1256,954,23005225
2019-03-05,1224,1210,1234,1166,5038730
2019-03-06,1190,1218,1238,1174,3898405
2019-03-07,1184,1130,1214,1108,2466570
2019-03-08,1128,1164,1174,1110,1576190
2019-03-11,1186,1054,1210,1048,3765575
2019-03-12,1076,1048,1090,1038,1139370
2019-03-13,1048,1068,1086,1034,850620
2019-03-14,1052,1094,1096,1048,945730
2019-03-15,1104,1066,1116,1046,741445
2019-03-18,1056,1096,1098,1054,536305
