Date,Open,Close,High,Low,Volume
2018-11-26,2520,2550,2585,2505,15119
2018-11-27,2510,2590,2590,2510,31968
2018-11-28,2590,2560,2590,2530,12370
2018-11-29,2590,2530,2590,2520,30752
2018-11-30,2525,2530,2565,2515,36237
2018-12-03,2565,2550,2590,2535,34418
2018-12-04,2525,2545,2580,2500,33019
2018-12-05,2545,2570,2595,2510,25885
2018-12-06,2600,2660,2700,2540,130978
2018-12-07,2660,2675,2695,2620,86624
2018-12-10,2645,2520,2670,2505,51708
2018-12-11,2590,2570,2620,2515,39483
2018-12-12,2560,2555,2610,2540,20232
2018-12-13,2495,2565,2600,2495,22067
2018-12-14,2565,2515,2600,2510,27925
2018-12-17,2515,2450,2515,2430,67574
2018-12-18,2345,2495,2535,2345,51347
2018-12-19,2465,2500,2515,2460,21124
2018-12-20,2455,2485,2500,2440,18484
2018-12-21,2530,2415,2545,2415,31360
2018-12-24,2485,2380,2485,2365,35689
2018-12-26,2300,2330,2365,2300,24877
2018-12-27,2335,2330,2420,2305,46209
2018-12-28,2410,2370,2410,2325,17941
2019-01-02,2330,2330,2400,2330,32853
2019-01-03,2330,2320,2380,2300,16749
2019-01-04,2305,2310,2330,2275,27844
2019-01-07,2310,2330,2415,2310,18828
2019-01-08,2325,2310,2380,2280,28460
2019-01-09,2365,2370,2395,2325,39274
2019-01-10,2375,2375,2435,2350,63022
2019-01-11,2380,2400,2450,2375,66005
2019-01-14,2400,2420,2450,2380,45667
2019-01-15,2420,2420,2490,2410,36379
2019-01-16,2420,2535,2600,2420,234036
2019-01-17,2585,2550,2620,2505,104708
2019-01-18,2550,2595,2595,2510,68950
2019-01-21,2595,2640,2650,2570,63923
2019-01-22,2640,2630,2675,2625,60225
2019-01-23,2630,2690,2770,2620,106298
2019-01-24,2695,2680,2740,2635,22222
2019-01-25,2710,2695,2760,2620,43905
2019-01-28,2690,2650,2690,2615,55490
2019-01-29,2625,2685,2685,2625,60850
2019-01-30,2705,2670,2755,2650,53641
2019-01-31,2670,2660,2745,2655,30609
2019-02-01,2660,2650,2730,2640,24203
2019-02-07,2720,2650,2720,2635,21512
2019-02-08,2695,2670,2695,2630,17753
2019-02-11,2670,2770,2795,2670,123846
2019-02-12,2770,2760,2800,2705,49107
2019-02-13,2790,2800,2830,2745,44409
2019-02-14,2845,2800,2845,2780,43809
2019-02-15,2790,2795,2820,2710,41547
2019-02-18,2750,2830,2840,2750,39100
2019-02-19,2880,2875,2925,2820,76332
2019-02-20,2930,2830,2930,2820,96487
2019-02-21,2830,2765,2830,2745,32659
2019-02-22,2745,2770,2795,2745,18569
2019-02-25,2800,2705,2800,2705,47180
2019-02-26,2760,2775,2795,2700,45751
2019-02-27,2785,2735,2790,2735,40770
2019-02-28,2710,2670,2770,2670,62801
2019-03-04,2670,2680,2745,2655,37497
2019-03-05,2730,2665,2730,2655,27475
2019-03-06,2725,2635,2725,2610,51527
2019-03-07,2700,2585,2700,2560,61713
2019-03-08,2535,2580,2660,2500,54859
2019-03-11,2615,2535,2615,2510,47868
2019-03-12,2550,2570,2620,2520,58804
2019-03-13,2585,2635,2700,2535,50080
2019-03-14,2635,2735,2735,2600,166991
2019-03-15,2930,2740,3325,2740,5529800
2019-03-18,2780,2835,2850,2730,481537
2019-03-19,2875,3015,3160,2855,2171283
2019-03-20,2990,2965,3080,2935,398945
2019-03-21,2965,2875,3100,2875,456453
2019-03-22,2870,2870,2970,2865,100644
2019-03-25,2815,2775,2850,2765,143435
2019-03-26,2775,2835,2925,2770,123086
2019-03-27,2810,2780,2880,2775,104880
2019-03-28,2795,2735,2880,2700,128818
2019-03-29,2715,2675,2770,2675,127401
2019-04-01,2675,2770,2770,2660,75550
2019-04-02,2770,2850,2850,2715,76681
2019-04-03,2865,2850,2895,2810,113999
2019-04-04,2870,2900,2930,2830,83950
2019-04-05,2905,2900,2920,2850,65326
2019-04-08,2910,2835,2930,2795,101664
2019-04-09,2850,2835,2855,2815,35573
2019-04-10,2835,2810,2835,2770,102122
2019-04-11,2805,2820,2860,2795,53817
2019-04-12,2825,2935,2955,2800,204521
2019-04-15,2965,2935,2985,2895,130255
2019-04-16,2950,2890,2950,2840,154961
2019-04-17,2905,2930,2965,2860,107196
2019-04-18,2935,2935,3000,2890,117286
2019-04-19,2945,2965,2975,2895,85746
2019-04-22,2965,2965,2975,2920,67359
2019-04-23,2930,2925,2965,2870,83494
2019-04-24,2930,2935,2935,2870,75833
2019-04-25,2910,2895,2930,2880,44253
2019-04-26,2900,2870,2910,2830,78450
2019-04-29,2860,2875,2905,2815,43649
2019-04-30,2890,2865,2890,2825,45479
2019-05-02,2850,2905,2905,2815,117229
2019-05-03,2880,2865,2885,2710,180402
2019-05-07,2765,2870,2895,2765,56953
2019-05-08,2825,2870,2895,2805,57608
2019-05-09,2880,2760,2885,2760,99486
2019-05-10,2730,2730,2810,2695,62620
2019-05-13,2735,2800,2900,2715,150399
2019-05-14,2820,2820,2860,2755,63455
2019-05-15,2810,2890,2890,2810,55224
2019-05-16,2890,2890,2925,2820,127407
2019-05-17,2890,2960,2990,2875,171818
2019-05-20,3000,2910,3020,2890,174407
2019-05-21,2905,2970,3000,2860,97488
2019-05-22,2995,3070,3070,2940,269365
2019-05-23,3145,2985,3190,2985,255954
2019-05-24,2980,2975,2980,2875,111411
2019-05-27,2945,2880,2980,2880,84016
2019-05-28,2910,2955,2970,2875,85367
2019-05-29,2950,2900,2955,2900,49875
2019-05-30,2890,2895,2930,2845,81963
