Date,Open,Close,High,Low,Volume
2018-11-26,4710,4690,4785,4690,47320
2018-11-27,4690,4810,4920,4690,110123
2018-11-28,4800,4730,4890,4705,33005
2018-11-29,4800,4795,4800,4665,108054
2018-11-30,4740,4680,4805,4675,64855
2018-12-03,4720,4755,4785,4705,34667
2018-12-04,4690,4730,4775,4690,39521
2018-12-05,4720,4700,4720,4605,58425
2018-12-06,4715,4615,4715,4525,27811
2018-12-07,4600,4630,4690,4275,60054
2018-12-10,4475,4440,4640,4405,61384
2018-12-11,4590,4435,4590,4420,26926
2018-12-12,4425,4360,4510,4360,32861
2018-12-13,4495,4400,4495,4340,32922
2018-12-14,4525,4420,4525,4240,75338
2018-12-17,4370,4235,4380,4215,23353
2018-12-18,4200,4170,4275,4170,15191
2018-12-19,4170,4145,4240,4080,36190
2018-12-20,4150,4295,4320,4000,48647
2018-12-21,4260,4210,4325,4210,953555
2018-12-24,4250,4090,4250,4090,38260
2018-12-26,4010,3960,4125,3925,83744
2018-12-27,4065,3990,4120,3965,17851
2018-12-28,4240,4085,4240,3990,19069
2019-01-02,4100,4045,4250,4015,19810
2019-01-03,4050,3970,4085,3850,77060
2019-01-04,3900,4075,4095,3900,36363
2019-01-07,4150,3995,4150,3900,42146
2019-01-08,4080,3955,4080,3900,47135
2019-01-09,4030,3975,4030,3925,31797
2019-01-10,3940,3995,4015,3940,26632
2019-01-11,4000,4205,4760,4000,749799
2019-01-14,4270,4225,4270,4170,61249
2019-01-15,4210,4240,4270,4195,48051
2019-01-16,4290,4370,4650,4200,355794
2019-01-17,4335,4545,4645,4330,399897
2019-01-18,4570,4540,4570,4410,135315
2019-01-21,4520,4670,4700,4455,178444
2019-01-22,4620,4620,4700,4540,81589
2019-01-23,4660,4440,4660,4400,143733
2019-01-24,4440,4420,4480,4405,52714
2019-01-25,4470,4400,4470,4355,58570
2019-01-28,4460,4395,4470,4320,84196
2019-01-29,4360,4510,4670,4335,254927
2019-01-30,4570,4530,4660,4495,147400
2019-01-31,4550,4650,4650,4300,253757
2019-02-01,4980,5160,5550,4800,2081212
2019-02-07,5340,5390,5540,5280,769054
2019-02-08,5480,5390,5480,5280,213159
2019-02-11,5310,5030,5430,5030,275682
2019-02-12,5080,5350,5430,4985,304685
2019-02-13,5440,5580,5600,5310,477743
2019-02-14,5510,5560,5590,5410,187629
2019-02-15,5560,5820,6000,5560,695767
2019-02-18,5830,5840,5930,5710,274088
2019-02-19,5890,6010,6090,5550,467624
2019-02-20,5990,5980,6110,5870,195635
2019-02-21,6050,6020,6160,5940,264843
2019-02-22,5970,6010,6100,5920,140159
2019-02-25,6020,6040,6090,5910,174867
2019-02-26,6040,5720,6040,5690,279760
2019-02-27,5800,5810,5850,5720,80253
2019-02-28,5800,5700,5810,5590,145008
2019-03-04,5660,5740,5880,5660,79141
2019-03-05,5740,5850,5880,5670,91656
2019-03-06,5880,5790,5880,5700,54735
2019-03-07,5850,5790,5860,5700,77040
2019-03-08,5690,5790,6040,5690,120634
2019-03-11,5860,5840,5860,5710,76073
2019-03-12,5900,6120,6170,5830,263062
2019-03-13,6170,5750,6190,5710,258281
2019-03-14,5730,5800,5840,5680,126563
2019-03-15,5800,5600,5800,5540,198135
2019-03-18,5610,5670,5750,5460,169486
2019-03-19,5650,5830,5970,5580,234963
2019-03-20,5860,5850,5950,5760,100507
2019-03-21,5930,5670,5930,5660,106640
2019-03-22,5700,5660,5760,5520,56682
2019-03-25,5550,5600,5770,5540,74480
2019-03-26,5560,5580,5680,5540,56896
2019-03-27,5510,5610,5720,5510,78541
2019-03-28,5560,5710,5870,5550,117851
2019-03-29,5850,5670,5990,5670,268092
2019-04-01,5710,6100,6100,5700,388443
2019-04-02,6260,6750,7220,6190,5119293
2019-04-03,6750,7080,7350,6750,1669028
2019-04-04,7150,7190,7330,7040,690763
2019-04-05,7130,7240,7420,7100,490500
2019-04-08,7360,7550,7790,7270,747539
2019-04-09,7600,7530,8180,7300,1154343
2019-04-10,7530,8000,8140,7530,897432
2019-04-11,8200,8080,8380,7900,543787
2019-04-12,8080,9630,9890,8070,4024649
2019-04-15,9630,9200,9650,8980,1228049
2019-04-16,9270,9200,9500,9030,764804
2019-04-17,9130,9540,9630,9010,705594
2019-04-18,9430,9170,9530,9000,429742
2019-04-19,9090,9180,9390,9070,242778
2019-04-22,9100,9300,9330,9000,360971
2019-04-23,9380,9110,9400,9110,233929
2019-04-24,9110,9270,9360,9110,286357
2019-04-25,9210,9100,9320,9070,170223
2019-04-26,9050,9030,9170,8560,423275
2019-04-29,9100,8970,9170,8740,261738
2019-04-30,8970,9270,9310,8790,357204
2019-05-02,9280,9200,9680,9120,370464
2019-05-03,9200,9190,9230,9030,170191
2019-05-07,9090,9040,9210,8950,143513
2019-05-08,9000,8830,9170,8800,205135
2019-05-09,8840,8610,9030,8490,249734
2019-05-10,8510,8620,8950,8500,150304
